t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
0.0,,,0,0,0,0,0,0,0
0.0356,,,0,0,0,0,0,0,0
0.0706,,,0,0,0,0,0,0,0
0.1067,,,0,0,0,0,0,0,0
0.1418,,,0,0,0,0,0,0,0
0.1743,,,0,0,0,0,0,0,0
0.2105,,,0,0,0,0,0,0,0
0.2467,,,0,0,0,0,0,0,0
0.2826,,,0,0,0,0,0,0,0
0.3179,,,0,0,0,0,0,0,0
0.3502,,,0,0,0,0,0,0,0
0.3836,,,0,0,0,0,0,0,0
0.4169,,,0,0,0,0,0,0,0
0.4506,,,0,0,0,0,0,0,0
0.4835,,,0,0,0,0,0,0,0
0.5199,,,0,0,0,0,0,0,0
0.5561,,,0,0,0,0,0,0,0
0.5923,,,0,0,0,0,0,0,0
0.6287,,,0,0,0,0,0,0,0
0.6637,,,0,0,0,0,0,0,0
0.6999,,,0,0,0,0,0,0,0
0.7317,,,0,0,0,0,0,0,0
0.7654,,,0,0,0,0,0,0,0
0.8017,,,0,0,0,0,0,0,0
0.838,,,0,0,0,0,0,0,0
0.8742,,,0,0,0,0,0,0,0
0.9085,,,0,0,0,0,0,0,0
0.9451,,,0,0,0,0,0,0,0
0.9799,,,0,0,0,0,0,0,0
1.0133,,,0,0,0,0,0,0,0
1.0493,,,0,0,0,0,0,0,0
1.0826,,,0,0,0,0,0,0,0
1.1159,,,0,0,0,0,0,0,0
1.1474,,,0,0,0,0,0,0,0
1.1801,,,0,0,0,0,0,0,0
1.2159,,,0,0,0,0,0,0,0
1.2524,,,0,0,0,0,0,0,0
1.2888,,,0,0,0,0,0,0,0
1.3218,,,0,0,0,0,0,0,0
1.3581,,,0,0,0,0,0,0,0
1.393,,,0,0,0,0,0,0,0
1.4261,,,0,0,0,0,0,0,0
1.4623,,,0,0,0,0,0,0,0
1.4985,,,0,0,0,0,0,0,0
1.5348,,,0,0,0,0,0,0,0
1.5711,,,1,0,0,0,0,0,1
1.6074,,,0,0,0,0,0,0,0
1.6432,,,0,0,0,0,0,0,0
1.679,,,0,0,0,0,0,0,0
1.7152,,,0,0,0,0,0,0,0
1.751,,,0,0,0,0,0,0,0
1.7846,,,0,0,0,0,0,0,0
1.8182,,,0,0,0,0,0,0,0
1.8525,,,0,0,0,0,0,0,0
1.8839,,,0,0,0,0,0,0,0
1.9202,,,0,0,0,0,0,0,0
1.9535,,,0,0,0,0,0,0,0
1.9896,,,1,1,0,0,0,0,0
2.0251,,,0,0,0,0,0,0,0
2.0612,,,0,0,0,0,0,0,0
2.0956,,,0,0,0,0,0,0,0
2.1287,,,0,0,0,0,0,0,0
2.1634,,,0,0,0,0,0,0,0
2.1997,,,0,0,0,0,0,0,0
2.2359,,,0,0,0,0,0,0,0
2.2721,,,0,0,0,0,0,0,0
2.3083,,,0,0,0,0,0,0,0
2.3429,,,0,0,0,0,0,0,0
2.3792,,,0,0,0,0,0,0,0
2.4144,,,0,0,0,0,0,0,0
2.4507,,,0,0,0,0,0,0,0
2.4833,,,0,0,0,0,0,0,0
2.517,,,0,0,0,0,0,0,0
2.5534,,,0,0,0,0,0,0,0
2.5872,,,0,0,0,0,0,0,0
2.6235,,,0,0,0,0,0,0,0
2.6592,,,0,0,0,0,0,0,0
2.6908,,,0,0,0,0,0,0,0
2.7274,,,0,0,0,0,0,0,0
2.7638,,,0,0,0,0,0,0,0
2.8002,,,0,0,0,0,0,0,0
2.8335,,,0,0,0,0,0,0,0
2.8691,,,0,0,0,0,0,0,0
2.901,,,0,0,0,0,0,0,0
2.9335,,,0,0,0,0,0,0,0
2.9667,,,0,0,0,0,0,0,0
2.9985,,,0,0,0,0,0,0,0
3.0326,,,3,0,2,0,1,0,0
3.0688,,,3,1,0,0,1,0,1
3.1049,,,3,0,1,0,1,0,1
3.141,,,4,1,1,1,1,0,0
3.1751,,,3,0,1,0,1,1,0
3.2086,,,4,1,0,0,1,1,1
3.2415,,,3,1,1,0,1,0,0
3.2777,,,2,0,1,0,1,0,0
3.3138,,,4,0,1,0,1,1,1
