elapsed_s,leg,sign,phase,timestamp,cmd_vx,odom_vx,odom_vy,odom_omega,act_base_left_wheel,act_base_back_wheel,act_base_right_wheel,pos_right_gripper,pos_right_shoulder_lift,pos_right_shoulder_pan,pos_right_elbow_flex,load_right_gripper,load_right_shoulder_lift,load_right_shoulder_pan,load_right_elbow_flex,grip_dev
0.006,0,1,ramp_up,2026-08-05T21:03:22.237030+00:00,0.0,0.0,0.0,0.0,0,0,0,2455,2097,1968,2132,40,110,1050,84,0
0.054,0,1,ramp_up,2026-08-05T21:03:22.285830+00:00,0.025,0.0,0.0,0.0,0,0,0,2455,2097,1968,2132,40,110,1050,84,0
0.104,0,1,ramp_up,2026-08-05T21:03:22.335834+00:00,0.0501,0.0,0.0,0.0,0,0,0,2455,2097,1968,2132,40,110,1050,84,0
0.155,0,1,ramp_up,2026-08-05T21:03:22.385966+00:00,0.0751,0.0,0.0,0.0,0,0,0,2455,2097,1968,2132,40,110,1050,84,0
0.205,0,1,ramp_up,2026-08-05T21:03:22.435945+00:00,0.1002,0.0,0.0,0.0,0,0,0,2455,2097,1968,2132,40,110,1050,84,0
0.255,0,1,ramp_up,2026-08-05T21:03:22.486375+00:00,0.1252,0.0155,0.0013,0.59,-150,0,200,2455,2097,1968,2132,40,110,1050,84,0
0.305,0,1,ramp_up,2026-08-05T21:03:22.536120+00:00,0.1502,0.0332,0.0013,0.59,-350,0,400,2455,2097,1967,2132,40,110,1056,84,0
0.355,0,1,ramp_up,2026-08-05T21:03:22.586132+00:00,0.1753,0.0399,0.0,0.0,-450,0,450,2455,2097,1966,2132,40,110,1054,84,0
0.405,0,1,ramp_up,2026-08-05T21:03:22.636236+00:00,0.2003,0.0465,0.0013,0.59,-500,0,550,2455,2097,1966,2132,40,110,1054,84,0
0.455,0,1,ramp_up,2026-08-05T21:03:22.686319+00:00,0.2253,0.0576,0.0,0.0,-650,0,650,2455,2097,1966,2132,40,110,1054,84,0
0.505,0,1,ramp_up,2026-08-05T21:03:22.736325+00:00,0.2504,0.0664,0.0026,-0.59,-750,-50,750,2455,2097,1966,2132,40,110,1054,84,0
0.555,0,1,ramp_up,2026-08-05T21:03:22.786346+00:00,0.2754,0.0753,0.0,0.0,-850,0,850,2455,2097,1967,2132,40,110,1052,84,0
0.605,0,1,dwell,2026-08-05T21:03:22.836575+00:00,0.3,0.0841,0.0,0.0,-950,0,950,2455,2097,1968,2132,40,110,1050,84,0
0.655,0,1,dwell,2026-08-05T21:03:22.886538+00:00,0.3,0.0952,-0.0013,-0.59,-1100,0,1050,2455,2097,1968,2132,40,110,1050,84,0
0.705,0,1,dwell,2026-08-05T21:03:22.936621+00:00,0.3,0.1018,0.0,0.0,-1150,0,1150,2455,2097,1968,2132,40,110,1050,84,0
0.755,0,1,dwell,2026-08-05T21:03:22.986822+00:00,0.3,0.1085,0.0013,-1.17,-1250,-50,1200,2455,2097,1968,2132,40,110,1050,84,0
0.805,0,1,dwell,2026-08-05T21:03:23.036825+00:00,0.3,0.1173,0.0038,1.76,-1250,0,1400,2455,2097,1967,2132,40,110,1052,84,0
0.856,0,1,dwell,2026-08-05T21:03:23.086974+00:00,0.3,0.1328,-0.0026,0.59,-1500,50,1500,2455,2097,1967,2132,40,110,1052,84,0
0.906,0,1,dwell,2026-08-05T21:03:23.137046+00:00,0.3,0.1373,0.0026,1.17,-1500,0,1600,2455,2097,1966,2132,40,110,1054,84,0
0.956,0,1,dwell,2026-08-05T21:03:23.187224+00:00,0.3,0.1461,-0.0026,-1.17,-1700,0,1600,2455,2097,1966,2132,40,110,1054,84,0
1.006,0,1,ramp_down,2026-08-05T21:03:23.237209+00:00,0.2992,0.155,0.0,-1.76,-1800,-50,1700,2455,2097,1966,2132,40,110,1054,84,0
1.056,0,1,ramp_down,2026-08-05T21:03:23.287224+00:00,0.2742,0.1594,0.0051,-2.93,-1850,-150,1750,2455,2097,1968,2132,40,110,1044,84,0
1.106,0,1,ramp_down,2026-08-05T21:03:23.337463+00:00,0.2492,0.1661,0.0038,-0.0,-1850,-50,1900,2455,2097,1969,2132,40,110,1048,84,0
1.158,0,1,ramp_down,2026-08-05T21:03:23.389237+00:00,0.2241,0.1749,-0.0013,1.17,-1950,50,2000,2455,2097,1970,2132,40,110,1042,84,0
1.206,0,1,ramp_down,2026-08-05T21:03:23.437573+00:00,0.1991,0.1749,-0.0013,1.17,-1950,50,2000,2455,2097,1970,2132,40,110,1046,84,0
1.256,0,1,ramp_down,2026-08-05T21:03:23.487697+00:00,0.174,0.1816,-0.0026,2.34,-2000,100,2100,2455,2097,1970,2132,40,110,1046,84,0
1.306,0,1,ramp_down,2026-08-05T21:03:23.537549+00:00,0.149,0.1816,-0.0026,0.59,-2050,50,2050,2455,2097,1967,2132,40,110,1060,84,0
1.356,0,1,ramp_down,2026-08-05T21:03:23.587803+00:00,0.124,0.1816,0.0026,-0.59,-2050,-50,2050,2455,2097,1966,2132,40,110,1054,84,0
1.406,0,1,ramp_down,2026-08-05T21:03:23.637810+00:00,0.0989,0.1771,0.0,0.0,-2000,0,2000,2455,2097,1966,2132,40,110,1054,84,0
1.457,0,1,ramp_down,2026-08-05T21:03:23.687995+00:00,0.0739,0.1705,0.0013,0.59,-1900,0,1950,2455,2097,1968,2132,40,110,1046,84,0
1.507,0,1,ramp_down,2026-08-05T21:03:23.737968+00:00,0.0489,0.1638,0.0,0.0,-1850,0,1850,2455,2097,1969,2132,40,110,1048,84,0
1.557,0,1,ramp_down,2026-08-05T21:03:23.787963+00:00,0.0238,0.155,0.0051,0.59,-1700,-50,1800,2455,2097,1969,2132,40,110,1048,84,0
3.119,1,-1,ramp_up,2026-08-05T21:03:25.350675+00:00,-0.0,0.0,0.0,0.0,0,0,0,2455,2098,1971,2132,40,112,1044,84,0
3.165,1,-1,ramp_up,2026-08-05T21:03:25.396679+00:00,-0.0251,0.0,-0.0026,0.59,0,50,0,2455,2098,1970,2132,40,112,1046,84,0
3.215,1,-1,ramp_up,2026-08-05T21:03:25.446714+00:00,-0.0501,0.0,0.0,0.0,0,0,0,2455,2098,1970,2132,40,112,1046,84,0
3.267,1,-1,ramp_up,2026-08-05T21:03:25.498750+00:00,-0.0751,0.0,0.0,0.0,0,0,0,2455,2098,1969,2132,40,112,1048,84,0
3.315,1,-1,ramp_up,2026-08-05T21:03:25.546862+00:00,-0.1002,-0.0044,0.0026,1.17,100,0,0,2455,2098,1969,2132,40,112,1048,84,0
3.365,1,-1,ramp_up,2026-08-05T21:03:25.596871+00:00,-0.1252,-0.0155,-0.0038,-3.52,50,-50,-300,2455,2098,1970,2132,40,112,1046,84,0
3.416,1,-1,ramp_up,2026-08-05T21:03:25.646953+00:00,-0.1502,-0.031,-0.0,-1.76,300,-50,-400,2455,2098,1971,2132,40,112,0,84,0
3.466,1,-1,ramp_up,2026-08-05T21:03:25.696907+00:00,-0.1753,-0.0376,-0.0013,-0.59,400,0,-450,2455,2098,1973,2132,40,112,20,84,0
3.516,1,-1,ramp_up,2026-08-05T21:03:25.746977+00:00,-0.2003,-0.0465,-0.0013,-0.59,500,0,-550,2455,2098,1974,2132,40,112,0,84,0
3.566,1,-1,ramp_up,2026-08-05T21:03:25.797157+00:00,-0.2254,-0.0509,0.0013,-1.17,550,-50,-600,2455,2098,1975,2132,40,112,0,84,0
3.617,1,-1,ramp_up,2026-08-05T21:03:25.848648+00:00,-0.2504,-0.0664,-0.0026,-1.17,700,0,-800,2455,2098,1975,2132,40,112,0,84,0
3.666,1,-1,ramp_up,2026-08-05T21:03:25.897829+00:00,-0.2754,-0.0775,0.0013,0.59,900,0,-850,2455,2098,1974,2132,40,112,0,84,0
3.716,1,-1,dwell,2026-08-05T21:03:25.947343+00:00,-0.3,-0.0819,-0.0038,0.0,900,50,-950,2455,2098,1973,2132,40,112,0,84,0
3.766,1,-1,dwell,2026-08-05T21:03:25.997458+00:00,-0.3,-0.093,-0.0026,0.59,1050,50,-1050,2455,2098,1971,2132,40,112,1044,84,0
3.816,1,-1,dwell,2026-08-05T21:03:26.047713+00:00,-0.3,-0.0996,-0.0013,-0.59,1100,0,-1150,2455,2098,1971,2132,40,112,1044,84,0
3.866,1,-1,dwell,2026-08-05T21:03:26.097577+00:00,-0.3,-0.1129,0.0038,1.76,1350,0,-1200,2455,2098,1971,2132,40,112,1044,84,0
3.916,1,-1,dwell,2026-08-05T21:03:26.147667+00:00,-0.3,-0.1196,-0.0,0.0,1350,0,-1350,2455,2098,1971,2132,40,112,1044,84,0
3.966,1,-1,dwell,2026-08-05T21:03:26.197689+00:00,-0.3,-0.124,-0.0,0.0,1400,0,-1400,2455,2098,1971,2132,40,112,1044,84,0
4.016,1,-1,dwell,2026-08-05T21:03:26.247708+00:00,-0.3,-0.1373,-0.0026,-1.17,1500,0,-1600,2455,2098,1972,2132,40,112,18,84,0
4.067,1,-1,dwell,2026-08-05T21:03:26.298847+00:00,-0.3,-0.1483,-0.0013,-0.59,1650,0,-1700,2455,2098,1973,2132,40,112,0,84,0
4.117,1,-1,ramp_down,2026-08-05T21:03:26.347969+00:00,-0.2992,-0.1594,-0.0,0.0,1800,0,-1800,2455,2098,1974,2132,40,112,0,84,0
4.167,1,-1,ramp_down,2026-08-05T21:03:26.398404+00:00,-0.2742,-0.1638,-0.0,1.76,1900,50,-1800,2455,2098,1974,2132,40,112,0,84,0
4.217,1,-1,ramp_down,2026-08-05T21:03:26.448228+00:00,-0.2492,-0.1661,0.0013,0.59,1900,0,-1850,2455,2098,1974,2132,40,112,0,84,0
4.267,1,-1,ramp_down,2026-08-05T21:03:26.498246+00:00,-0.2241,-0.1771,-0.0077,1.76,2000,150,-2000,2455,2098,1974,2132,40,112,0,84,0
4.317,1,-1,ramp_down,2026-08-05T21:03:26.548307+00:00,-0.1991,-0.1771,0.0026,-0.59,2000,-50,-2000,2455,2098,1973,2132,40,112,0,84,0
4.367,1,-1,ramp_down,2026-08-05T21:03:26.598483+00:00,-0.174,-0.1816,0.0026,-0.59,2050,-50,-2050,2455,2098,1970,2132,40,112,1050,84,0
4.417,1,-1,ramp_down,2026-08-05T21:03:26.648464+00:00,-0.149,-0.1816,-0.0051,-0.59,2000,50,-2100,2455,2098,1971,2133,40,112,1044,86,0
4.467,1,-1,ramp_down,2026-08-05T21:03:26.698590+00:00,-0.124,-0.1771,-0.0051,1.17,2000,100,-2000,2455,2098,1973,2133,40,112,20,86,0
4.517,1,-1,ramp_down,2026-08-05T21:03:26.748593+00:00,-0.0989,-0.1749,-0.0038,1.76,2000,100,-1950,2455,2098,1973,2133,40,112,0,86,0
