elapsed_s,timestamp,millivolts,milliamps,active_motors,phase
0.0432,2026-08-28T03:48:59.212200+00:00,5072,640,0,idle
0.0450,2026-08-28T03:48:59.214000+00:00,5072,640,0,idle
0.0463,2026-08-28T03:48:59.215306+00:00,5072,640,0,idle
0.0476,2026-08-28T03:48:59.216602+00:00,5072,640,0,idle
0.0489,2026-08-28T03:48:59.217899+00:00,5072,640,0,idle
0.0502,2026-08-28T03:48:59.219182+00:00,5072,640,0,idle
0.0515,2026-08-28T03:48:59.220464+00:00,5072,640,0,idle
0.0529,2026-08-28T03:48:59.221895+00:00,5072,640,0,idle
0.0543,2026-08-28T03:48:59.223289+00:00,5072,640,0,idle
0.0557,2026-08-28T03:48:59.224690+00:00,5072,648,0,idle
0.0571,2026-08-28T03:48:59.226086+00:00,5072,648,0,idle
0.0586,2026-08-28T03:48:59.227603+00:00,5072,648,0,idle
0.0602,2026-08-28T03:48:59.229148+00:00,5072,648,0,idle
0.0616,2026-08-28T03:48:59.230591+00:00,5072,648,0,idle
0.0629,2026-08-28T03:48:59.231878+00:00,5072,648,0,idle
0.0642,2026-08-28T03:48:59.233153+00:00,5072,648,0,idle
0.0655,2026-08-28T03:48:59.234430+00:00,5072,648,0,idle
0.0667,2026-08-28T03:48:59.235705+00:00,5072,648,0,idle
0.0680,2026-08-28T03:48:59.236973+00:00,5072,648,0,idle
0.0693,2026-08-28T03:48:59.238237+00:00,5072,648,0,idle
0.0706,2026-08-28T03:48:59.239529+00:00,5072,648,0,idle
0.0720,2026-08-28T03:48:59.240976+00:00,5072,648,0,idle
0.0735,2026-08-28T03:48:59.242427+00:00,5072,648,0,idle
0.0749,2026-08-28T03:48:59.243874+00:00,5072,648,0,idle
0.0763,2026-08-28T03:48:59.245316+00:00,5072,656,0,idle
0.0778,2026-08-28T03:48:59.246814+00:00,5072,656,0,idle
0.0807,2026-08-28T03:48:59.249655+00:00,5072,656,0,idle
0.0835,2026-08-28T03:48:59.252441+00:00,5072,656,0,idle
0.0855,2026-08-28T03:48:59.254459+00:00,5072,656,0,idle
0.0868,2026-08-28T03:48:59.255767+00:00,5072,656,0,idle
0.0883,2026-08-28T03:48:59.257269+00:00,5072,656,0,idle
0.0898,2026-08-28T03:48:59.258732+00:00,5072,656,0,idle
0.0913,2026-08-28T03:48:59.260243+00:00,5072,656,0,idle
0.0927,2026-08-28T03:48:59.261714+00:00,5072,656,0,idle
0.0942,2026-08-28T03:48:59.263181+00:00,5072,656,0,idle
0.0957,2026-08-28T03:48:59.264663+00:00,5072,656,0,idle
0.0973,2026-08-28T03:48:59.266270+00:00,5072,656,0,idle
0.0986,2026-08-28T03:48:59.267572+00:00,5072,664,0,idle
0.0999,2026-08-28T03:48:59.268842+00:00,5072,664,0,idle
0.1011,2026-08-28T03:48:59.270103+00:00,5072,664,0,idle
0.1024,2026-08-28T03:48:59.271387+00:00,5072,664,0,idle
0.1037,2026-08-28T03:48:59.272655+00:00,5072,664,0,idle
0.1049,2026-08-28T03:48:59.273917+00:00,5072,664,0,idle
0.1062,2026-08-28T03:48:59.275174+00:00,5072,664,0,idle
0.1076,2026-08-28T03:48:59.276560+00:00,5072,664,0,idle
0.1091,2026-08-28T03:48:59.278035+00:00,5072,664,0,idle
0.1106,2026-08-28T03:48:59.279533+00:00,5072,664,0,idle
0.1120,2026-08-28T03:48:59.281002+00:00,5072,664,0,idle
0.1135,2026-08-28T03:48:59.282492+00:00,5072,664,0,idle
0.1150,2026-08-28T03:48:59.283982+00:00,5072,664,0,idle
0.1163,2026-08-28T03:48:59.285246+00:00,5072,664,0,idle
0.1175,2026-08-28T03:48:59.286505+00:00,5072,664,0,idle
0.1188,2026-08-28T03:48:59.287771+00:00,5072,664,0,idle
0.1201,2026-08-28T03:48:59.289032+00:00,5072,664,0,idle
0.1213,2026-08-28T03:48:59.290290+00:00,5072,672,0,idle
0.1226,2026-08-28T03:48:59.291549+00:00,5072,672,0,idle
0.1239,2026-08-28T03:48:59.292839+00:00,5072,672,0,idle
0.1253,2026-08-28T03:48:59.294302+00:00,5072,672,0,idle
0.1268,2026-08-28T03:48:59.295783+00:00,5072,672,0,idle
0.1283,2026-08-28T03:48:59.297258+00:00,5072,672,0,idle
0.1298,2026-08-28T03:48:59.298727+00:00,5072,672,0,idle
