elapsed_s,phase,arms_ma,head_ma,total_ma
1.091,simultaneous_pose,325.0,0.0,325.0
1.094,simultaneous_pose,325.0,0.0,325.0
1.097,simultaneous_pose,325.0,0.0,325.0
1.099,simultaneous_pose,325.0,0.0,325.0
1.102,simultaneous_pose,331.5,0.0,331.5
1.104,simultaneous_pose,305.5,0.0,305.5
1.107,simultaneous_pose,299.0,0.0,299.0
1.109,simultaneous_pose,292.5,0.0,292.5
1.112,simultaneous_pose,299.0,0.0,299.0
1.115,simultaneous_pose,312.0,0.0,312.0
1.117,simultaneous_pose,305.5,0.0,305.5
1.12,simultaneous_pose,331.5,0.0,331.5
1.122,simultaneous_pose,305.5,0.0,305.5
1.125,simultaneous_pose,318.5,0.0,318.5
1.127,simultaneous_pose,273.0,0.0,273.0
1.13,simultaneous_pose,286.0,0.0,286.0
1.133,simultaneous_pose,305.5,0.0,305.5
1.135,simultaneous_pose,344.5,0.0,344.5
1.138,simultaneous_pose,325.0,0.0,325.0
1.141,simultaneous_pose,318.5,0.0,318.5
1.144,simultaneous_pose,318.5,0.0,318.5
1.146,simultaneous_pose,318.5,0.0,318.5
1.149,simultaneous_pose,266.5,0.0,266.5
1.151,simultaneous_pose,318.5,0.0,318.5
1.154,simultaneous_pose,305.5,0.0,305.5
1.156,simultaneous_pose,305.5,0.0,305.5
1.159,simultaneous_pose,292.5,0.0,292.5
1.162,simultaneous_pose,312.0,0.0,312.0
1.164,simultaneous_pose,279.5,0.0,279.5
1.167,simultaneous_pose,312.0,0.0,312.0
1.17,simultaneous_pose,279.5,0.0,279.5
1.173,simultaneous_pose,279.5,0.0,279.5
1.175,simultaneous_pose,266.5,0.0,266.5
1.178,simultaneous_pose,234.0,0.0,234.0
1.18,simultaneous_pose,221.0,0.0,221.0
1.183,simultaneous_pose,227.5,0.0,227.5
1.186,simultaneous_pose,188.5,0.0,188.5
1.188,simultaneous_pose,169.0,0.0,169.0
1.191,simultaneous_pose,175.5,0.0,175.5
1.193,simultaneous_pose,182.0,0.0,182.0
1.196,simultaneous_pose,182.0,0.0,182.0
1.198,simultaneous_pose,156.0,0.0,156.0
1.201,simultaneous_pose,143.0,0.0,143.0
1.204,simultaneous_pose,136.5,0.0,136.5
1.206,simultaneous_pose,143.0,0.0,143.0
1.209,simultaneous_pose,156.0,0.0,156.0
1.212,simultaneous_pose,156.0,0.0,156.0
1.214,simultaneous_pose,156.0,0.0,156.0
1.217,simultaneous_pose,149.5,0.0,149.5
1.219,simultaneous_pose,123.5,0.0,123.5
1.222,simultaneous_pose,136.5,0.0,136.5
1.224,simultaneous_pose,117.0,6.5,123.5
1.227,simultaneous_pose,123.5,0.0,123.5
1.23,simultaneous_pose,136.5,0.0,136.5
1.232,simultaneous_pose,136.5,0.0,136.5
1.235,simultaneous_pose,136.5,0.0,136.5
1.237,simultaneous_pose,123.5,0.0,123.5
1.24,simultaneous_pose,136.5,0.0,136.5
1.242,simultaneous_pose,123.5,0.0,123.5
1.245,simultaneous_pose,123.5,0.0,123.5
1.248,simultaneous_pose,123.5,0.0,123.5
1.25,simultaneous_pose,97.5,0.0,97.5
