elapsed_s,phase,arms_ma,head_ma,total_ma
0.003,simultaneous_pose,0.0,0.0,0.0
0.006,simultaneous_pose,0.0,0.0,0.0
0.009,simultaneous_pose,0.0,0.0,0.0
0.012,simultaneous_pose,0.0,0.0,0.0
0.015,simultaneous_pose,0.0,0.0,0.0
0.018,simultaneous_pose,0.0,0.0,0.0
0.021,simultaneous_pose,26.0,0.0,26.0
0.024,simultaneous_pose,19.5,0.0,19.5
0.027,simultaneous_pose,6.5,0.0,6.5
0.03,simultaneous_pose,32.5,0.0,32.5
0.033,simultaneous_pose,19.5,0.0,19.5
0.036,simultaneous_pose,45.5,0.0,45.5
0.039,simultaneous_pose,45.5,0.0,45.5
0.042,simultaneous_pose,65.0,0.0,65.0
0.044,simultaneous_pose,65.0,0.0,65.0
0.047,simultaneous_pose,71.5,0.0,71.5
0.05,simultaneous_pose,84.5,0.0,84.5
0.053,simultaneous_pose,91.0,0.0,91.0
0.056,simultaneous_pose,78.0,0.0,78.0
0.058,simultaneous_pose,84.5,0.0,84.5
0.061,simultaneous_pose,104.0,0.0,104.0
0.064,simultaneous_pose,123.5,0.0,123.5
0.067,simultaneous_pose,104.0,0.0,104.0
0.07,simultaneous_pose,110.5,0.0,110.5
0.073,simultaneous_pose,130.0,0.0,130.0
0.076,simultaneous_pose,130.0,0.0,130.0
0.078,simultaneous_pose,130.0,0.0,130.0
0.081,simultaneous_pose,156.0,0.0,156.0
0.084,simultaneous_pose,123.5,0.0,123.5
0.087,simultaneous_pose,156.0,0.0,156.0
0.09,simultaneous_pose,136.5,0.0,136.5
0.093,simultaneous_pose,123.5,0.0,123.5
0.096,simultaneous_pose,149.5,0.0,149.5
0.098,simultaneous_pose,149.5,0.0,149.5
0.101,simultaneous_pose,143.0,0.0,143.0
0.104,simultaneous_pose,149.5,0.0,149.5
0.107,simultaneous_pose,143.0,0.0,143.0
0.11,simultaneous_pose,175.5,0.0,175.5
0.113,simultaneous_pose,162.5,0.0,162.5
0.116,simultaneous_pose,169.0,0.0,169.0
0.119,simultaneous_pose,182.0,0.0,182.0
0.122,simultaneous_pose,175.5,0.0,175.5
0.124,simultaneous_pose,195.0,0.0,195.0
0.127,simultaneous_pose,227.5,0.0,227.5
0.13,simultaneous_pose,208.0,0.0,208.0
0.133,simultaneous_pose,247.0,0.0,247.0
0.136,simultaneous_pose,234.0,0.0,234.0
0.139,simultaneous_pose,214.5,0.0,214.5
0.141,simultaneous_pose,214.5,0.0,214.5
0.144,simultaneous_pose,247.0,0.0,247.0
0.147,simultaneous_pose,227.5,0.0,227.5
0.15,simultaneous_pose,247.0,0.0,247.0
0.152,simultaneous_pose,234.0,0.0,234.0
0.155,simultaneous_pose,201.5,0.0,201.5
