elapsed_s,phase,arms_ma,head_ma,total_ma
0.003,simultaneous_pose,0.0,0.0,0.0
0.006,simultaneous_pose,0.0,6.5,6.5
0.008,simultaneous_pose,0.0,6.5,6.5
0.011,simultaneous_pose,0.0,0.0,0.0
0.014,simultaneous_pose,0.0,0.0,0.0
0.016,simultaneous_pose,0.0,6.5,6.5
0.019,simultaneous_pose,13.0,0.0,13.0
0.022,simultaneous_pose,13.0,0.0,13.0
0.025,simultaneous_pose,19.5,0.0,19.5
0.027,simultaneous_pose,13.0,0.0,13.0
0.03,simultaneous_pose,45.5,0.0,45.5
0.033,simultaneous_pose,19.5,0.0,19.5
0.036,simultaneous_pose,39.0,0.0,39.0
0.039,simultaneous_pose,52.0,0.0,52.0
0.041,simultaneous_pose,71.5,6.5,78.0
0.045,simultaneous_pose,78.0,0.0,78.0
0.047,simultaneous_pose,65.0,0.0,65.0
0.05,simultaneous_pose,84.5,0.0,84.5
0.053,simultaneous_pose,71.5,0.0,71.5
0.056,simultaneous_pose,91.0,0.0,91.0
0.059,simultaneous_pose,84.5,0.0,84.5
0.061,simultaneous_pose,97.5,0.0,97.5
0.064,simultaneous_pose,117.0,0.0,117.0
0.066,simultaneous_pose,123.5,6.5,130.0
0.069,simultaneous_pose,130.0,0.0,130.0
0.072,simultaneous_pose,130.0,0.0,130.0
0.075,simultaneous_pose,117.0,0.0,117.0
0.077,simultaneous_pose,136.5,0.0,136.5
0.08,simultaneous_pose,123.5,0.0,123.5
0.083,simultaneous_pose,143.0,0.0,143.0
0.085,simultaneous_pose,169.0,0.0,169.0
0.088,simultaneous_pose,175.5,0.0,175.5
0.091,simultaneous_pose,149.5,0.0,149.5
0.093,simultaneous_pose,149.5,0.0,149.5
0.096,simultaneous_pose,149.5,0.0,149.5
0.098,simultaneous_pose,136.5,0.0,136.5
0.101,simultaneous_pose,169.0,0.0,169.0
0.104,simultaneous_pose,156.0,0.0,156.0
0.106,simultaneous_pose,162.5,0.0,162.5
0.109,simultaneous_pose,149.5,0.0,149.5
0.112,simultaneous_pose,156.0,0.0,156.0
0.114,simultaneous_pose,156.0,0.0,156.0
0.117,simultaneous_pose,195.0,0.0,195.0
0.12,simultaneous_pose,162.5,0.0,162.5
0.122,simultaneous_pose,188.5,0.0,188.5
0.125,simultaneous_pose,182.0,0.0,182.0
0.127,simultaneous_pose,221.0,0.0,221.0
0.13,simultaneous_pose,188.5,0.0,188.5
0.133,simultaneous_pose,195.0,0.0,195.0
0.135,simultaneous_pose,188.5,0.0,188.5
0.138,simultaneous_pose,188.5,0.0,188.5
0.14,simultaneous_pose,188.5,0.0,188.5
0.143,simultaneous_pose,195.0,0.0,195.0
