elapsed_s,phase,arms_ma,head_ma,total_ma
0.003,simultaneous_pose,0.0,0.0,0.0
0.006,simultaneous_pose,0.0,0.0,0.0
0.009,simultaneous_pose,0.0,0.0,0.0
0.012,simultaneous_pose,6.5,0.0,6.5
0.015,simultaneous_pose,0.0,0.0,0.0
0.018,simultaneous_pose,13.0,0.0,13.0
0.021,simultaneous_pose,6.5,0.0,6.5
0.024,simultaneous_pose,19.5,0.0,19.5
0.027,simultaneous_pose,19.5,0.0,19.5
0.03,simultaneous_pose,39.0,0.0,39.0
0.033,simultaneous_pose,26.0,0.0,26.0
0.036,simultaneous_pose,52.0,0.0,52.0
0.039,simultaneous_pose,52.0,0.0,52.0
0.042,simultaneous_pose,65.0,0.0,65.0
0.045,simultaneous_pose,78.0,0.0,78.0
0.048,simultaneous_pose,78.0,0.0,78.0
0.051,simultaneous_pose,78.0,0.0,78.0
0.054,simultaneous_pose,91.0,0.0,91.0
0.056,simultaneous_pose,91.0,0.0,91.0
0.06,simultaneous_pose,110.5,0.0,110.5
0.062,simultaneous_pose,104.0,0.0,104.0
0.065,simultaneous_pose,117.0,0.0,117.0
0.068,simultaneous_pose,117.0,0.0,117.0
0.071,simultaneous_pose,117.0,0.0,117.0
0.074,simultaneous_pose,123.5,0.0,123.5
0.077,simultaneous_pose,136.5,0.0,136.5
0.08,simultaneous_pose,156.0,0.0,156.0
0.083,simultaneous_pose,136.5,0.0,136.5
0.086,simultaneous_pose,143.0,0.0,143.0
0.088,simultaneous_pose,156.0,0.0,156.0
0.092,simultaneous_pose,169.0,0.0,169.0
0.095,simultaneous_pose,149.5,0.0,149.5
0.097,simultaneous_pose,169.0,0.0,169.0
0.1,simultaneous_pose,162.5,0.0,162.5
0.103,simultaneous_pose,169.0,6.5,175.5
0.106,simultaneous_pose,156.0,0.0,156.0
0.109,simultaneous_pose,195.0,0.0,195.0
0.112,simultaneous_pose,156.0,0.0,156.0
0.115,simultaneous_pose,143.0,0.0,143.0
0.118,simultaneous_pose,162.5,6.5,169.0
0.121,simultaneous_pose,169.0,0.0,169.0
0.124,simultaneous_pose,162.5,6.5,169.0
0.126,simultaneous_pose,169.0,0.0,169.0
0.129,simultaneous_pose,162.5,0.0,162.5
0.132,simultaneous_pose,182.0,6.5,188.5
0.135,simultaneous_pose,188.5,0.0,188.5
0.138,simultaneous_pose,201.5,0.0,201.5
0.141,simultaneous_pose,214.5,0.0,214.5
0.144,simultaneous_pose,208.0,6.5,214.5
0.147,simultaneous_pose,227.5,0.0,227.5
0.15,simultaneous_pose,227.5,0.0,227.5
0.153,simultaneous_pose,253.5,0.0,253.5
0.156,simultaneous_pose,208.0,0.0,208.0
0.158,simultaneous_pose,266.5,0.0,266.5
