elapsed_s,phase,arms_ma,head_ma,total_ma
0.003,simultaneous_pose,0.0,0.0,0.0
0.006,simultaneous_pose,0.0,0.0,0.0
0.009,simultaneous_pose,0.0,6.5,6.5
0.012,simultaneous_pose,0.0,0.0,0.0
0.014,simultaneous_pose,0.0,0.0,0.0
0.017,simultaneous_pose,0.0,0.0,0.0
0.019,simultaneous_pose,6.5,0.0,6.5
0.022,simultaneous_pose,26.0,0.0,26.0
0.025,simultaneous_pose,13.0,0.0,13.0
0.028,simultaneous_pose,19.5,0.0,19.5
0.031,simultaneous_pose,39.0,0.0,39.0
0.033,simultaneous_pose,26.0,0.0,26.0
0.036,simultaneous_pose,32.5,0.0,32.5
0.038,simultaneous_pose,39.0,0.0,39.0
0.041,simultaneous_pose,65.0,0.0,65.0
0.044,simultaneous_pose,65.0,0.0,65.0
0.047,simultaneous_pose,52.0,0.0,52.0
0.05,simultaneous_pose,65.0,0.0,65.0
0.053,simultaneous_pose,84.5,0.0,84.5
0.055,simultaneous_pose,78.0,0.0,78.0
0.058,simultaneous_pose,91.0,0.0,91.0
0.06,simultaneous_pose,104.0,0.0,104.0
0.063,simultaneous_pose,110.5,0.0,110.5
0.066,simultaneous_pose,91.0,0.0,91.0
0.069,simultaneous_pose,110.5,0.0,110.5
0.072,simultaneous_pose,136.5,0.0,136.5
0.074,simultaneous_pose,104.0,0.0,104.0
0.077,simultaneous_pose,130.0,0.0,130.0
0.08,simultaneous_pose,149.5,0.0,149.5
0.082,simultaneous_pose,130.0,0.0,130.0
0.085,simultaneous_pose,149.5,0.0,149.5
0.088,simultaneous_pose,156.0,0.0,156.0
0.09,simultaneous_pose,143.0,0.0,143.0
0.093,simultaneous_pose,136.5,0.0,136.5
0.096,simultaneous_pose,162.5,0.0,162.5
0.099,simultaneous_pose,156.0,0.0,156.0
0.101,simultaneous_pose,149.5,0.0,149.5
0.104,simultaneous_pose,156.0,0.0,156.0
0.106,simultaneous_pose,169.0,0.0,169.0
0.109,simultaneous_pose,188.5,0.0,188.5
0.112,simultaneous_pose,156.0,0.0,156.0
0.114,simultaneous_pose,188.5,0.0,188.5
0.117,simultaneous_pose,201.5,0.0,201.5
0.12,simultaneous_pose,169.0,0.0,169.0
0.122,simultaneous_pose,162.5,0.0,162.5
0.125,simultaneous_pose,195.0,0.0,195.0
0.127,simultaneous_pose,240.5,0.0,240.5
0.13,simultaneous_pose,195.0,0.0,195.0
0.133,simultaneous_pose,221.0,0.0,221.0
0.135,simultaneous_pose,195.0,0.0,195.0
0.138,simultaneous_pose,234.0,0.0,234.0
0.14,simultaneous_pose,227.5,0.0,227.5
0.143,simultaneous_pose,234.0,0.0,234.0
0.146,simultaneous_pose,260.0,0.0,260.0
