trial,config,samples,sample_hz,v_idle_mv,v_min_mv,i_peak_ma,reset
1,two-bus,32192,665.8,5072,5000,1040,N
2,two-bus,32902,680.6,5072,5000,1040,N
3,two-bus,34144,706.2,5072,5000,1056,N
4,two-bus,31994,661.7,5072,5000,1040,N
5,two-bus,32869,679.1,5072,5008,1064,N
6,two-bus,34625,714.8,5072,5008,1056,N
7,two-bus,34627,715.2,5072,5000,1064,N
8,two-bus,34641,715.2,5072,5000,1064,N
9,two-bus,33871,699.8,5072,5008,1072,N
10,two-bus,34224,706.7,5072,5008,1072,N
