t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
0.0,,,0,0,0,0,0,0,0
0.0362,,,0,0,0,0,0,0,0
0.0702,,,0,0,0,0,0,0,0
0.1062,,,0,0,0,0,0,0,0
0.1422,,,0,0,0,0,0,0,0
0.1783,,,0,0,0,0,0,0,0
0.2143,,,0,0,0,0,0,0,0
0.2502,,,0,0,0,0,0,0,0
0.2817,,,0,0,0,0,0,0,0
0.318,,,0,0,0,0,0,0,0
0.3534,,,0,0,0,0,0,0,0
0.386,,,0,0,0,0,0,0,0
0.4178,,,0,0,0,0,0,0,0
0.4539,,,0,0,0,0,0,0,0
0.4884,,,0,0,0,0,0,0,0
0.5215,,,0,0,0,0,0,0,0
0.5567,,,0,0,0,0,0,0,0
0.5927,,,0,0,0,0,0,0,0
0.6289,,,0,0,0,0,0,0,0
0.6618,,,0,0,0,0,0,0,0
0.6962,,,0,0,0,0,0,0,0
0.7323,,,0,0,0,0,0,0,0
0.7684,,,0,0,0,0,0,0,0
0.8026,,,1,0,1,0,0,0,0
0.8368,,,0,0,0,0,0,0,0
0.8729,,,0,0,0,0,0,0,0
0.9083,,,0,0,0,0,0,0,0
0.9411,,,0,0,0,0,0,0,0
0.9771,,,0,0,0,0,0,0,0
1.0126,,,0,0,0,0,0,0,0
1.0452,,,0,0,0,0,0,0,0
1.0792,,,0,0,0,0,0,0,0
1.1118,,,0,0,0,0,0,0,0
1.1459,,,0,0,0,0,0,0,0
1.1786,,,0,0,0,0,0,0,0
1.2148,,,0,0,0,0,0,0,0
1.2512,,,0,0,0,0,0,0,0
1.2873,,,0,0,0,0,0,0,0
1.3202,,,0,0,0,0,0,0,0
1.3535,,,0,0,0,0,0,0,0
1.3896,,,0,0,0,0,0,0,0
1.4258,,,0,0,0,0,0,0,0
1.4585,,,0,0,0,0,0,0,0
1.4902,,,0,0,0,0,0,0,0
1.5264,,,0,0,0,0,0,0,0
1.5625,,,0,0,0,0,0,0,0
1.5986,,,0,0,0,0,0,0,0
1.6347,,,1,1,0,0,0,0,0
1.6709,,,0,0,0,0,0,0,0
1.707,,,0,0,0,0,0,0,0
1.7431,,,0,0,0,0,0,0,0
1.7785,,,0,0,0,0,0,0,0
1.8136,,,0,0,0,0,0,0,0
1.8452,,,0,0,0,0,0,0,0
1.8814,,,0,0,0,0,0,0,0
1.9141,,,0,0,0,0,0,0,0
1.9465,,,0,0,0,0,0,0,0
1.978,,,0,0,0,0,0,0,0
2.0143,,,0,0,0,0,0,0,0
2.0476,,,0,0,0,0,0,0,0
2.0835,,,0,0,0,0,0,0,0
2.1193,,,0,0,0,0,0,0,0
2.1536,,,0,0,0,0,0,0,0
2.1852,,,0,0,0,0,0,0,0
2.2173,,,0,0,0,0,0,0,0
2.2526,,,0,0,0,0,0,0,0
2.2859,,,0,0,0,0,0,0,0
2.3222,,,0,0,0,0,0,0,0
2.3541,,,1,0,0,0,0,1,0
2.3856,,,0,0,0,0,0,0,0
2.4219,,,0,0,0,0,0,0,0
2.4533,,,1,0,1,0,0,0,0
2.4849,,,0,0,0,0,0,0,0
2.5193,,,0,0,0,0,0,0,0
2.5526,,,0,0,0,0,0,0,0
2.5887,,,0,0,0,0,0,0,0
2.6202,,,0,0,0,0,0,0,0
2.6535,,,0,0,0,0,0,0,0
2.6896,,,0,0,0,0,0,0,0
2.7254,,,0,0,0,0,0,0,0
2.7614,,,0,0,0,0,0,0,0
2.7975,,,0,0,0,0,0,0,0
2.8335,,,0,0,0,0,0,0,0
2.8692,,,0,0,0,0,0,0,0
2.9053,,,0,0,0,0,0,0,0
2.9414,,,0,0,0,0,0,0,0
2.9736,,,0,0,0,0,0,0,0
3.0091,,,0,0,0,0,0,0,0
3.044,,,6,0,2,1,2,1,0
3.0803,,,4,0,1,1,1,0,1
3.1156,,,2,0,0,1,1,0,0
3.1471,,,4,1,1,1,1,0,0
3.1785,,,5,1,1,1,1,0,1
3.2136,,,4,0,1,1,1,0,1
3.2499,,,4,1,1,1,0,0,1
3.2864,,,4,1,0,1,1,1,0
3.3185,,,2,0,1,0,1,0,0
3.3546,,,5,1,1,0,1,1,1
3.3868,,,5,0,2,1,1,0,1
3.4232,,,5,1,1,1,1,0,1
3.4594,,,3,0,1,1,1,0,0
3.4943,,,4,1,1,1,0,0,1
3.5284,,,4,1,1,1,1,0,0
3.5648,,,4,1,1,0,1,0,1
3.6011,,,3,1,1,0,1,0,0
3.6354,,,2,1,0,1,0,0,0
3.6716,,,3,0,1,1,1,0,0
3.7074,,,4,0,1,1,1,0,1
3.7432,,,5,1,1,1,1,0,1
3.7794,,,3,0,1,1,1,0,0
3.8119,,,6,1,1,1,1,1,1
3.848,,,1,0,1,0,0,0,0
3.8821,,,4,1,1,1,1,0,0
3.9164,,,4,0,1,1,1,0,1
3.9489,,,3,0,1,1,1,0,0
3.9851,,,5,1,1,1,1,0,1
4.0213,,,5,1,1,1,1,0,1
4.0541,,,4,0,1,1,0,1,1
4.0875,,,2,0,1,0,1,0,0
4.1211,,,4,0,0,1,1,1,1
4.1573,,,3,0,1,1,0,0,1
4.1935,,,2,0,0,1,1,0,0
4.2285,,,3,1,1,1,0,0,0
4.2618,,,4,0,1,1,1,0,1
4.2973,,,6,1,1,1,1,1,1
4.3334,,,4,0,1,1,1,1,0
4.3646,,,5,1,1,1,1,0,1
4.3978,,,3,0,1,1,1,0,0
4.4339,,,6,1,1,1,1,1,1
4.4701,,,5,1,1,1,1,0,1
4.5048,,,3,0,1,0,1,1,0
4.5405,,,4,0,1,1,0,1,1
4.5736,,,3,1,1,1,0,0,0
4.6093,,,3,1,1,0,0,0,1
4.6451,,,3,0,1,1,1,0,0
4.6815,,,5,1,1,1,1,0,1
4.716,,,4,1,1,1,1,0,0
4.7522,,,4,1,0,1,1,0,1
4.7868,,,4,1,1,0,1,0,1
4.8201,,,4,1,1,1,1,0,0
4.8553,,,3,1,1,1,0,0,0
4.8916,,,5,1,1,0,1,1,1
4.9277,,,3,1,1,1,0,0,0
4.964,,,4,1,1,1,0,0,1
4.9999,,,2,1,0,1,0,0,0
5.0362,,,4,0,2,1,1,0,0
5.0715,,,4,1,1,1,0,0,1
5.106,,,3,1,0,1,1,0,0
5.1423,,,4,0,0,1,1,1,1
5.1784,,,2,0,1,1,0,0,0
5.2116,,,4,1,1,1,1,0,0
5.2461,,,5,1,1,1,1,0,1
5.2822,,,4,0,1,1,1,0,1
5.318,,,3,1,0,1,1,0,0
5.3538,,,1,0,0,1,0,0,0
5.386,,,5,1,1,1,1,1,0
5.4192,,,5,1,1,1,1,1,0
