09-01-2026 21:36:12 RAM 3789/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [24%@729,20%@729,30%@729,19%@729,27%@729,26%@729] GR3D_FREQ 99% cpu@61.5C soc2@59.562C soc0@60.156C gpu@64.062C tj@64.062C soc1@59.531C VDD_IN 22162mW/19299mW VDD_CPU_GPU_CV 8837mW/7247mW VDD_SOC 7807mW/6985mW
09-01-2026 21:36:17 RAM 3786/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [18%@1113,22%@1113,27%@1113,18%@1113,28%@1344,24%@1344] GR3D_FREQ 99% cpu@62.125C soc2@60.062C soc0@60.812C gpu@64.312C tj@64.312C soc1@59.875C VDD_IN 21687mW/19439mW VDD_CPU_GPU_CV 8368mW/7313mW VDD_SOC 7807mW/7034mW
09-01-2026 21:36:22 RAM 3795/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [20%@729,17%@729,22%@729,18%@729,33%@729,28%@729] GR3D_FREQ 99% cpu@62.937C soc2@60.5C soc0@61.125C gpu@64.968C tj@64.968C soc1@60.468C VDD_IN 22002mW/19581mW VDD_CPU_GPU_CV 8681mW/7389mW VDD_SOC 7689mW/7070mW
09-01-2026 21:36:27 RAM 3787/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [25%@1267,27%@1267,23%@1267,18%@1267,30%@1036,12%@1036] GR3D_FREQ 99% cpu@63.25C soc2@61.062C soc0@61.687C gpu@65.062C tj@65.062C soc1@60.875C VDD_IN 22084mW/19713mW VDD_CPU_GPU_CV 8641mW/7455mW VDD_SOC 7885mW/7113mW
09-01-2026 21:36:32 RAM 3794/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [28%@960,22%@960,22%@960,18%@960,25%@1113,23%@1113] GR3D_FREQ 99% cpu@63.593C soc2@61.406C soc0@61.937C gpu@65.562C tj@65.562C soc1@61.281C VDD_IN 21529mW/19804mW VDD_CPU_GPU_CV 8225mW/7494mW VDD_SOC 7807mW/7148mW
09-01-2026 21:36:37 RAM 3782/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [29%@729,23%@729,25%@729,19%@729,22%@729,12%@729] GR3D_FREQ 88% cpu@64.031C soc2@62.031C soc0@62.468C gpu@65.718C tj@65.718C soc1@61.812C VDD_IN 22123mW/19914mW VDD_CPU_GPU_CV 8368mW/7535mW VDD_SOC 8042mW/7190mW
09-01-2026 21:36:42 RAM 3791/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [27%@1113,19%@1113,19%@1113,17%@1113,29%@1036,31%@1036] GR3D_FREQ 99% cpu@64.406C soc2@62.218C soc0@62.687C gpu@66.25C tj@66.25C soc1@61.937C VDD_IN 22005mW/20009mW VDD_CPU_GPU_CV 8641mW/7586mW VDD_SOC 7846mW/7220mW
09-01-2026 21:36:47 RAM 3802/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [23%@1728,28%@1728,19%@1728,19%@1728,27%@1497,18%@1497] GR3D_FREQ 99% cpu@64.562C soc2@62.531C soc0@63.093C gpu@66.375C tj@66.375C soc1@62.312C VDD_IN 21687mW/20082mW VDD_CPU_GPU_CV 8329mW/7618mW VDD_SOC 7846mW/7247mW
09-01-2026 21:36:52 RAM 3795/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [38%@729,20%@729,24%@729,16%@729,22%@729,19%@729] GR3D_FREQ 99% cpu@65.125C soc2@62.968C soc0@63.406C gpu@66.875C tj@66.875C soc1@62.593C VDD_IN 22359mW/20177mW VDD_CPU_GPU_CV 8549mW/7657mW VDD_SOC 8107mW/7283mW
09-01-2026 21:36:57 RAM 3776/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [29%@729,21%@729,26%@729,20%@729,24%@883,18%@883] GR3D_FREQ 99% cpu@65.406C soc2@63.156C soc0@63.656C gpu@67.343C tj@67.343C soc1@62.875C VDD_IN 22241mW/20260mW VDD_CPU_GPU_CV 8798mW/7702mW VDD_SOC 7833mW/7305mW
