elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
0.002,2026-08-05T06:09:58.054904+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.002,2026-08-05T06:09:58.054904+00:00,left_shoulder_lift,2389,2424,35,36,12,152
0.002,2026-08-05T06:09:58.054904+00:00,left_elbow_flex,1629,1633,4,35,0,28
0.002,2026-08-05T06:09:58.054904+00:00,left_wrist_flex,2169,2172,3,35,0,24
0.002,2026-08-05T06:09:58.054904+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.002,2026-08-05T06:09:58.054904+00:00,left_gripper,2014,2014,0,37,0,0
0.002,2026-08-05T06:09:58.054904+00:00,right_shoulder_pan,1975,1966,-9,37,1,1054
0.002,2026-08-05T06:09:58.054904+00:00,right_shoulder_lift,2049,2097,48,38,5,110
0.002,2026-08-05T06:09:58.054904+00:00,right_elbow_flex,2247,2127,-120,41,4,74
0.002,2026-08-05T06:09:58.054904+00:00,right_wrist_flex,1976,1983,7,35,0,28
0.002,2026-08-05T06:09:58.054904+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.002,2026-08-05T06:09:58.054904+00:00,right_gripper,2438,2447,9,38,1,32
0.052,2026-08-05T06:09:58.103043+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.052,2026-08-05T06:09:58.103043+00:00,left_shoulder_lift,2389,2424,35,36,10,152
0.052,2026-08-05T06:09:58.103043+00:00,left_elbow_flex,1629,1633,4,35,1,28
0.052,2026-08-05T06:09:58.103043+00:00,left_wrist_flex,2169,2172,3,35,0,24
0.052,2026-08-05T06:09:58.103043+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.052,2026-08-05T06:09:58.103043+00:00,left_gripper,2014,2014,0,37,0,0
0.052,2026-08-05T06:09:58.103043+00:00,right_shoulder_pan,1996,1966,-30,37,1,1056
0.052,2026-08-05T06:09:58.103043+00:00,right_shoulder_lift,2049,2097,48,39,5,110
0.052,2026-08-05T06:09:58.103043+00:00,right_elbow_flex,2246,2127,-119,41,1,46
0.052,2026-08-05T06:09:58.103043+00:00,right_wrist_flex,1976,1983,7,35,0,28
0.052,2026-08-05T06:09:58.103043+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.052,2026-08-05T06:09:58.103043+00:00,right_gripper,2438,2447,9,38,1,32
0.102,2026-08-05T06:09:58.153157+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.102,2026-08-05T06:09:58.153157+00:00,left_shoulder_lift,2389,2424,35,36,11,152
0.102,2026-08-05T06:09:58.153157+00:00,left_elbow_flex,1629,1633,4,35,0,28
0.102,2026-08-05T06:09:58.153157+00:00,left_wrist_flex,2169,2172,3,35,0,24
0.102,2026-08-05T06:09:58.153157+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.102,2026-08-05T06:09:58.153157+00:00,left_gripper,2014,2014,0,37,0,0
0.102,2026-08-05T06:09:58.153157+00:00,right_shoulder_pan,2016,1966,-50,37,2,1084
0.102,2026-08-05T06:09:58.153157+00:00,right_shoulder_lift,2049,2097,48,39,6,110
0.102,2026-08-05T06:09:58.153157+00:00,right_elbow_flex,2244,2132,-112,41,0,1042
0.102,2026-08-05T06:09:58.153157+00:00,right_wrist_flex,1976,1983,7,35,0,28
0.102,2026-08-05T06:09:58.153157+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.102,2026-08-05T06:09:58.153157+00:00,right_gripper,2438,2447,9,38,1,32
0.152,2026-08-05T06:09:58.203288+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
