t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
7.4556,,,13,6,0,2,1,3,1
7.487,,,12,7,1,1,1,2,0
7.5207,,,11,5,1,2,0,3,0
7.555,,,23,1,4,11,5,1,1
7.5876,,,112,9,23,38,28,13,1
7.6231,,,180,13,17,61,66,22,1
7.6549,,,213,24,9,86,61,33,0
7.6909,,,191,44,10,85,3,49,0
7.7268,,,106,14,11,56,0,24,1
7.7585,,,61,0,10,33,0,18,0
7.7948,,,42,0,10,23,0,8,1
7.829,,,46,0,6,33,6,0,1
7.8618,,,11,0,10,0,0,1,0
7.8981,,,9,0,7,0,1,0,1
7.9345,,,12,0,8,0,4,0,0
7.9708,,,14,1,10,2,1,0,0
8.0061,,,15,0,10,2,2,0,1
8.0425,,,12,0,9,1,2,0,0
8.0789,,,9,1,7,0,1,0,0
8.1119,,,4,0,0,1,1,1,1
8.1466,,,6,1,0,3,1,0,1
8.1799,,,3,0,0,1,1,0,1
8.2161,,,3,0,0,1,1,0,1
8.2473,,,3,0,1,1,0,0,1
8.2787,,,3,0,1,0,1,0,1
8.3133,,,2,0,0,0,1,0,1
8.349,,,2,0,0,0,1,0,1
8.3853,,,3,1,0,1,1,0,0
8.4201,,,4,0,1,1,1,0,1
8.4549,,,4,1,1,1,1,0,0
8.4874,,,4,0,1,1,1,0,1
8.5233,,,6,1,1,1,2,0,1
8.5596,,,4,1,1,1,1,0,0
8.5923,,,4,1,1,0,1,0,1
8.6283,,,4,0,1,1,1,0,1
8.6648,,,6,1,1,1,1,1,1
8.7005,,,5,1,1,0,2,1,0
8.7334,,,3,0,1,1,1,0,0
8.7689,,,4,1,1,0,1,0,1
8.8051,,,3,0,1,1,1,0,0
8.8371,,,4,0,2,0,1,0,1
8.8714,,,2,0,1,0,1,0,0
8.9061,,,5,1,1,1,1,1,0
8.9424,,,4,1,1,0,1,0,1
8.9786,,,3,0,1,0,2,0,0
9.0148,,,6,1,1,0,2,1,1
9.0509,,,19,8,2,4,2,2,1
9.0871,,,111,33,22,16,22,17,1
9.1234,,,170,64,19,24,29,33,1
9.1567,,,231,109,9,45,19,49,0
9.1905,,,237,102,9,57,0,69,0
9.226,,,144,71,8,27,0,37,1
9.2587,,,117,57,9,19,0,31,1
9.2914,,,73,18,8,20,0,26,1
9.326,,,34,0,7,0,2,24,1
9.3606,,,33,0,10,0,1,21,1
9.3968,,,23,2,8,0,2,11,0
9.4332,,,31,21,8,0,1,0,1
9.467,,,35,23,9,2,0,0,1
9.5032,,,17,9,7,1,0,0,0
9.5379,,,13,6,6,0,0,1,0
9.5733,,,12,4,7,0,1,0,0
9.6095,,,11,7,0,0,2,1,1
9.6446,,,9,6,0,0,1,1,1
9.6769,,,10,7,1,1,0,1,0
9.7123,,,11,6,0,2,1,1,1
9.744,,,14,6,1,2,2,2,1
9.7799,,,12,6,1,1,1,2,1
9.8163,,,11,6,1,1,1,2,0
9.8481,,,10,6,1,1,0,2,0
9.88,,,9,5,1,1,0,2,0
9.9113,,,11,7,1,1,0,1,1
9.9475,,,12,6,1,2,0,2,1
9.9788,,,11,6,1,1,1,2,0
10.0132,,,11,6,1,1,1,2,0
10.0488,,,11,5,1,1,1,2,1
10.0803,,,11,6,0,1,1,2,1
10.1163,,,10,6,0,1,1,2,0
10.1502,,,8,6,0,1,0,1,0
10.1864,,,11,6,2,1,0,2,0
10.2226,,,11,6,0,1,1,2,1
10.2582,,,11,6,1,1,1,2,0
10.2944,,,12,6,1,1,1,2,1
10.3288,,,10,6,1,1,0,2,0
10.3652,,,10,6,0,1,1,2,0
10.4014,,,10,6,1,1,0,2,0
10.4357,,,12,6,1,1,1,2,1
10.4717,,,9,5,0,1,1,2,0
10.504,,,9,5,0,1,1,2,0
10.5378,,,10,4,0,3,1,1,1
10.5741,,,69,2,12,27,21,7,0
10.6057,,,121,11,24,41,30,14,1
10.642,,,183,16,11,66,65,25,0
10.6782,,,232,36,9,110,28,48,1
10.7145,,,150,29,10,73,0,38,0
10.7508,,,79,8,11,42,0,17,1
10.787,,,47,0,10,25,0,12,0
10.822,,,46,0,8,29,4,4,1
10.8565,,,14,0,9,0,1,4,0
10.8882,,,13,0,8,0,1,3,1
10.9216,,,14,0,10,0,3,0,1
10.9549,,,11,0,8,2,0,0,1
10.9912,,,16,2,10,4,0,0,0
11.0275,,,10,0,8,0,2,0,0
11.064,,,11,0,7,2,1,0,1
11.1004,,,10,0,10,0,0,0,0
11.1319,,,4,1,0,1,1,0,1
11.1661,,,4,0,0,1,2,0,1
11.2025,,,1,0,0,0,0,0,1
11.2387,,,4,0,2,1,0,0,1
11.275,,,3,0,1,0,2,0,0
11.3112,,,2,0,0,0,1,0,1
11.3475,,,2,1,0,0,1,0,0
11.3807,,,2,0,1,0,1,0,0
11.4132,,,4,1,1,0,1,0,1
11.4497,,,4,1,1,0,1,0,1
11.4859,,,3,0,1,1,1,0,0
11.5216,,,3,0,1,0,2,0,0
11.5551,,,3,1,1,0,1,0,0
11.5875,,,3,0,1,0,1,0,1
11.6207,,,5,1,2,1,1,0,0
11.6567,,,5,1,2,0,1,0,1
11.692,,,4,0,2,0,1,0,1
11.7275,,,4,1,1,1,1,0,0
11.7624,,,3,0,2,0,1,0,0
11.7984,,,4,0,1,0,2,0,1
11.8347,,,5,1,2,1,1,0,0
11.8701,,,3,1,1,0,1,0,0
11.9063,,,2,0,1,0,1,0,0
11.9427,,,5,1,1,0,2,0,1
11.9773,,,3,0,1,0,1,0,1
12.0123,,,4,1,1,1,1,0,0
12.0474,,,10,4,1,2,1,2,0
12.0838,,,89,22,17,14,20,16,0
12.12,,,166,62,27,18,32,27,0
12.1562,,,220,102,9,33,31,45,0
12.192,,,243,108,8,48,4,75,0
12.2282,,,156,76,9,33,0,37,1
12.264,,,107,55,7,17,0,27,1
12.2965,,,78,29,7,18,0,23,1
12.3321,,,36,0,10,2,1,22,1
12.3684,,,29,0,9,0,1,19,0
12.4046,,,27,4,8,0,2,12,1
12.4413,,,32,24,8,0,0,0,0
12.478,,,33,24,7,1,1,0,0
12.5142,,,18,9,8,0,0,0,1
12.5506,,,13,5,7,0,0,1,0
12.5868,,,14,4,7,0,1,1,1
12.6215,,,5,4,0,0,1,0,0
12.6556,,,9,6,0,0,1,1,1
12.6882,,,10,6,0,1,1,2,0
12.7245,,,11,6,0,2,0,2,1
12.7607,,,11,6,1,1,1,2,0
12.7924,,,11,5,1,2,1,2,0
12.8286,,,9,5,1,1,1,1,0
12.861,,,11,6,1,1,1,1,1
12.8966,,,10,6,1,2,0,1,0
12.9299,,,8,6,0,1,0,1,0
12.966,,,9,5,1,1,0,1,1
13.0022,,,10,6,1,1,1,1,0
13.0383,,,10,5,1,1,1,1,1
13.0747,,,11,6,1,1,1,1,1
13.1105,,,10,6,1,1,0,2,0
13.1459,,,0,,,,,,
13.8131,,,0,0,0,0,0,0,0
14.0837,,,0,0,0,0,0,0,0
14.1197,,,1,0,1,0,0,0,0
