step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,0.6619,99.368,93.522,-100.0,-0.147,75.711,38.95,99.99,61.707,-103.433,0.146,86.326,39.044
1,0.6701,99.368,93.522,-100.0,-0.147,75.711,38.95,100.007,61.777,-103.423,0.13,86.084,39.044
2,0.7041,99.368,93.522,-100.0,-0.147,75.711,38.95,100.005,61.711,-103.507,0.146,86.245,39.042
3,0.7414,99.368,93.522,-100.0,-0.147,76.391,38.95,99.973,61.711,-103.369,0.142,86.284,39.046
4,0.7744,99.368,93.455,-100.0,-0.147,77.495,39.096,99.889,61.562,-103.274,0.179,86.602,39.049
5,0.8078,98.646,92.982,-100.0,-0.221,78.854,39.292,99.9,61.537,-103.344,0.171,86.517,39.046
6,0.8404,98.646,91.903,-100.0,-0.295,79.193,39.341,99.905,61.549,-103.183,0.179,86.716,39.052
7,0.8749,98.646,90.621,-100.0,-0.147,79.193,39.341,99.848,61.485,-103.357,0.191,86.55,39.045
8,0.9082,98.646,89.136,-100.0,-0.074,79.193,39.341,99.886,61.526,-103.282,0.186,86.584,39.049
9,0.9414,98.646,87.314,-100.0,-0.147,79.193,39.341,99.836,61.487,-103.27,0.196,86.583,39.048
10,0.9752,98.646,85.29,-100.0,-0.147,79.193,39.341,99.869,61.356,-103.326,0.198,86.78,39.047
11,1.0085,98.646,82.996,-100.0,-0.147,79.193,39.341,99.874,61.445,-103.325,0.194,86.644,39.046
12,1.0419,98.646,80.229,-100.0,-0.147,79.193,39.341,99.869,61.537,-103.367,0.179,86.444,39.046
13,1.0754,98.646,77.53,-100.0,-0.147,79.193,39.341,99.864,61.54,-103.322,0.18,86.492,39.047
14,1.1087,98.646,74.966,-100.0,-0.147,79.193,39.341,99.862,61.382,-103.263,0.196,86.747,39.047
15,1.1421,98.646,72.47,-100.0,-0.147,79.193,39.341,99.862,61.461,-103.294,0.19,86.642,39.048
16,1.1753,98.646,70.378,-100.0,-0.147,79.193,39.341,99.85,61.381,-103.348,0.192,86.635,39.045
17,1.2124,98.646,68.421,-100.0,-0.147,79.193,39.341,99.825,61.337,-103.361,0.211,86.629,39.045
18,1.243,98.646,66.464,-100.0,-0.147,79.193,39.341,99.868,61.316,-103.341,0.201,86.752,39.046
19,1.2758,98.646,65.115,-100.0,-0.147,79.193,39.341,99.816,61.379,-103.279,0.201,86.635,39.046
20,1.3094,98.646,63.968,-100.0,-0.147,79.193,39.341,99.858,61.266,-103.289,0.195,86.782,39.046
21,1.3427,98.646,63.09,-100.0,-0.147,79.193,39.341,99.831,61.238,-103.303,0.212,86.818,39.047
22,1.3758,98.646,62.483,-100.0,-0.147,79.193,39.341,99.816,61.332,-103.234,0.195,86.701,39.048
23,1.4103,98.646,62.146,-100.0,-0.147,79.193,39.341,99.847,61.157,-103.321,0.211,86.799,39.046
24,1.4432,98.646,61.943,-100.0,-0.147,79.193,39.341,99.841,61.191,-103.347,0.212,86.795,39.047
25,1.4765,98.646,61.673,-100.0,-0.147,79.193,39.341,99.8,61.31,-103.321,0.212,86.653,39.046
26,1.5099,98.646,61.538,-100.0,-0.147,79.193,39.341,99.813,61.255,-103.242,0.203,86.783,39.048
27,1.5434,98.646,61.538,-100.0,-0.147,79.193,39.341,99.753,61.235,-103.335,0.223,86.651,39.046
