step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
53,2.3508,81.219,59.379,17.804,3.245,-65.35,38.755,79.478,59.263,20.598,3.761,-69.214,38.871
54,2.3845,80.587,59.379,19.717,3.171,-66.115,38.755,77.88,59.25,23.276,3.57,-70.212,38.876
55,2.418,80.677,59.379,20.216,3.171,-66.709,38.755,76.649,59.274,25.165,3.643,-71.39,38.873
56,2.4513,80.045,59.379,20.882,3.466,-67.473,38.755,75.418,59.267,26.491,3.895,-71.563,38.884
57,2.4846,78.42,59.379,22.379,3.54,-68.408,38.755,76.421,59.311,25.976,3.641,-71.795,38.876
58,2.518,77.517,59.379,24.21,3.466,-69.257,38.755,75.597,59.311,26.406,3.808,-71.91,38.883
59,2.5518,77.246,59.379,25.374,3.392,-69.851,38.755,74.129,59.324,28.639,3.891,-72.801,38.881
60,2.5948,77.246,59.379,25.707,3.392,-70.276,38.755,73.625,59.331,29.479,3.845,-73.527,38.881
61,2.6184,76.072,59.379,26.622,3.54,-70.786,38.755,72.656,59.344,31.245,3.636,-74.35,38.877
62,2.6523,74.628,59.379,28.286,3.54,-71.295,38.755,72.223,59.332,31.145,3.842,-74.361,38.879
63,2.6855,74.176,59.379,29.7,3.466,-71.975,38.755,71.863,59.321,31.911,3.929,-74.548,38.88
64,2.7187,74.086,59.379,30.699,3.466,-72.569,38.755,71.148,59.399,32.8,3.871,-74.991,38.886
65,2.7528,73.183,59.379,31.198,3.466,-72.909,38.755,70.711,59.392,33.463,3.563,-75.356,38.88
66,2.7857,72.37,59.379,31.864,3.54,-73.418,38.755,70.312,59.408,34.056,3.851,-75.875,38.884
67,2.8193,71.648,59.379,32.862,3.392,-73.928,38.755,70.699,59.446,33.686,3.579,-76.012,38.881
68,2.8523,71.648,59.379,33.86,3.392,-74.268,38.755,69.415,59.386,34.959,3.832,-76.197,38.889
69,2.8858,71.467,59.379,34.11,3.466,-74.607,38.755,70.204,59.446,34.815,3.557,-76.613,38.877
70,2.9196,70.835,59.379,34.443,3.54,-74.947,38.755,69.636,59.448,35.653,3.475,-77.12,38.874
71,2.9527,70.203,59.379,34.859,3.466,-75.202,38.755,69.476,59.472,35.924,3.5,-77.514,38.879
72,2.9862,70.474,59.379,35.358,3.392,-75.626,38.755,68.787,59.482,36.449,3.525,-77.654,38.876
73,3.02,70.474,59.379,36.023,3.392,-75.966,38.755,67.557,59.483,38.331,3.546,-78.328,38.873
74,3.0533,69.842,59.379,36.522,3.466,-76.306,38.755,67.894,59.493,38.197,3.24,-78.65,38.876
75,3.0865,69.21,59.379,37.105,3.466,-76.645,38.755,67.012,59.494,38.913,3.341,-78.87,38.874
76,3.12,68.217,59.379,37.937,3.466,-77.155,38.755,66.379,59.476,39.638,3.521,-79.123,38.881
77,3.1535,68.126,59.379,38.436,3.392,-77.495,38.755,66.799,59.52,39.59,3.321,-79.515,38.873
78,3.1857,67.765,59.379,39.185,3.466,-77.834,38.755,66.102,59.514,40.098,3.422,-79.466,38.875
79,3.2203,67.133,59.379,39.517,3.466,-78.174,38.755,67.131,59.528,39.186,3.164,-79.355,38.871
80,3.2536,67.223,59.379,39.767,3.466,-78.344,38.755,66.413,59.539,40.419,3.333,-80.212,38.87
81,3.2876,67.223,59.379,39.933,3.466,-78.514,38.755,65.151,59.525,41.623,3.314,-80.519,38.871
82,3.3209,67.133,59.379,40.183,3.466,-78.514,38.755,65.064,59.563,41.799,3.397,-80.89,38.87
83,3.3539,66.501,59.379,41.015,3.466,-78.938,38.755,65.396,59.568,41.367,3.262,-80.633,38.873
84,3.3874,65.869,59.379,41.764,3.466,-79.363,38.755,65.453,59.559,41.6,3.321,-81.001,38.869
85,3.421,66.05,59.379,41.764,3.466,-79.618,38.755,65.105,59.538,41.859,3.269,-80.716,38.872
86,3.4557,65.869,59.379,41.93,3.466,-79.618,38.755,64.487,59.591,42.388,3.325,-81.275,38.875
87,3.4882,65.418,59.379,42.18,3.466,-79.788,38.755,65.03,59.579,42.568,3.293,-81.504,38.865
88,3.5213,65.508,59.379,42.346,3.466,-79.788,38.755,65.458,59.654,42.225,2.973,-81.589,38.864
89,3.5547,65.237,59.379,42.679,3.466,-79.958,38.755,64.23,59.61,43.234,3.151,-81.899,38.866
90,3.5982,65.327,59.379,42.679,3.466,-80.297,38.755,64.668,59.592,42.759,3.117,-81.616,38.867
91,3.6212,65.237,59.379,43.012,3.466,-80.637,38.755,64.029,59.62,43.67,3.189,-82.344,38.865
92,3.6551,64.695,59.379,43.178,3.466,-80.722,38.755,64.368,59.6,43.328,3.023,-82.084,38.867
93,3.6907,64.786,59.379,43.428,3.466,-80.807,38.755,64.303,59.613,43.434,3.072,-82.027,38.869
94,3.725,64.786,59.379,43.76,3.466,-80.977,38.755,64.205,59.654,43.742,3.083,-82.539,38.867
95,3.7587,64.876,59.379,43.844,3.466,-81.062,38.755,63.713,59.657,44.148,3.075,-82.648,38.865
96,3.789,64.786,59.379,43.844,3.466,-81.146,38.755,63.387,59.647,44.333,3.014,-82.599,38.871
97,3.8223,64.334,59.379,44.01,3.466,-81.316,38.755,64.168,59.656,43.406,3.23,-82.198,38.876
98,3.856,64.153,59.379,44.26,3.466,-81.486,38.755,63.322,59.645,44.676,2.904,-82.832,38.862
99,3.8892,64.244,59.379,44.343,3.466,-81.486,38.755,63.566,59.657,44.313,3.051,-82.653,38.87
100,4.0091,64.153,59.379,44.343,3.466,-81.486,38.755,68.2,60.186,45.111,5.382,-90.747,38.767
101,4.0194,63.973,59.379,44.759,3.466,-81.656,38.755,68.166,60.167,45.402,5.479,-90.903,38.769
102,4.0528,63.973,59.379,44.759,3.466,-81.656,38.755,67.792,60.18,45.783,5.587,-90.94,38.769
103,4.0887,63.973,59.379,45.092,3.614,-81.741,38.755,67.432,60.143,46.347,5.652,-90.994,38.773
104,4.1219,65.147,59.379,45.591,4.204,-82.42,38.755,66.721,60.121,47.002,5.823,-91.004,38.776
105,4.1555,67.133,59.447,46.09,5.015,-83.27,38.755,66.458,60.086,47.368,5.869,-91.06,38.781
