step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,0.5922,99.368,93.387,-100.0,0.0,75.287,39.048,101.582,61.772,-104.273,0.119,82.763,39.07
1,0.6039,99.368,93.387,-100.0,0.0,75.287,39.048,101.603,61.794,-104.323,0.122,82.643,39.07
2,0.6375,99.368,93.387,-100.0,0.0,75.287,39.048,101.544,61.781,-104.403,0.093,82.573,39.069
3,0.6717,99.368,93.32,-100.0,0.0,76.136,39.048,101.574,61.797,-104.388,0.101,82.55,39.069
4,0.7052,99.368,93.32,-100.0,0.0,77.07,39.096,101.576,61.682,-104.141,0.136,82.919,39.071
5,0.7387,99.187,92.78,-100.0,0.0,77.834,39.292,101.486,61.612,-104.091,0.121,82.905,39.069
6,0.7722,98.916,91.633,-100.0,-0.074,78.174,39.341,101.634,61.616,-103.918,0.167,83.111,39.071
7,0.8057,98.916,90.418,-100.0,-0.074,78.259,39.389,101.442,61.616,-104.174,0.114,82.794,39.069
8,0.8396,98.916,88.934,-100.0,-0.074,78.344,39.389,101.509,61.657,-104.162,0.136,82.802,39.07
9,0.8745,98.826,87.112,-100.0,0.0,78.344,39.389,101.489,61.579,-104.034,0.142,82.924,39.07
10,0.9083,98.826,85.02,-100.0,0.0,78.344,39.389,101.413,61.466,-104.012,0.124,83.051,39.069
11,0.9372,98.826,82.726,-100.0,0.0,78.344,39.389,101.468,61.56,-104.065,0.123,82.931,39.068
12,0.9726,98.826,79.96,-100.0,0.0,78.344,39.389,101.464,61.64,-104.26,0.092,82.661,39.07
13,1.0058,98.826,77.193,-100.0,0.0,78.344,39.389,101.492,61.645,-104.211,0.115,82.741,39.069
14,1.0393,98.826,74.696,-100.0,0.0,78.344,39.389,101.463,61.468,-103.92,0.129,83.076,39.069
15,1.0726,98.826,72.267,-100.0,0.0,78.344,39.389,101.499,61.551,-104.005,0.126,82.933,39.069
16,1.1062,98.826,70.108,-100.0,0.0,78.344,39.389,101.431,61.474,-103.969,0.128,83.002,39.069
17,1.1393,98.826,68.151,-100.0,0.0,78.344,39.389,101.326,61.468,-104.043,0.127,82.903,39.068
18,1.1728,98.826,66.329,-100.0,0.0,78.344,39.389,101.436,61.445,-103.945,0.14,83.052,39.069
19,1.2061,98.826,64.98,-100.0,0.0,78.344,39.389,101.433,61.513,-103.978,0.142,82.968,39.069
20,1.2397,98.826,63.833,-100.0,0.0,78.344,39.389,101.426,61.449,-103.982,0.128,83.008,39.069
21,1.2731,98.826,63.09,-100.0,0.0,78.344,39.389,101.41,61.295,-103.685,0.152,83.251,39.069
22,1.3066,98.826,62.551,-100.0,0.0,78.344,39.389,101.469,61.438,-103.852,0.139,83.024,39.07
23,1.3407,98.826,62.213,-100.0,0.0,78.344,39.389,101.371,61.297,-103.74,0.136,83.168,39.069
24,1.3736,98.826,61.943,-100.0,0.0,78.344,39.389,101.36,61.292,-103.805,0.135,83.162,39.07
25,1.4076,98.826,61.808,-100.0,0.0,78.344,39.389,101.41,61.452,-103.987,0.141,82.946,39.07
26,1.4405,98.826,61.673,-100.0,0.0,78.344,39.389,101.45,61.376,-103.805,0.134,83.107,39.07
27,1.4739,98.826,61.673,-100.0,0.0,78.344,39.389,101.301,61.301,-103.747,0.149,83.141,39.069
28,1.5071,98.826,61.606,-100.0,0.0,78.344,39.389,101.325,61.264,-103.685,0.135,83.205,39.071
29,1.5406,98.826,61.538,-100.0,0.0,78.344,39.389,101.278,61.213,-103.842,0.115,83.124,39.068
30,1.5741,98.826,61.538,-100.0,0.0,78.344,39.389,101.316,61.169,-103.698,0.114,83.247,39.069
31,1.6074,98.826,61.538,-100.0,0.0,78.344,39.389,101.193,61.256,-103.967,0.119,83.012,39.068
32,1.6406,98.826,61.538,-100.0,0.0,78.344,39.389,101.256,61.219,-103.726,0.144,83.122,39.07
33,1.6742,98.826,61.538,-100.0,0.0,78.344,39.389,101.151,61.248,-103.85,0.113,83.025,39.068
