step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.5782,0.074,-99.584,99.458,75.541,38.852,93.117,-1,19.03,-7.594,60.407,-20.462,39.019,61.569,19.03,-7.594,60.407,-20.462,39.019,61.569,0.456
100,3.9988,17.773,-4.16,61.445,-19.66,38.852,61.471,-1,24.508,48.982,26.281,-54.817,38.932,63.626,24.508,48.982,26.281,-54.817,38.932,63.626,49.622
200,7.418,23.525,50.083,28.217,-53.8,38.852,63.09,50,25.297,50.586,27.808,-60.49,38.919,49.943,23.938,49.898,29.868,-62.715,38.944,10.805,53.885
300,10.8436,24.336,48.003,31.738,-61.529,38.852,10.054,0,23.93,46.01,41.808,-66.726,38.955,6.642,-0.345,-102.855,103.408,14.778,39.156,6.837,46.01
400,14.2608,0.147,-100.0,99.368,15.414,38.95,7.22,0,-1.074,-103.728,104.063,15.987,39.074,6.227,-1.439,-104.022,101.935,24.94,39.067,10.094,-102.581
500,17.6682,-0.885,-99.334,99.458,25.775,38.95,9.987,0,-1.787,-107.383,103.588,24.113,39.07,6.7,-0.983,-102.061,101.905,22.243,39.058,11.027,-100.441
600,21.0817,-1.254,-99.418,99.458,22.803,38.95,10.999,0,-1.901,-107.249,103.672,23.317,39.073,6.706,-1.017,-101.969,101.821,22.248,39.061,11.035,-100.345
700,24.4951,-1.401,-99.334,99.458,22.972,38.95,10.931,0,-1.946,-107.251,103.665,23.373,39.073,6.709,-1.025,-101.979,101.831,22.253,39.061,11.036,-100.356
