You have video processor config saved in `preprocessor.json` file which is deprecated. Video processor configs should be saved in their own `video_preprocessor.json` file. You can rename the file or load and save the processor back which renames it automatically. Loading from `preprocessor.json` will be removed in v5.0.
[12:40:04] Device: cuda
[12:40:04] Loading 'rlodhi/smolvla_screw_picking_5000' …
Reducing the number of VLM layers to 16 ...
[12:40:36] Policy ready on cuda (fp16)
[12:40:36] chunk_size=50, n_action_steps=50, num_steps=2
[12:40:36] resize_imgs=(512, 512)
[12:40:36] Image keys : ['observation.images.base', 'observation.images.wrist']
[12:40:36] Action dim : 6
[12:40:36] Task       : 'pick up the object and place it in the box'
[12:40:36] Camera /dev/video2 opened at 424×240
[12:40:36] SW resize   : 424×240 → 320×240

[12:40:36] Warming up for 5 steps, then benchmarking for 60s …

[12:40:58] #   58 [bench] e2e=  361.5ms  infer=  359.0ms  cap=  2.3ms
[12:40:58] #   59 [bench] e2e=  359.3ms  infer=  356.8ms  cap=  2.4ms
[12:40:58] #   60 [bench] e2e=  364.7ms  infer=  362.4ms  cap=  2.2ms
[12:40:59] #   61 [bench] e2e=  364.1ms  infer=  359.9ms  cap=  4.0ms
[12:40:59] #   62 [bench] e2e=  362.2ms  infer=  358.6ms  cap=  3.3ms
[12:41:00] #   63 [bench] e2e=  361.1ms  infer=  358.1ms  cap=  2.8ms
[12:41:00] #   64 [bench] e2e=  358.7ms  infer=  355.1ms  cap=  3.4ms
[12:41:00] #   65 [bench] e2e=  360.5ms  infer=  356.7ms  cap=  3.7ms

  [live] after 60 bench steps — e2e mean=361.3ms  |  max replan freq=2.77 Hz  |  max control freq=138.39 Hz (n_action_steps=50)

[12:41:01] #   66 [bench] e2e=  358.7ms  infer=  355.7ms  cap=  2.9ms
[12:41:01] #   67 [bench] e2e=  367.5ms  infer=  363.8ms  cap=  3.5ms
[12:41:01] #   68 [bench] e2e=  361.8ms  infer=  358.9ms  cap=  2.7ms
[12:41:02] #   69 [bench] e2e=  358.7ms  infer=  355.9ms  cap=  2.7ms
[12:41:02] #   70 [bench] e2e=  366.3ms  infer=  364.1ms  cap=  2.1ms
[12:41:02] #   71 [bench] e2e=  362.8ms  infer=  360.6ms  cap=  2.1ms
[12:41:03] #   72 [bench] e2e=  361.2ms  infer=  358.9ms  cap=  2.1ms
[12:41:03] #   73 [bench] e2e=  364.6ms  infer=  362.4ms  cap=  2.0ms
[12:41:04] #   74 [bench] e2e=  361.9ms  infer=  359.7ms  cap=  2.1ms
