You have video processor config saved in `preprocessor.json` file which is deprecated. Video processor configs should be saved in their own `video_preprocessor.json` file. You can rename the file or load and save the processor back which renames it automatically. Loading from `preprocessor.json` will be removed in v5.0.
[12:41:52] Device: cuda
[12:41:52] Loading 'rlodhi/smolvla_screw_picking_5000' …
Reducing the number of VLM layers to 16 ...
[12:42:24] Policy ready on cuda (fp16)
[12:42:24] chunk_size=50, n_action_steps=50, num_steps=2
[12:42:24] resize_imgs=(512, 512)
[12:42:24] Image keys : ['observation.images.base', 'observation.images.wrist']
[12:42:24] Action dim : 6
[12:42:24] Task       : 'pick up the object and place it in the box'
[12:42:25] Camera /dev/video2 opened at 424×240
[12:42:25] SW resize   : 424×240 → 320×240

[12:42:25] Warming up for 5 steps, then benchmarking for 60s …

[12:42:26] #    1 [warm ] e2e=  989.1ms  infer=  969.2ms  cap= 15.1ms
[12:42:26] #    2 [warm ] e2e=  399.1ms  infer=  394.6ms  cap=  4.3ms
[12:42:26] #    3 [warm ] e2e=  392.5ms  infer=  388.9ms  cap=  3.4ms
[12:42:27] #    4 [warm ] e2e=  375.2ms  infer=  372.2ms  cap=  2.9ms
[12:42:27] #    5 [warm ] e2e=  360.3ms  infer=  357.3ms  cap=  2.9ms
[12:42:27] #    6 [bench] e2e=  358.4ms  infer=  354.8ms  cap=  3.4ms
[12:42:28] #    7 [bench] e2e=  359.3ms  infer=  355.3ms  cap=  3.9ms
[12:42:28] #    8 [bench] e2e=  364.8ms  infer=  361.1ms  cap=  3.4ms
[12:42:29] #    9 [bench] e2e=  370.6ms  infer=  368.2ms  cap=  2.2ms
[12:42:29] #   10 [bench] e2e=  365.4ms  infer=  362.8ms  cap=  2.4ms
[12:42:29] #   11 [bench] e2e=  362.8ms  infer=  360.6ms  cap=  2.1ms
[12:42:30] #   12 [bench] e2e=  368.9ms  infer=  366.7ms  cap=  2.1ms
[12:42:30] #   13 [bench] e2e=  366.4ms  infer=  362.8ms  cap=  3.4ms
[12:42:30] #   14 [bench] e2e=  363.4ms  infer=  360.9ms  cap=  2.3ms
[12:42:31] #   15 [bench] e2e=  365.4ms  infer=  362.0ms  cap=  3.1ms
[12:42:31] #   16 [bench] e2e=  362.7ms  infer=  359.4ms  cap=  3.2ms
[12:42:31] #   17 [bench] e2e=  358.6ms  infer=  355.3ms  cap=  3.2ms
[12:42:32] #   18 [bench] e2e=  367.0ms  infer=  363.7ms  cap=  3.2ms
[12:42:32] #   19 [bench] e2e=  363.0ms  infer=  360.3ms  cap=  2.5ms
[12:42:33] #   20 [bench] e2e=  360.0ms  infer=  357.4ms  cap=  2.5ms
[12:42:33] #   21 [bench] e2e=  358.8ms  infer=  356.0ms  cap=  2.7ms
[12:42:33] #   22 [bench] e2e=  364.9ms  infer=  362.8ms  cap=  2.0ms
[12:42:34] #   23 [bench] e2e=  364.0ms  infer=  361.1ms  cap=  2.7ms
[12:42:34] #   24 [bench] e2e=  363.1ms  infer=  360.0ms  cap=  3.0ms
[12:42:34] #   25 [bench] e2e=  359.8ms  infer=  356.9ms  cap=  2.7ms

  [live] after 20 bench steps — e2e mean=363.4ms  |  max replan freq=2.75 Hz  |  max control freq=137.60 Hz (n_action_steps=50)

[12:42:35] #   26 [bench] e2e=  366.0ms  infer=  362.9ms  cap=  2.9ms
[12:42:35] #   27 [bench] e2e=  362.2ms  infer=  359.1ms  cap=  3.0ms
[12:42:35] #   28 [bench] e2e=  359.6ms  infer=  357.0ms  cap=  2.4ms
[12:42:36] #   29 [bench] e2e=  366.8ms  infer=  363.7ms  cap=  2.9ms
