elapsed_s,timestamp,millivolts,milliamps,active_motors,phase
0.0425,2026-08-28T03:34:23.906639+00:00,5072,648,0,idle
0.0446,2026-08-28T03:34:23.908678+00:00,5072,648,0,idle
0.0461,2026-08-28T03:34:23.910084+00:00,5072,648,0,idle
0.0475,2026-08-28T03:34:23.911486+00:00,5072,648,0,idle
0.0488,2026-08-28T03:34:23.912871+00:00,5072,648,0,idle
0.0502,2026-08-28T03:34:23.914247+00:00,5072,648,0,idle
0.0516,2026-08-28T03:34:23.915624+00:00,5072,648,0,idle
0.0530,2026-08-28T03:34:23.917045+00:00,5072,648,0,idle
0.0544,2026-08-28T03:34:23.918427+00:00,5072,648,0,idle
0.0566,2026-08-28T03:34:23.920598+00:00,5072,648,0,idle
0.0593,2026-08-28T03:34:23.923288+00:00,5072,648,0,idle
0.0611,2026-08-28T03:34:23.925176+00:00,5072,648,0,idle
0.0625,2026-08-28T03:34:23.926512+00:00,5072,648,0,idle
0.0638,2026-08-28T03:34:23.927785+00:00,5072,648,0,idle
0.0650,2026-08-28T03:34:23.929060+00:00,5072,648,0,idle
0.0663,2026-08-28T03:34:23.930326+00:00,5072,648,0,idle
0.0676,2026-08-28T03:34:23.931595+00:00,5072,648,0,idle
0.0688,2026-08-28T03:34:23.932863+00:00,5072,648,0,idle
0.0701,2026-08-28T03:34:23.934134+00:00,5072,656,0,idle
0.0714,2026-08-28T03:34:23.935409+00:00,5072,656,0,idle
0.0727,2026-08-28T03:34:23.936711+00:00,5072,656,0,idle
0.0741,2026-08-28T03:34:23.938182+00:00,5072,656,0,idle
0.0756,2026-08-28T03:34:23.939659+00:00,5072,656,0,idle
0.0771,2026-08-28T03:34:23.941135+00:00,5072,656,0,idle
0.0786,2026-08-28T03:34:23.942607+00:00,5072,656,0,idle
0.0801,2026-08-28T03:34:23.944097+00:00,5072,656,0,idle
0.0814,2026-08-28T03:34:23.945403+00:00,5072,656,0,idle
0.0826,2026-08-28T03:34:23.946666+00:00,5072,656,0,idle
0.0839,2026-08-28T03:34:23.947938+00:00,5072,656,0,idle
0.0852,2026-08-28T03:34:23.949202+00:00,5072,656,0,idle
0.0864,2026-08-28T03:34:23.950467+00:00,5072,656,0,idle
0.0877,2026-08-28T03:34:23.951741+00:00,5072,656,0,idle
0.0890,2026-08-28T03:34:23.953020+00:00,5072,656,0,idle
0.0904,2026-08-28T03:34:23.954397+00:00,5072,664,0,idle
0.0919,2026-08-28T03:34:23.955889+00:00,5072,664,0,idle
0.0933,2026-08-28T03:34:23.957370+00:00,5072,664,0,idle
0.0948,2026-08-28T03:34:23.958841+00:00,5072,664,0,idle
0.0963,2026-08-28T03:34:23.960321+00:00,5072,664,0,idle
0.0977,2026-08-28T03:34:23.961716+00:00,5072,664,0,idle
0.0990,2026-08-28T03:34:23.962987+00:00,5072,664,0,idle
0.1002,2026-08-28T03:34:23.964267+00:00,5072,664,0,idle
0.1015,2026-08-28T03:34:23.965529+00:00,5072,664,0,idle
0.1028,2026-08-28T03:34:23.966796+00:00,5072,664,0,idle
0.1040,2026-08-28T03:34:23.968061+00:00,5072,664,0,idle
0.1053,2026-08-28T03:34:23.969321+00:00,5072,664,0,idle
0.1065,2026-08-28T03:34:23.970574+00:00,5072,664,0,idle
0.1079,2026-08-28T03:34:23.971971+00:00,5072,664,0,idle
0.1094,2026-08-28T03:34:23.973449+00:00,5072,664,0,idle
0.1109,2026-08-28T03:34:23.974921+00:00,5072,664,0,idle
0.1124,2026-08-28T03:34:23.976400+00:00,5072,672,0,idle
0.1138,2026-08-28T03:34:23.977871+00:00,5072,672,0,idle
0.1153,2026-08-28T03:34:23.979376+00:00,5072,672,0,idle
0.1167,2026-08-28T03:34:23.980690+00:00,5072,672,0,idle
0.1179,2026-08-28T03:34:23.981956+00:00,5072,672,0,idle
0.1192,2026-08-28T03:34:23.983222+00:00,5072,672,0,idle
0.1205,2026-08-28T03:34:23.984491+00:00,5072,672,0,idle
0.1217,2026-08-28T03:34:23.985753+00:00,5072,672,0,idle
0.1230,2026-08-28T03:34:23.987014+00:00,5072,672,0,idle
0.1243,2026-08-28T03:34:23.988281+00:00,5072,672,0,idle
0.1255,2026-08-28T03:34:23.989540+00:00,5072,672,0,idle
0.1269,2026-08-28T03:34:23.990965+00:00,5072,672,0,idle
0.1284,2026-08-28T03:34:23.992441+00:00,5072,672,0,idle
0.1299,2026-08-28T03:34:23.993913+00:00,5072,672,0,idle
0.1314,2026-08-28T03:34:23.995412+00:00,5072,672,0,idle
0.1329,2026-08-28T03:34:23.996890+00:00,5072,672,0,idle
0.1343,2026-08-28T03:34:23.998298+00:00,5072,672,0,idle
0.1356,2026-08-28T03:34:23.999595+00:00,5072,672,0,idle
0.1368,2026-08-28T03:34:24.000855+00:00,5072,672,0,idle
0.1381,2026-08-28T03:34:24.002123+00:00,5072,672,0,idle
0.1394,2026-08-28T03:34:24.003396+00:00,5072,680,0,idle
0.1406,2026-08-28T03:34:24.004661+00:00,5072,680,0,idle
0.1420,2026-08-28T03:34:24.006000+00:00,5072,680,0,idle
0.1433,2026-08-28T03:34:24.007299+00:00,5072,680,0,idle
0.1447,2026-08-28T03:34:24.008772+00:00,5072,680,0,idle
0.1462,2026-08-28T03:34:24.010245+00:00,5072,680,0,idle
0.1477,2026-08-28T03:34:24.011724+00:00,5072,680,0,idle
0.1492,2026-08-28T03:34:24.013195+00:00,5072,680,0,idle
0.1508,2026-08-28T03:34:24.014799+00:00,5072,680,0,idle
0.1521,2026-08-28T03:34:24.016140+00:00,5072,680,0,idle
0.1534,2026-08-28T03:34:24.017398+00:00,5072,680,0,idle
0.1546,2026-08-28T03:34:24.018654+00:00,5072,680,0,idle
0.1559,2026-08-28T03:34:24.019914+00:00,5072,680,0,idle
0.1571,2026-08-28T03:34:24.021177+00:00,5072,680,0,idle
0.1584,2026-08-28T03:34:24.022435+00:00,5072,680,0,idle
0.1598,2026-08-28T03:34:24.023815+00:00,5072,680,0,idle
0.1613,2026-08-28T03:34:24.025287+00:00,5072,680,0,idle
0.1628,2026-08-28T03:34:24.026796+00:00,5072,688,0,idle
0.1642,2026-08-28T03:34:24.028277+00:00,5072,688,0,idle
0.1657,2026-08-28T03:34:24.029749+00:00,5072,688,0,idle
0.1672,2026-08-28T03:34:24.031222+00:00,5072,688,0,idle
0.1687,2026-08-28T03:34:24.032691+00:00,5072,688,0,idle
0.1700,2026-08-28T03:34:24.033983+00:00,5072,688,0,idle
0.1712,2026-08-28T03:34:24.035252+00:00,5072,688,0,idle
0.1725,2026-08-28T03:34:24.036516+00:00,5072,688,0,idle
0.1737,2026-08-28T03:34:24.037774+00:00,5072,688,0,idle
0.1750,2026-08-28T03:34:24.039031+00:00,5072,688,0,idle
0.1763,2026-08-28T03:34:24.040295+00:00,5072,688,0,idle
0.1775,2026-08-28T03:34:24.041552+00:00,5072,688,0,idle
0.1789,2026-08-28T03:34:24.042963+00:00,5072,688,0,idle
0.1804,2026-08-28T03:34:24.044434+00:00,5072,688,0,idle
0.1819,2026-08-28T03:34:24.045903+00:00,5072,688,0,idle
0.1834,2026-08-28T03:34:24.047410+00:00,5072,688,0,idle
0.1849,2026-08-28T03:34:24.048893+00:00,5072,688,0,idle
0.1863,2026-08-28T03:34:24.050302+00:00,5072,688,0,idle
0.1876,2026-08-28T03:34:24.051601+00:00,5072,688,0,idle
0.1888,2026-08-28T03:34:24.052858+00:00,5072,688,0,idle
0.1901,2026-08-28T03:34:24.054114+00:00,5072,688,0,idle
0.1913,2026-08-28T03:34:24.055379+00:00,5072,696,0,idle
0.1926,2026-08-28T03:34:24.056642+00:00,5072,696,0,idle
0.1939,2026-08-28T03:34:24.057901+00:00,5072,696,0,idle
0.1952,2026-08-28T03:34:24.059278+00:00,5072,696,0,idle
0.1967,2026-08-28T03:34:24.060747+00:00,5072,696,0,idle
0.1982,2026-08-28T03:34:24.062215+00:00,5072,696,0,idle
0.1997,2026-08-28T03:34:24.063690+00:00,5072,696,0,idle
0.2011,2026-08-28T03:34:24.065167+00:00,5072,696,0,idle
0.2026,2026-08-28T03:34:24.066671+00:00,5072,696,0,idle
0.2040,2026-08-28T03:34:24.068039+00:00,5072,696,0,idle
0.2053,2026-08-28T03:34:24.069308+00:00,5072,696,0,idle
0.2065,2026-08-28T03:34:24.070570+00:00,5072,696,0,idle
0.2078,2026-08-28T03:34:24.071838+00:00,5072,696,0,idle
0.2091,2026-08-28T03:34:24.073105+00:00,5072,696,0,idle
