t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
5.1634,,,5,1,2,1,1,0,0
5.1967,,,4,1,1,1,1,0,0
5.2329,,,5,1,1,1,1,0,1
5.2656,,,5,1,1,1,1,0,1
5.3019,,,4,1,1,1,1,0,0
5.3347,,,5,1,2,1,1,0,0
5.3708,,,4,0,1,1,1,1,0
5.4062,,,3,1,1,0,1,0,0
5.4421,,,5,1,1,1,1,1,0
5.4782,,,5,1,1,1,1,0,1
5.5144,,,3,1,1,0,1,0,0
5.5504,,,5,1,1,1,1,1,0
5.5858,,,4,1,1,1,1,0,0
5.6208,,,5,1,1,1,1,0,1
5.657,,,3,1,1,0,1,0,0
5.6891,,,3,0,1,0,1,1,0
5.7217,,,4,1,1,1,1,0,0
5.7542,,,5,1,1,1,1,0,1
5.7904,,,5,1,1,1,1,0,1
5.8261,,,2,0,1,1,0,0,0
5.8618,,,4,1,1,1,0,0,1
5.8963,,,3,1,1,1,0,0,0
5.93,,,4,1,1,1,1,0,0
5.9664,,,4,1,1,1,1,0,0
6.0026,,,6,1,1,1,1,1,1
6.0359,,,6,3,0,0,3,0,0
6.0702,,,69,26,12,12,18,1,0
6.1062,,,105,37,19,20,24,4,1
6.1421,,,51,19,10,9,9,4,0
6.1783,,,54,24,8,6,10,6,0
6.2096,,,50,22,7,7,8,6,0
6.2421,,,44,22,8,9,0,5,0
6.2763,,,42,19,9,7,0,7,0
6.3125,,,41,19,7,6,1,8,0
6.3475,,,45,20,7,7,1,10,0
6.379,,,45,23,6,5,0,11,0
6.4134,,,45,24,7,3,0,10,1
6.446,,,40,23,5,4,0,8,0
6.48,,,38,20,7,2,1,7,1
6.5163,,,46,26,7,2,1,9,1
6.5493,,,39,22,5,2,0,9,1
6.5854,,,30,12,8,0,0,9,1
6.6215,,,20,4,8,0,0,8,0
6.6563,,,24,10,3,0,1,10,0
6.6924,,,24,10,0,0,1,12,1
6.7286,,,21,9,0,1,1,10,0
6.7633,,,19,8,1,0,0,10,0
6.7996,,,20,6,1,1,0,11,1
6.8358,,,18,7,1,1,0,9,0
6.8717,,,21,8,1,0,1,10,1
6.9079,,,19,7,0,1,1,10,0
6.9418,,,21,6,1,1,1,11,1
6.9762,,,21,7,0,1,1,12,0
7.0123,,,11,6,1,1,0,2,1
7.0471,,,11,7,1,2,0,1,0
7.0833,,,12,7,1,1,1,1,1
7.1178,,,10,6,0,2,1,1,0
7.1539,,,11,6,1,1,0,2,1
7.1864,,,11,7,0,1,1,2,0
7.221,,,12,7,1,1,1,1,1
7.255,,,11,7,1,1,1,1,0
7.2883,,,12,7,1,1,1,2,0
7.3246,,,12,7,1,1,1,2,0
7.3608,,,12,7,1,1,1,2,0
7.3958,,,13,7,1,1,1,2,1
7.432,,,12,7,1,1,1,2,0
7.4682,,,10,6,0,1,1,2,0
7.5009,,,12,7,1,1,1,2,0
7.5366,,,10,3,1,3,2,1,0
7.5698,,,45,3,10,20,11,0,1
7.6058,,,113,10,22,41,40,0,0
7.6409,,,70,1,10,29,29,1,0
7.6771,,,44,0,6,20,14,3,1
7.7133,,,41,0,9,24,5,3,0
7.7478,,,28,0,8,18,0,2,0
7.7837,,,29,0,9,14,0,5,1
7.8196,,,27,0,9,12,0,5,1
7.8523,,,26,0,8,13,1,4,0
7.8836,,,29,0,8,13,3,4,1
7.9186,,,26,0,8,11,0,6,1
7.9548,,,22,0,7,9,1,5,0
7.9885,,,29,0,9,16,1,2,1
