08-05-2026 00:04:23 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,1%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.093C soc2@49.281C soc0@51.031C gpu@51.906C tj@51.906C soc1@50.718C VDD_IN 7160mW/7278mW VDD_CPU_GPU_CV 1437mW/1500mW VDD_SOC 3194mW/3229mW
08-05-2026 00:04:24 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.062C soc2@49.375C soc0@50.968C gpu@52.031C tj@52.031C soc1@50.687C VDD_IN 7120mW/7268mW VDD_CPU_GPU_CV 1437mW/1496mW VDD_SOC 3194mW/3227mW
08-05-2026 00:04:25 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,1%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.062C soc2@49.312C soc0@50.968C gpu@52.031C tj@52.031C soc1@50.75C VDD_IN 7160mW/7262mW VDD_CPU_GPU_CV 1437mW/1493mW VDD_SOC 3194mW/3225mW
08-05-2026 00:04:26 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.125C soc2@49.375C soc0@50.968C gpu@52.125C tj@52.125C soc1@50.843C VDD_IN 7120mW/7255mW VDD_CPU_GPU_CV 1437mW/1490mW VDD_SOC 3194mW/3224mW
08-05-2026 00:04:27 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.093C soc2@49.375C soc0@51C gpu@51.687C tj@51.687C soc1@50.812C VDD_IN 7120mW/7248mW VDD_CPU_GPU_CV 1437mW/1487mW VDD_SOC 3194mW/3222mW
08-05-2026 00:04:28 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.312C soc2@49.375C soc0@51.093C gpu@51.718C tj@51.718C soc1@50.875C VDD_IN 7108mW/7241mW VDD_CPU_GPU_CV 1437mW/1485mW VDD_SOC 3194mW/3221mW
08-05-2026 00:04:29 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.187C soc2@49.437C soc0@51.062C gpu@51.687C tj@51.687C soc1@50.937C VDD_IN 7160mW/7238mW VDD_CPU_GPU_CV 1437mW/1483mW VDD_SOC 3194mW/3220mW
08-05-2026 00:04:30 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,1%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.312C soc2@49.5C soc0@51.156C gpu@51.875C tj@51.875C soc1@51C VDD_IN 7120mW/7233mW VDD_CPU_GPU_CV 1437mW/1481mW VDD_SOC 3194mW/3218mW
08-05-2026 00:04:31 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.156C soc2@49.468C soc0@51.25C gpu@51.937C tj@51.937C soc1@50.906C VDD_IN 7120mW/7228mW VDD_CPU_GPU_CV 1437mW/1479mW VDD_SOC 3194mW/3217mW
08-05-2026 00:04:32 RAM 2914/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@1728,3%@1728,3%@1728,100%@1728,1%@1420,0%@1420] GR3D_FREQ 0% cpu@51.656C soc2@49.5C soc0@51.156C gpu@51.875C tj@51.875C soc1@50.968C VDD_IN 7320mW/7232mW VDD_CPU_GPU_CV 1557mW/1482mW VDD_SOC 3234mW/3218mW
08-05-2026 00:04:33 RAM 2916/7620MB (lfb 10x4MB) SWAP 0/3810MB (cached 0MB) CPU [3%@1728,1%@1728,2%@1728,100%@1728,1%@729,1%@729] GR3D_FREQ 0% cpu@51.437C soc2@49.531C soc0@51.156C gpu@51.968C tj@51.968C soc1@50.937C VDD_IN 7160mW/7229mW VDD_CPU_GPU_CV 1437mW/1480mW VDD_SOC 3234mW/3219mW
08-05-2026 00:04:34 RAM 2916/7620MB (lfb 10x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.406C soc2@49.562C soc0@51.156C gpu@51.968C tj@51.968C soc1@51.093C VDD_IN 7160mW/7226mW VDD_CPU_GPU_CV 1437mW/1479mW VDD_SOC 3234mW/3219mW
08-05-2026 00:04:35 RAM 2916/7620MB (lfb 10x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.343C soc2@49.531C soc0@51.156C gpu@52.093C tj@52.093C soc1@51.125C VDD_IN 7148mW/7223mW VDD_CPU_GPU_CV 1437mW/1477mW VDD_SOC 3234mW/3220mW
08-05-2026 00:04:36 RAM 3006/7620MB (lfb 10x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,1%@729,0%@729] GR3D_FREQ 0% cpu@51.437C soc2@49.75C soc0@51.343C gpu@52.156C tj@52.156C soc1@51C VDD_IN 7348mW/7228mW VDD_CPU_GPU_CV 1597mW/1481mW VDD_SOC 3234mW/3220mW
08-05-2026 00:04:37 RAM 3006/7620MB (lfb 10x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,76%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.25C soc2@49.5C soc0@51.25C gpu@51.812C tj@51.812C soc1@51.125C VDD_IN 6549mW/7205mW VDD_CPU_GPU_CV 1078mW/1468mW VDD_SOC 3075mW/3215mW
08-05-2026 00:04:38 RAM 3008/7620MB (lfb 10x4MB) SWAP 0/3810MB (cached 0MB) CPU [7%@729,0%@729,0%@729,1%@729,8%@729,0%@729] GR3D_FREQ 0% cpu@50.875C soc2@49.468C soc0@51.343C gpu@51.968C tj@51.968C soc1@51.187C VDD_IN 5670mW/7156mW VDD_CPU_GPU_CV 638mW/1441mW VDD_SOC 2835mW/3203mW
08-05-2026 00:04:39 RAM 3042/7620MB (lfb 10x4MB) SWAP 0/3810MB (cached 0MB) CPU [31%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.875C soc2@49.375C soc0@51.343C gpu@51.968C tj@51.687C soc1@51.031C VDD_IN 5790mW/7113mW VDD_CPU_GPU_CV 678mW/1417mW VDD_SOC 2875mW/3193mW
08-05-2026 00:04:40 RAM 3128/7620MB (lfb 8x4MB) SWAP 0/3810MB (cached 0MB) CPU [79%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.375C soc2@49.593C soc0@51.187C gpu@51.875C tj@51.875C soc1@51.125C VDD_IN 6908mW/7107mW VDD_CPU_GPU_CV 1277mW/1413mW VDD_SOC 3154mW/3192mW
08-05-2026 00:04:41 RAM 3128/7620MB (lfb 8x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.343C soc2@49.75C soc0@51.312C gpu@51.906C tj@51.906C soc1@51.187C VDD_IN 7240mW/7111mW VDD_CPU_GPU_CV 1477mW/1415mW VDD_SOC 3234mW/3193mW
08-05-2026 00:04:42 RAM 3128/7620MB (lfb 8x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1728,1%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.531C soc2@49.812C soc0@51.343C gpu@52.031C tj@52.031C soc1@51.218C VDD_IN 7240mW/7114mW VDD_CPU_GPU_CV 1477mW/1417mW VDD_SOC 3234mW/3194mW
08-05-2026 00:04:43 RAM 3128/7620MB (lfb 8x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.343C soc2@49.875C soc0@51.375C gpu@51.968C tj@51.968C soc1@51.343C VDD_IN 7120mW/7114mW VDD_CPU_GPU_CV 1397mW/1416mW VDD_SOC 3194mW/3194mW
08-05-2026 00:04:44 RAM 3128/7620MB (lfb 8x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.437C soc2@49.843C soc0@51.437C gpu@51.968C tj@51.968C soc1@51.218C VDD_IN 7120mW/7115mW VDD_CPU_GPU_CV 1397mW/1415mW VDD_SOC 3194mW/3194mW
08-05-2026 00:04:45 RAM 3128/7620MB (lfb 8x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.562C soc2@49.906C soc0@51.343C gpu@52.156C tj@52.156C soc1@51.187C VDD_IN 7108mW/7114mW VDD_CPU_GPU_CV 1397mW/1415mW VDD_SOC 3194mW/3194mW
08-05-2026 00:04:46 RAM 3059/7620MB (lfb 8x4MB) SWAP 0/3810MB (cached 0MB) CPU [92%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.062C soc2@49.718C soc0@51.437C gpu@52.218C tj@52.218C soc1@51.312C VDD_IN 6920mW/7109mW VDD_CPU_GPU_CV 1277mW/1411mW VDD_SOC 3154mW/3193mW
08-05-2026 00:04:47 RAM 2543/7620MB (lfb 51x4MB) SWAP 0/3810MB (cached 0MB) CPU [48%@1728,23%@1728,29%@1728,39%@1728,28%@729,29%@729] GR3D_FREQ 23% cpu@52.093C soc2@50C soc0@51.437C gpu@52.5C tj@52.5C soc1@51.218C VDD_IN 8400mW/7142mW VDD_CPU_GPU_CV 1873mW/1423mW VDD_SOC 3634mW/3204mW
08-05-2026 00:04:48 RAM 2889/7620MB (lfb 24x4MB) SWAP 0/3810MB (cached 0MB) CPU [7%@1574,4%@1574,59%@1574,5%@1574,7%@729,6%@729] GR3D_FREQ 99% cpu@51.75C soc2@49.843C soc0@51.531C gpu@53.156C tj@53.156C soc1@51.5C VDD_IN 8092mW/7165mW VDD_CPU_GPU_CV 1760mW/1431mW VDD_SOC 3485mW/3211mW
08-05-2026 00:04:49 RAM 3068/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,89%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 38% cpu@52.375C soc2@49.937C soc0@51.531C gpu@52.75C tj@52.75C soc1@51.5C VDD_IN 8627mW/7200mW VDD_CPU_GPU_CV 2003mW/1445mW VDD_SOC 3605mW/3220mW
08-05-2026 00:04:50 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,89%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 37% cpu@52.75C soc2@50.031C soc0@51.687C gpu@52.968C tj@52.75C soc1@51.656C VDD_IN 8974mW/7241mW VDD_CPU_GPU_CV 2320mW/1465mW VDD_SOC 3685mW/3231mW
08-05-2026 00:04:51 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,91%@1728,1%@1728,0%@729,0%@729] GR3D_FREQ 40% cpu@52.437C soc2@50.218C soc0@51.75C gpu@52.687C tj@52.687C soc1@51.718C VDD_IN 9214mW/7286mW VDD_CPU_GPU_CV 2400mW/1486mW VDD_SOC 3685mW/3241mW
08-05-2026 00:04:52 RAM 3071/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,91%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 40% cpu@52.812C soc2@50.437C soc0@51.812C gpu@52.812C tj@52.812C soc1@51.937C VDD_IN 9294mW/7330mW VDD_CPU_GPU_CV 2440mW/1508mW VDD_SOC 3645mW/3250mW
08-05-2026 00:04:53 RAM 3071/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,91%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@52.718C soc2@50.406C soc0@51.937C gpu@52.906C tj@52.906C soc1@51.843C VDD_IN 9134mW/7370mW VDD_CPU_GPU_CV 2440mW/1528mW VDD_SOC 3685mW/3260mW
08-05-2026 00:04:54 RAM 3071/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,2%@1728,91%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@52.906C soc2@50.437C soc0@52.031C gpu@53C tj@53C soc1@51.906C VDD_IN 9134mW/7407mW VDD_CPU_GPU_CV 2400mW/1546mW VDD_SOC 3685mW/3269mW
08-05-2026 00:04:55 RAM 3071/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,90%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@52.906C soc2@50.5C soc0@52.031C gpu@53.031C tj@53.031C soc1@51.937C VDD_IN 9014mW/7441mW VDD_CPU_GPU_CV 2400mW/1564mW VDD_SOC 3685mW/3278mW
08-05-2026 00:04:56 RAM 3071/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,91%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@52.968C soc2@50.5C soc0@51.968C gpu@53.156C tj@53.156C soc1@52.062C VDD_IN 9068mW/7474mW VDD_CPU_GPU_CV 2320mW/1580mW VDD_SOC 3685mW/3286mW
