elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
0.0,2026-08-03T21:15:03.164251+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
0.0,2026-08-03T21:15:03.164251+00:00,arms,left_shoulder_lift,2404,36,3,72,2389,2404
0.0,2026-08-03T21:15:03.164251+00:00,arms,left_elbow_flex,1645,36,3,76,1629,1645
0.0,2026-08-03T21:15:03.164251+00:00,arms,left_wrist_flex,2168,34,0,0,2169,2168
0.0,2026-08-03T21:15:03.164251+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
0.0,2026-08-03T21:15:03.164251+00:00,arms,left_gripper,2014,37,0,0,2014,2014
0.0,2026-08-03T21:15:03.164251+00:00,arms,right_shoulder_pan,1970,37,0,1046,1974,1970
0.0,2026-08-03T21:15:03.164251+00:00,arms,right_shoulder_lift,2092,37,6,100,2049,2092
0.0,2026-08-03T21:15:03.164251+00:00,arms,right_elbow_flex,2128,38,3,76,2097,2128
0.0,2026-08-03T21:15:03.164251+00:00,arms,right_wrist_flex,1997,35,2,56,1976,1997
0.0,2026-08-03T21:15:03.164251+00:00,arms,right_wrist_roll,2109,34,1,1048,2114,2109
0.0,2026-08-03T21:15:03.164251+00:00,arms,right_gripper,2064,39,0,0,2064,2064
0.0,2026-08-03T21:15:03.164251+00:00,head,head_motor_1,2158,32,0,0,,
0.0,2026-08-03T21:15:03.164251+00:00,head,head_motor_2,1944,32,0,0,,
0.0,2026-08-03T21:15:03.164251+00:00,head,base_left_wheel,3466,33,0,0,,
0.0,2026-08-03T21:15:03.164251+00:00,head,base_back_wheel,3485,34,0,0,,
0.0,2026-08-03T21:15:03.164251+00:00,head,base_right_wheel,2182,32,0,0,,
1.0,2026-08-03T21:15:04.165274+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
1.0,2026-08-03T21:15:04.165274+00:00,arms,left_shoulder_lift,2404,36,3,72,2389,2404
1.0,2026-08-03T21:15:04.165274+00:00,arms,left_elbow_flex,1645,36,3,76,1629,1645
1.0,2026-08-03T21:15:04.165274+00:00,arms,left_wrist_flex,2168,34,0,0,2169,2168
1.0,2026-08-03T21:15:04.165274+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
1.0,2026-08-03T21:15:04.165274+00:00,arms,left_gripper,2014,37,0,0,2014,2014
1.0,2026-08-03T21:15:04.165274+00:00,arms,right_shoulder_pan,1970,37,0,1046,1974,1970
1.0,2026-08-03T21:15:04.165274+00:00,arms,right_shoulder_lift,2092,37,6,100,2049,2092
1.0,2026-08-03T21:15:04.165274+00:00,arms,right_elbow_flex,2128,38,3,76,2097,2128
1.0,2026-08-03T21:15:04.165274+00:00,arms,right_wrist_flex,1997,35,2,56,1976,1997
1.0,2026-08-03T21:15:04.165274+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
1.0,2026-08-03T21:15:04.165274+00:00,arms,right_gripper,2064,39,0,0,2064,2064
1.0,2026-08-03T21:15:04.165274+00:00,head,head_motor_1,2158,32,0,0,,
1.0,2026-08-03T21:15:04.165274+00:00,head,head_motor_2,1944,32,0,0,,
1.0,2026-08-03T21:15:04.165274+00:00,head,base_left_wheel,3466,33,0,0,,
1.0,2026-08-03T21:15:04.165274+00:00,head,base_back_wheel,3485,34,0,0,,
1.0,2026-08-03T21:15:04.165274+00:00,head,base_right_wheel,2182,32,0,0,,
2.0,2026-08-03T21:15:05.166319+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
2.0,2026-08-03T21:15:05.166319+00:00,arms,left_shoulder_lift,2405,36,3,76,2389,2404
2.0,2026-08-03T21:15:05.166319+00:00,arms,left_elbow_flex,1645,36,2,76,1629,1645
2.0,2026-08-03T21:15:05.166319+00:00,arms,left_wrist_flex,2168,34,0,0,2169,2168
2.0,2026-08-03T21:15:05.166319+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
2.0,2026-08-03T21:15:05.166319+00:00,arms,left_gripper,2014,38,0,0,2014,2014
2.0,2026-08-03T21:15:05.166319+00:00,arms,right_shoulder_pan,1970,37,1,1046,1974,1970
2.0,2026-08-03T21:15:05.166319+00:00,arms,right_shoulder_lift,2092,37,6,100,2049,2092
2.0,2026-08-03T21:15:05.166319+00:00,arms,right_elbow_flex,2128,38,3,76,2097,2128
2.0,2026-08-03T21:15:05.166319+00:00,arms,right_wrist_flex,1997,35,2,56,1976,1997
2.0,2026-08-03T21:15:05.166319+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
2.0,2026-08-03T21:15:05.166319+00:00,arms,right_gripper,2064,39,0,0,2064,2064
2.0,2026-08-03T21:15:05.166319+00:00,head,head_motor_1,2158,32,0,0,,
