ep,onset,arrive,grasp,length,grasp_pan,grasp_lift,grasp_elbow,grasp_wflex,grasp_wroll,grasp_grip
0,88,197,276,434,-5.973451137542725,67.0549087524414,18.284423828125,-84.4585952758789,38.85226058959961,47.840755462646484
1,74,219,285,447,-24.11504364013672,76.62229919433594,-17.742664337158203,-54.05520248413086,38.85226058959961,47.840755462646484
2,47,199,290,455,-14.159292221069336,72.62895202636719,-12.505642890930176,-61.104034423828125,39.0476188659668,47.70580291748047
3,52,145,227,357,-3.6873157024383545,68.30282592773438,-6.275394916534424,-55.83864212036133,39.096458435058594,47.77328109741211
4,51,147,223,388,3.761061906814575,75.12479400634766,-24.514673233032227,-47.261146545410156,38.901100158691406,47.908233642578125
5,61,350,447,589,10.10324478149414,72.71214294433594,-37.155757904052734,-25.265392303466797,38.80341720581055,47.908233642578125
6,37,195,256,410,20.35398292541504,76.53910064697266,-29.209932327270508,-44.45859909057617,38.85226058959961,47.9757080078125
7,44,171,248,390,27.65486717224121,68.0532455444336,-8.442438125610352,-53.12101745605469,38.80341720581055,47.77328109741211
8,45,219,281,433,25.147493362426758,69.96672058105469,-6.275394916534424,-59.91507339477539,38.85226058959961,47.77328109741211
9,46,208,269,424,22.78761100769043,66.6389389038086,2.031602621078491,-66.02972412109375,38.85226058959961,47.77328109741211
10,60,168,231,357,15.191740036010742,62.47920227050781,17.11060905456543,-69.7664566040039,38.85226058959961,47.77328109741211
11,47,140,214,331,6.0471978187561035,59.567386627197266,20.180587768554688,-69.42675018310547,39.19413757324219,47.908233642578125
12,55,149,218,342,0.3687315583229065,61.81364440917969,36.52370071411133,-89.12950897216797,38.80341720581055,47.840755462646484
13,50,134,184,295,-5.604719638824463,56.655574798583984,56.74943542480469,-98.89596557617188,39.14529800415039,47.77328109741211
14,62,267,331,445,-17.625368118286133,60.898502349853516,48.71331787109375,-98.81104278564453,38.80341720581055,47.77328109741211
15,44,198,254,387,-24.705015182495117,58.818634033203125,52.68622970581055,-97.8768539428711,38.85226058959961,47.840755462646484
16,77,314,378,518,-35.76696014404297,60.56572341918945,50.24830627441406,-99.57537078857422,39.14529800415039,47.840755462646484
17,50,181,410,527,-44.69026565551758,-12.22961711883545,96.38825988769531,-32.90870666503906,33.089134216308594,47.840755462646484
18,48,229,301,406,-7.30088472366333,-25.5407657623291,98.82618713378906,-20.764331817626953,39.38949966430664,47.77328109741211
19,39,155,242,349,12.241888046264648,-9.733777046203613,98.82618713378906,-44.88322830200195,39.0476188659668,47.70580291748047
20,50,157,223,360,23.598819732666016,36.68885040283203,63.9729118347168,-69.08705139160156,39.0476188659668,47.840755462646484
21,51,171,260,397,31.489675521850586,55.1580696105957,37.96839904785156,-81.14649963378906,38.998779296875,47.77328109741211
22,59,123,214,367,36.8731575012207,6.821963310241699,78.78103637695312,-40.891719818115234,39.0476188659668,47.908233642578125
23,50,239,301,442,-24.11504364013672,66.6389389038086,-0.22573363780975342,-55.41401290893555,39.38949966430664,47.840755462646484
24,35,116,194,333,-15.781710624694824,57.15474319458008,19.277652740478516,-61.35881042480469,39.0476188659668,47.9757080078125
25,43,118,184,320,-7.66961669921875,55.24126434326172,13.860045433044434,-49.29936218261719,38.998779296875,47.9757080078125
26,54,222,234,360,2.8023598194122314,52.49584197998047,10.519186973571777,-41.57112503051758,39.0476188659668,47.908233642578125
