elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
0.002,2026-08-05T21:21:00.864239+00:00,left_shoulder_pan,1857,1851,-6,35,1,1060
0.002,2026-08-05T21:21:00.864239+00:00,left_shoulder_lift,2389,2404,15,34,3,72
0.002,2026-08-05T21:21:00.864239+00:00,left_elbow_flex,1629,1641,12,34,2,60
0.002,2026-08-05T21:21:00.864239+00:00,left_wrist_flex,2169,2174,5,34,1,32
0.002,2026-08-05T21:21:00.864239+00:00,left_wrist_roll,1989,1988,-1,32,0,0
0.002,2026-08-05T21:21:00.864239+00:00,left_gripper,2014,2014,0,35,0,0
0.002,2026-08-05T21:21:00.864239+00:00,right_shoulder_pan,1974,1966,-8,35,0,1054
0.002,2026-08-05T21:21:00.864239+00:00,right_shoulder_lift,2049,2097,48,35,8,110
0.002,2026-08-05T21:21:00.864239+00:00,right_elbow_flex,2247,2127,-120,36,4,74
0.002,2026-08-05T21:21:00.864239+00:00,right_wrist_flex,1976,1986,10,34,1,34
0.002,2026-08-05T21:21:00.864239+00:00,right_wrist_roll,2114,2109,-5,32,1,1048
0.002,2026-08-05T21:21:00.864239+00:00,right_gripper,2384,2403,19,36,1,52
0.052,2026-08-05T21:21:00.912286+00:00,left_shoulder_pan,1857,1851,-6,35,1,1060
0.052,2026-08-05T21:21:00.912286+00:00,left_shoulder_lift,2389,2404,15,34,3,72
0.052,2026-08-05T21:21:00.912286+00:00,left_elbow_flex,1629,1641,12,34,2,60
0.052,2026-08-05T21:21:00.912286+00:00,left_wrist_flex,2169,2174,5,34,1,32
0.052,2026-08-05T21:21:00.912286+00:00,left_wrist_roll,1989,1988,-1,32,0,0
0.052,2026-08-05T21:21:00.912286+00:00,left_gripper,2014,2014,0,35,0,0
0.052,2026-08-05T21:21:00.912286+00:00,right_shoulder_pan,1987,1966,-21,35,1,1054
0.052,2026-08-05T21:21:00.912286+00:00,right_shoulder_lift,2049,2097,48,35,7,110
0.052,2026-08-05T21:21:00.912286+00:00,right_elbow_flex,2247,2127,-120,36,2,38
0.052,2026-08-05T21:21:00.912286+00:00,right_wrist_flex,1976,1986,10,34,0,34
0.052,2026-08-05T21:21:00.912286+00:00,right_wrist_roll,2114,2109,-5,32,0,1048
0.052,2026-08-05T21:21:00.912286+00:00,right_gripper,2384,2403,19,36,1,52
0.102,2026-08-05T21:21:00.962277+00:00,left_shoulder_pan,1857,1851,-6,35,1,1060
0.102,2026-08-05T21:21:00.962277+00:00,left_shoulder_lift,2389,2404,15,34,3,72
0.102,2026-08-05T21:21:00.962277+00:00,left_elbow_flex,1629,1641,12,34,2,60
0.102,2026-08-05T21:21:00.962277+00:00,left_wrist_flex,2169,2174,5,34,1,32
0.102,2026-08-05T21:21:00.962277+00:00,left_wrist_roll,1989,1988,-1,32,0,0
0.102,2026-08-05T21:21:00.962277+00:00,left_gripper,2014,2014,0,35,0,0
0.102,2026-08-05T21:21:00.962277+00:00,right_shoulder_pan,2000,1967,-33,35,2,1084
0.102,2026-08-05T21:21:00.962277+00:00,right_shoulder_lift,2049,2097,48,35,7,110
0.102,2026-08-05T21:21:00.962277+00:00,right_elbow_flex,2246,2133,-113,36,1,18
