08-05-2026 17:37:52 RAM 1142/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,80%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@52.375C soc2@50.593C soc0@52.187C gpu@53.343C tj@53.343C soc1@52C VDD_IN 8814mW/8720mW VDD_CPU_GPU_CV 2360mW/2195mW VDD_SOC 3720mW/3743mW
08-05-2026 17:37:53 RAM 1146/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,49%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@52.562C soc2@50.656C soc0@52.281C gpu@53.25C tj@53.25C soc1@51.875C VDD_IN 8774mW/8723mW VDD_CPU_GPU_CV 2240mW/2197mW VDD_SOC 3760mW/3744mW
08-05-2026 17:37:54 RAM 1241/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,91%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@52.812C soc2@50.656C soc0@52.406C gpu@53.312C tj@53.312C soc1@52.031C VDD_IN 8733mW/8724mW VDD_CPU_GPU_CV 2360mW/2206mW VDD_SOC 3725mW/3743mW
08-05-2026 17:37:55 RAM 1289/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@52.781C soc2@50.843C soc0@52.25C gpu@53.406C tj@53.406C soc1@52.093C VDD_IN 8774mW/8727mW VDD_CPU_GPU_CV 2400mW/2217mW VDD_SOC 3725mW/3742mW
08-05-2026 17:37:56 RAM 1550/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.093C soc2@50.843C soc0@52.343C gpu@53.5C tj@53.5C soc1@52.093C VDD_IN 8894mW/8735mW VDD_CPU_GPU_CV 2480mW/2230mW VDD_SOC 3725mW/3742mW
08-05-2026 17:37:57 RAM 1807/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@52.875C soc2@50.937C soc0@52.406C gpu@53.656C tj@53.656C soc1@52.218C VDD_IN 8894mW/8742mW VDD_CPU_GPU_CV 2520mW/2244mW VDD_SOC 3725mW/3741mW
08-05-2026 17:37:58 RAM 1931/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,44%@1728,48%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@52.968C soc2@51C soc0@52.468C gpu@53.656C tj@53.656C soc1@52.343C VDD_IN 8814mW/8746mW VDD_CPU_GPU_CV 2400mW/2251mW VDD_SOC 3725mW/3740mW
08-05-2026 17:37:59 RAM 1931/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.125C soc2@50.906C soc0@52.5C gpu@53.656C tj@53.656C soc1@52.187C VDD_IN 8693mW/8743mW VDD_CPU_GPU_CV 2320mW/2254mW VDD_SOC 3725mW/3739mW
08-05-2026 17:38:00 RAM 1931/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.031C soc2@51C soc0@52.656C gpu@53.656C tj@53.656C soc1@52.218C VDD_IN 8693mW/8741mW VDD_CPU_GPU_CV 2360mW/2258mW VDD_SOC 3725mW/3739mW
08-05-2026 17:38:01 RAM 1931/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.343C soc2@51.031C soc0@52.562C gpu@53.75C tj@53.75C soc1@52.375C VDD_IN 8693mW/8739mW VDD_CPU_GPU_CV 2360mW/2262mW VDD_SOC 3725mW/3738mW
