elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
3.0,2026-08-04T21:23:59.137677+00:00,arms,left_gripper,2014,32,0,0,2014,2014
3.0,2026-08-04T21:23:59.137677+00:00,arms,right_shoulder_pan,1980,34,1,26,1974,1980
3.0,2026-08-04T21:23:59.137677+00:00,arms,right_shoulder_lift,2088,33,4,92,2049,2087
3.0,2026-08-04T21:23:59.137677+00:00,arms,right_elbow_flex,2133,35,4,86,2097,2133
3.0,2026-08-04T21:23:59.137677+00:00,arms,right_wrist_flex,1992,32,1,46,1976,1992
3.0,2026-08-04T21:23:59.137677+00:00,arms,right_wrist_roll,2106,31,1,1054,2114,2106
3.0,2026-08-04T21:23:59.137677+00:00,arms,right_gripper,2073,34,0,0,2073,2073
3.0,2026-08-04T21:23:59.137677+00:00,head,head_motor_1,2158,26,0,0,,
3.0,2026-08-04T21:23:59.137677+00:00,head,head_motor_2,1944,28,0,0,,
3.0,2026-08-04T21:23:59.137677+00:00,head,base_left_wheel,3471,27,0,0,,
3.0,2026-08-04T21:23:59.137677+00:00,head,base_back_wheel,3496,28,0,0,,
3.0,2026-08-04T21:23:59.137677+00:00,head,base_right_wheel,2181,27,0,0,,
4.0,2026-08-04T21:24:00.138711+00:00,arms,left_shoulder_pan,1857,33,0,0,1857,1857
4.0,2026-08-04T21:24:00.138711+00:00,arms,left_shoulder_lift,2404,30,3,72,2389,2404
4.0,2026-08-04T21:24:00.138711+00:00,arms,left_elbow_flex,1644,31,3,72,1629,1644
4.0,2026-08-04T21:24:00.138711+00:00,arms,left_wrist_flex,2177,31,1,44,2169,2177
4.0,2026-08-04T21:24:00.138711+00:00,arms,left_wrist_roll,1987,30,1,1044,1989,1987
4.0,2026-08-04T21:24:00.138711+00:00,arms,left_gripper,2014,32,0,0,2014,2014
4.0,2026-08-04T21:24:00.138711+00:00,arms,right_shoulder_pan,1980,34,1,26,1974,1980
4.0,2026-08-04T21:24:00.138711+00:00,arms,right_shoulder_lift,2088,33,4,92,2049,2087
4.0,2026-08-04T21:24:00.138711+00:00,arms,right_elbow_flex,2133,35,4,86,2097,2133
4.0,2026-08-04T21:24:00.138711+00:00,arms,right_wrist_flex,1992,32,1,46,1976,1992
4.0,2026-08-04T21:24:00.138711+00:00,arms,right_wrist_roll,2106,31,1,1054,2114,2106
4.0,2026-08-04T21:24:00.138711+00:00,arms,right_gripper,2073,34,0,0,2073,2073
4.0,2026-08-04T21:24:00.138711+00:00,head,head_motor_1,2158,26,0,0,,
4.0,2026-08-04T21:24:00.138711+00:00,head,head_motor_2,1944,28,0,0,,
4.0,2026-08-04T21:24:00.138711+00:00,head,base_left_wheel,3471,27,0,0,,
4.0,2026-08-04T21:24:00.138711+00:00,head,base_back_wheel,3496,28,0,0,,
4.0,2026-08-04T21:24:00.138711+00:00,head,base_right_wheel,2181,27,0,0,,
5.0,2026-08-04T21:24:01.139584+00:00,arms,left_shoulder_pan,1857,33,0,0,1857,1857
5.0,2026-08-04T21:24:01.139584+00:00,arms,left_shoulder_lift,2404,30,3,72,2389,2404
5.0,2026-08-04T21:24:01.139584+00:00,arms,left_elbow_flex,1644,31,3,72,1629,1644
5.0,2026-08-04T21:24:01.139584+00:00,arms,left_wrist_flex,2177,31,1,44,2169,2177
5.0,2026-08-04T21:24:01.139584+00:00,arms,left_wrist_roll,1987,30,0,1044,1989,1987
5.0,2026-08-04T21:24:01.139584+00:00,arms,left_gripper,2014,32,0,0,2014,2014
5.0,2026-08-04T21:24:01.139584+00:00,arms,right_shoulder_pan,1980,34,1,26,1974,1980
5.0,2026-08-04T21:24:01.139584+00:00,arms,right_shoulder_lift,2088,33,4,92,2049,2087
5.0,2026-08-04T21:24:01.139584+00:00,arms,right_elbow_flex,2134,35,5,88,2097,2133
5.0,2026-08-04T21:24:01.139584+00:00,arms,right_wrist_flex,1992,32,1,46,1976,1992
5.0,2026-08-04T21:24:01.139584+00:00,arms,right_wrist_roll,2106,31,0,1054,2114,2106
5.0,2026-08-04T21:24:01.139584+00:00,arms,right_gripper,2073,34,0,0,2073,2073
5.0,2026-08-04T21:24:01.139584+00:00,head,head_motor_1,2158,26,0,0,,
5.0,2026-08-04T21:24:01.139584+00:00,head,head_motor_2,1944,28,0,0,,
5.0,2026-08-04T21:24:01.139584+00:00,head,base_left_wheel,3471,27,0,0,,
5.0,2026-08-04T21:24:01.139584+00:00,head,base_back_wheel,3496,28,0,0,,
5.0,2026-08-04T21:24:01.139584+00:00,head,base_right_wheel,2181,27,0,0,,
6.0,2026-08-04T21:24:02.140622+00:00,arms,left_shoulder_pan,1857,33,0,0,1857,1857
6.0,2026-08-04T21:24:02.140622+00:00,arms,left_shoulder_lift,2404,30,3,72,2389,2404
6.0,2026-08-04T21:24:02.140622+00:00,arms,left_elbow_flex,1644,31,3,72,1629,1644
6.0,2026-08-04T21:24:02.140622+00:00,arms,left_wrist_flex,2177,31,1,44,2169,2177
6.0,2026-08-04T21:24:02.140622+00:00,arms,left_wrist_roll,1987,30,0,1044,1989,1987
6.0,2026-08-04T21:24:02.140622+00:00,arms,left_gripper,2014,32,0,0,2014,2014
6.0,2026-08-04T21:24:02.140622+00:00,arms,right_shoulder_pan,1980,34,1,26,1974,1980
6.0,2026-08-04T21:24:02.140622+00:00,arms,right_shoulder_lift,2088,33,4,92,2049,2087
6.0,2026-08-04T21:24:02.140622+00:00,arms,right_elbow_flex,2134,35,5,88,2097,2133
6.0,2026-08-04T21:24:02.140622+00:00,arms,right_wrist_flex,1992,32,1,46,1976,1992
6.0,2026-08-04T21:24:02.140622+00:00,arms,right_wrist_roll,2106,31,0,1054,2114,2106
6.0,2026-08-04T21:24:02.140622+00:00,arms,right_gripper,2073,34,0,0,2073,2073
6.0,2026-08-04T21:24:02.140622+00:00,head,head_motor_1,2158,26,0,0,,
6.0,2026-08-04T21:24:02.140622+00:00,head,head_motor_2,1944,28,0,0,,
6.0,2026-08-04T21:24:02.140622+00:00,head,base_left_wheel,3471,27,0,0,,
6.0,2026-08-04T21:24:02.140622+00:00,head,base_back_wheel,3496,28,0,0,,
6.0,2026-08-04T21:24:02.140622+00:00,head,base_right_wheel,2181,27,0,0,,
7.0,2026-08-04T21:24:03.141674+00:00,arms,left_shoulder_pan,1857,33,0,0,1857,1857
7.0,2026-08-04T21:24:03.141674+00:00,arms,left_shoulder_lift,2404,31,3,72,2389,2404
7.0,2026-08-04T21:24:03.141674+00:00,arms,left_elbow_flex,1644,31,3,72,1629,1644
7.0,2026-08-04T21:24:03.141674+00:00,arms,left_wrist_flex,2177,31,1,44,2169,2177
7.0,2026-08-04T21:24:03.141674+00:00,arms,left_wrist_roll,1987,30,1,1044,1989,1987
7.0,2026-08-04T21:24:03.141674+00:00,arms,left_gripper,2014,33,0,0,2014,2014
7.0,2026-08-04T21:24:03.141674+00:00,arms,right_shoulder_pan,1980,34,0,26,1974,1980
7.0,2026-08-04T21:24:03.141674+00:00,arms,right_shoulder_lift,2088,33,4,92,2049,2087
7.0,2026-08-04T21:24:03.141674+00:00,arms,right_elbow_flex,2134,35,6,88,2097,2133
7.0,2026-08-04T21:24:03.141674+00:00,arms,right_wrist_flex,1992,32,1,46,1976,1992
7.0,2026-08-04T21:24:03.141674+00:00,arms,right_wrist_roll,2106,31,1,1054,2114,2106
7.0,2026-08-04T21:24:03.141674+00:00,arms,right_gripper,2073,34,0,0,2073,2073
