step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,1.0697,99.458,93.522,-99.75,-0.074,75.456,38.901,103.711,65.241,-109.699,0.207,88.725,38.86
1,1.0949,99.458,93.522,-99.75,-0.074,75.456,38.901,103.682,65.215,-109.682,0.219,88.649,38.862
2,1.1148,99.458,93.522,-99.75,-0.074,75.456,38.901,103.717,65.255,-109.615,0.19,88.658,38.861
3,1.1479,99.458,93.32,-100.0,-0.074,76.391,38.901,103.623,65.09,-109.87,0.277,88.567,38.861
4,1.1809,99.458,90.958,-100.0,-0.074,77.495,39.096,103.667,65.198,-109.731,0.195,88.647,38.862
5,1.2181,98.916,87.989,-100.0,-0.221,78.938,39.243,103.631,65.157,-109.744,0.225,88.533,38.861
6,1.247,98.826,84.75,-100.0,-0.295,79.363,39.243,103.599,64.953,-110.097,0.295,88.445,38.863
7,1.2826,98.826,81.579,-100.0,-0.295,79.363,39.243,103.576,64.984,-109.955,0.317,88.377,38.863
8,1.3162,98.826,78.408,-100.0,-0.221,79.363,39.243,103.528,64.734,-110.042,0.449,87.83,38.865
9,1.3495,98.826,75.169,-100.0,-0.147,79.363,39.243,103.539,64.982,-109.69,0.345,87.939,38.864
10,1.3827,98.826,71.997,-100.0,-0.074,79.363,39.243,103.507,64.411,-110.354,0.545,87.571,38.867
11,1.4178,98.826,69.906,-100.0,-0.074,79.363,39.243,103.489,64.385,-110.332,0.533,87.501,38.867
12,1.4525,98.826,68.084,-100.0,-0.074,79.363,39.243,103.505,64.729,-109.838,0.45,87.694,38.866
13,1.4853,98.826,66.802,-100.0,-0.074,79.363,39.243,103.043,63.188,-109.976,0.774,84.636,38.876
14,1.5187,98.826,66.262,-100.0,-0.074,79.363,39.243,103.264,63.761,-110.324,0.701,86.344,38.872
15,1.5501,98.826,65.452,-100.0,-0.074,79.363,39.243,103.23,63.637,-110.206,0.72,85.95,38.873
16,1.5832,98.826,64.507,-100.0,-0.074,79.363,39.243,103.273,63.723,-110.195,0.714,86.166,38.873
17,1.6179,98.826,64.44,-100.0,0.074,79.363,39.243,103.281,63.846,-109.682,0.714,85.508,38.875
18,1.6488,98.826,64.372,-100.0,0.295,79.363,39.243,103.295,63.771,-110.173,0.706,86.176,38.872
19,1.6821,98.826,64.305,-100.0,0.442,79.363,39.243,103.085,63.475,-110.329,0.691,85.735,38.876
20,1.7154,98.826,64.17,-100.0,0.516,79.363,39.243,103.045,63.292,-109.956,0.784,84.899,38.874
21,1.751,98.826,63.9,-100.0,0.516,79.363,39.243,103.193,63.888,-109.74,0.64,85.834,38.875
22,1.7866,98.826,63.765,-100.0,0.516,79.363,39.243,103.069,63.262,-110.121,0.744,85.059,38.876
23,1.8209,98.826,63.698,-100.0,0.516,79.363,39.243,103.093,63.322,-110.125,0.775,85.274,38.875
24,1.8545,98.826,63.698,-100.0,0.516,79.363,39.243,103.068,63.326,-110.058,0.782,85.124,38.875
25,1.8858,98.826,63.63,-100.0,0.516,79.363,39.243,102.987,63.193,-109.741,0.767,84.288,38.877
26,1.9155,98.826,63.563,-100.0,0.516,79.363,39.243,103.098,63.462,-109.946,0.745,85.217,38.876
27,1.9525,98.826,63.563,-100.0,0.516,79.363,39.243,103.028,63.209,-109.939,0.792,84.667,38.875
28,1.9834,98.826,63.563,-100.0,0.516,79.363,39.243,103.282,63.872,-110.155,0.649,86.305,38.873
29,2.0194,98.826,63.495,-100.0,0.516,79.363,39.243,103.11,63.432,-110.186,0.753,85.546,38.874
30,2.0589,98.826,63.563,-100.0,0.516,79.363,39.243,103.113,63.409,-110.227,0.756,85.415,38.875
31,2.0828,98.826,63.563,-100.0,0.516,79.363,39.243,103.031,63.32,-109.774,0.761,84.373,38.876
32,2.1179,98.826,63.563,-100.0,0.516,79.363,39.243,103.046,63.337,-110.134,0.761,85.139,38.873
33,2.1551,98.826,63.563,-100.0,0.516,79.363,39.243,102.894,63.202,-109.665,0.757,84.038,38.876
34,2.1921,98.826,63.563,-100.0,0.516,79.363,39.243,103.029,63.273,-109.998,0.803,84.626,38.874
35,2.225,98.826,63.563,-100.0,0.516,79.363,39.243,102.969,63.199,-109.625,0.781,83.882,38.878
36,2.2533,98.826,63.563,-100.0,0.516,79.363,39.243,102.898,63.159,-109.674,0.769,83.811,38.876
37,2.2848,98.826,63.563,-100.0,0.516,79.363,39.243,102.942,63.133,-109.921,0.802,84.08,38.876
38,2.3205,98.826,63.563,-100.0,0.516,79.363,39.243,102.882,63.177,-109.517,0.757,83.58,38.876
39,2.3516,98.826,63.563,-100.0,0.516,79.363,39.243,102.77,63.072,-108.957,0.765,81.992,38.876
40,2.3896,98.826,63.495,-100.0,0.516,79.363,39.243,102.726,63.101,-108.872,0.782,81.804,38.877
41,2.4212,98.826,63.495,-100.0,0.516,79.278,39.243,102.831,63.15,-109.272,0.755,82.702,38.876
42,2.4547,98.826,63.495,-100.0,0.516,79.023,39.243,102.535,62.729,-108.894,0.745,79.302,38.868
43,2.4904,98.826,63.495,-100.0,0.516,79.023,39.243,102.683,62.959,-108.829,0.762,80.815,38.875
44,2.5204,98.826,63.293,-100.0,0.516,79.023,39.243,102.488,62.917,-108.134,0.729,79.129,38.876
45,2.5558,98.826,63.225,-100.0,0.516,78.684,39.243,102.206,63.063,-105.738,0.622,76.165,38.881
46,2.596,98.826,63.225,-100.0,0.516,78.344,39.194,102.513,62.914,-108.423,0.727,79.562,38.873
47,2.6204,99.097,63.225,-100.0,0.516,77.58,39.194,102.616,62.955,-108.585,0.724,80.187,38.872
48,2.6534,99.368,63.158,-100.0,0.442,76.815,38.999,102.275,62.724,-105.011,0.524,71.827,38.866
49,2.6867,99.368,63.158,-100.0,0.516,76.815,38.999,102.3,62.457,-105.04,0.55,69.827,38.859
50,2.7196,99.368,63.158,-100.0,0.516,77.155,38.999,102.351,62.52,-101.925,0.35,64.157,38.855
51,2.7528,99.368,63.023,-100.0,0.516,76.985,39.048,102.23,62.711,-104.397,0.449,70.264,38.863
52,2.7862,99.368,62.888,-100.0,0.516,76.561,38.95,102.542,62.593,-97.621,0.3,56.301,38.853
53,2.8218,99.458,62.888,-99.667,0.516,73.758,38.95,102.463,62.519,-100.564,0.322,61.032,38.854
54,2.8551,99.458,62.888,-99.501,0.442,71.04,38.901,102.586,62.543,-97.561,0.283,55.428,38.851
55,2.8916,99.458,62.888,-99.168,0.442,67.643,38.901,102.454,62.582,-92.928,0.117,47.937,38.852
56,2.9272,99.458,62.888,-98.586,0.516,64.331,38.901,102.668,62.163,-90.829,0.074,41.129,38.841
57,2.956,99.549,62.888,-97.504,0.516,60.594,38.901,102.302,62.49,-89.661,0.004,42.457,38.854
58,2.989,99.639,62.753,-96.007,0.516,56.603,38.901,101.078,62.617,-85.538,-0.082,39.967,38.862
59,3.0221,99.819,62.753,-93.927,0.516,52.527,38.901,101.606,62.376,-86.047,-0.06,37.382,38.858
60,3.0626,99.91,62.753,-91.098,0.442,48.62,38.901,100.19,62.225,-74.711,0.264,20.354,38.859
61,3.0868,99.91,62.753,-88.519,0.442,45.053,38.901,99.59,62.168,-71.63,0.256,16.523,38.857
62,3.1221,99.91,62.753,-87.271,0.442,41.741,38.901,99.001,62.001,-67.372,0.397,7.917,38.853
63,3.1551,99.91,62.551,-85.607,0.442,38.089,38.901,98.55,62.011,-63.979,0.489,3.763,38.85
64,3.1905,99.91,62.348,-82.945,0.516,34.098,38.901,98.813,61.971,-67.301,0.318,9.134,38.855
65,3.2206,99.819,62.348,-78.785,0.516,30.191,38.852,96.771,61.734,-57.147,0.521,-3.896,38.845
66,3.2645,99.819,62.348,-73.211,0.516,26.03,38.852,96.371,61.754,-56.821,0.343,-1.004,38.851
67,3.2934,99.368,62.213,-68.636,0.516,22.123,38.852,96.453,61.805,-55.988,0.448,-3.726,38.845
68,3.3287,98.736,62.078,-64.393,0.516,18.132,38.852,95.004,61.737,-49.091,0.7,-12.986,38.84
69,3.3643,98.555,62.078,-61.065,0.516,14.31,38.852,94.022,61.519,-47.109,0.488,-13.612,38.842
70,3.3973,98.375,62.078,-58.819,0.516,10.403,38.852,94.152,61.736,-46.275,0.622,-14.684,38.842
71,3.4262,97.381,61.943,-56.073,0.516,6.412,38.852,92.373,61.508,-39.889,0.895,-23.382,38.841
72,3.4594,96.569,61.943,-52.995,0.516,2.42,38.852,92.468,61.651,-39.694,0.895,-22.575,38.843
73,3.4967,96.117,61.808,-49.002,0.369,-1.571,38.852,92.346,61.635,-39.546,0.63,-21.814,38.835
74,3.5253,95.305,61.808,-45.341,0.295,-5.393,38.852,91.537,61.791,-35.958,0.844,-25.667,38.83
75,3.565,95.034,61.808,-43.095,0.516,-9.384,38.852,89.433,61.682,-28.935,1.251,-33.935,38.834
76,3.5933,94.582,61.808,-41.348,0.59,-13.291,38.852,87.943,61.682,-24.002,1.288,-38.168,38.832
