step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.9671,-0.369,-99.501,99.458,75.626,38.852,93.792,-1,5.057,7.408,62.918,-54.502,38.91,61.281,5.057,7.408,62.918,-54.502,38.91,61.281,17.339
100,4.3851,4.056,10.732,63.612,-51.932,38.852,61.471,-1,5.462,69.398,17.417,-86.091,38.875,63.522,5.462,69.398,17.417,-86.091,38.875,63.522,69.703
200,7.8018,5.162,70.383,19.007,-85.987,38.852,63.225,38,4.366,66.877,22.64,-86.86,38.909,48.879,3.074,23.964,47.692,-73.372,38.953,6.261,67.766
300,11.2161,3.245,21.048,60.181,-68.577,38.852,10.931,0,1.359,15.281,67.605,-75.314,38.912,6.145,-1.851,-106.195,100.016,44.243,38.942,6.488,15.567
400,14.6357,-1.622,-97.92,99.639,45.223,38.803,10.931,0,-0.707,-111.333,102.271,45.597,38.912,7.695,-1.27,-97.289,99.828,27.103,38.855,13.694,-95.496
500,18.0572,-1.032,-95.591,99.729,28.238,38.803,14.845,0,-0.52,-110.777,102.787,39.911,38.927,7.406,-1.408,-97.4,99.435,27.679,38.868,13.22,-95.547
600,21.4826,-1.032,-95.757,99.729,28.832,38.803,14.305,0,-0.531,-110.733,102.772,39.902,38.927,7.365,-1.404,-97.582,99.454,27.95,38.868,13.158,-95.745
700,24.8974,-1.032,-96.007,99.729,29.512,38.803,14.103,0,-0.534,-110.772,102.749,40.155,38.927,7.371,-1.4,-97.591,99.468,27.95,38.867,13.172,-95.754
