step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,1.0059,-0.369,-99.75,99.549,75.541,38.852,93.927,-1,22.168,-11.248,54.822,-24.421,38.902,61.418,22.168,-11.248,54.822,-24.421,38.902,61.418,-5.348
100,4.4164,21.608,-9.817,57.472,-21.019,38.852,61.741,-1,29.415,62.473,17.189,-74.324,38.858,63.427,29.415,62.473,17.189,-74.324,38.858,63.427,62.885
200,7.8317,28.54,63.394,19.007,-73.418,38.852,62.821,48,29.425,64.829,16.542,-78.599,38.899,43.664,26.32,49.778,25.434,-72.989,38.942,9.662,65.953
300,11.2508,26.475,48.502,33.725,-70.701,38.95,12.618,0,25.406,51.129,34.697,-75.493,38.976,6.483,-3.801,-105.968,101.548,24.795,39.016,6.107,51.129
400,14.6711,-3.761,-97.92,99.549,26.624,39.048,10.864,0,-4.192,-109.718,102.466,25.79,38.99,6.866,-3.439,-103.438,100.997,21.689,38.88,11.284,-102.347
500,18.0925,-3.687,-97.92,99.549,24.076,38.852,12.483,0,-4.129,-109.437,102.499,24.738,38.94,6.889,-3.505,-103.11,100.843,21.193,38.862,11.267,-102.043
600,21.5166,-3.687,-97.92,99.549,23.567,38.852,12.483,0,-4.122,-109.362,102.514,24.489,38.941,6.877,-3.516,-103.151,100.841,21.263,38.862,11.237,-102.086
700,24.936,-3.761,-97.92,99.549,23.482,38.852,12.348,0,-4.139,-109.318,102.519,24.374,38.942,6.867,-3.528,-103.205,100.851,21.341,38.862,11.214,-102.142
