step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,cmd.shoulder_pan,cmd.shoulder_lift,cmd.elbow_flex,cmd.wrist_flex,cmd.wrist_roll,cmd.gripper,rec.shoulder_pan,rec.shoulder_lift,rec.elbow_flex,rec.wrist_flex,rec.wrist_roll,rec.gripper
0,0.0012,0.9587020648967695,-99.58402662229618,99.45823927765235,75.62632696390659,38.94993894993894,94.0620782726046,-0.22123894095420837,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,94.46693420410156,-0.22123894095420837,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,94.46693420410156
1,0.0348,0.9587020648967695,-99.58402662229618,99.45823927765235,75.62632696390659,38.94993894993894,94.0620782726046,-0.22123894095420837,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,94.39945983886719,-0.22123894095420837,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,94.46693420410156
2,0.0681,0.9587020648967695,-99.58402662229618,99.45823927765235,75.62632696390659,38.94993894993894,94.0620782726046,-0.22123894095420837,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,92.30769348144531,-0.22123894095420837,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,94.39945983886719
3,0.1017,0.5899705014749372,-99.58402662229618,99.45823927765235,75.62632696390659,38.94993894993894,94.0620782726046,-0.22123894095420837,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,89.0688247680664,-0.22123894095420837,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,92.30769348144531
4,0.1352,0.22123893805310502,-99.58402662229618,99.45823927765235,75.62632696390659,38.94993894993894,93.92712550607287,-0.22123894095420837,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,85.8974380493164,-0.22123894095420837,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,89.0688247680664
5,0.1686,0.07374631268437781,-99.58402662229618,99.45823927765235,75.62632696390659,38.94993894993894,92.3076923076923,-0.14749263226985931,-100.0,99.3679428100586,75.45647430419922,38.998779296875,82.59109497070312,-0.22123894095420837,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,85.8974380493164
6,0.202,0.07374631268437781,-99.58402662229618,99.45823927765235,75.62632696390659,38.94993894993894,89.87854251012146,-0.14749263226985931,-100.0,99.3679428100586,75.45647430419922,38.998779296875,79.14979553222656,-0.14749263226985931,-100.0,99.3679428100586,75.45647430419922,38.998779296875,82.59109497070312
7,0.2354,0.1474926253687272,-99.58402662229618,99.45823927765235,75.62632696390659,38.94993894993894,87.3144399460189,-0.14749263226985931,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,75.91093444824219,-0.14749263226985931,-100.0,99.3679428100586,75.45647430419922,38.998779296875,79.14979553222656
8,0.2689,0.1474926253687272,-99.58402662229618,99.45823927765235,75.62632696390659,38.94993894993894,84.54790823211876,-0.14749263226985931,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,72.537109375,-0.14749263226985931,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,75.91093444824219
9,0.3023,0.1474926253687272,-99.58402662229618,99.45823927765235,75.62632696390659,38.94993894993894,81.44399460188933,-0.14749263226985931,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,69.29824829101562,-0.14749263226985931,-100.0,99.3679428100586,75.45647430419922,38.85226058959961,72.537109375
