step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.6045,-0.074,-100.0,99.458,75.541,38.852,93.455,-1,26.155,-17.219,77.021,-22.984,39.042,61.151,26.155,-17.219,77.021,-22.984,39.042,61.151,-11.552
100,4.0231,25.442,-16.389,79.233,-20.594,38.852,61.606,-1,32.998,34.986,52.238,-57.756,38.926,63.358,32.998,34.986,52.238,-57.756,38.926,63.358,35.073
200,7.434,32.301,35.857,53.589,-56.093,38.852,62.686,59,33.631,39.541,52.66,-67.196,38.912,49.903,32.783,40.589,53.537,-69.686,38.933,16.111,42.336
300,10.8515,32.965,41.431,54.582,-67.983,38.852,17.341,0,33.885,50.531,50.325,-70.688,38.995,9.354,-0.747,-93.831,104.837,2.16,39.084,7.125,50.531
400,14.2726,-1.18,-92.928,99.91,6.412,38.852,11.404,0,-3.328,-102.211,103.478,14.126,39.0,5.92,-5.489,-104.923,101.921,26.479,38.956,8.77,-102.211
500,17.6893,-4.794,-97.421,99.639,29.087,38.852,11.269,0,-5.406,-108.797,102.722,28.732,38.975,6.757,-4.744,-102.738,102.138,22.818,38.93,10.078,-101.606
600,21.1157,-4.794,-97.671,99.639,25.86,38.803,11.876,0,-5.351,-108.412,102.842,27.407,38.964,6.702,-4.84,-102.826,102.059,22.948,38.927,9.987,-101.705
700,24.5353,-4.941,-97.671,99.639,25.86,38.803,11.741,0,-5.388,-108.382,102.845,27.349,38.964,6.697,-4.857,-102.875,102.065,23.017,38.927,9.97,-101.756
