step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.5959,-0.147,-99.75,99.458,75.541,39.048,93.522,-1,28.689,-4.613,65.364,-32.001,39.066,61.052,28.689,-4.613,65.364,-32.001,39.066,61.052,5.432
100,4.0111,29.056,-0.749,67.404,-29.002,39.048,61.269,-1,34.592,47.257,32.412,-59.715,38.941,63.683,34.592,47.257,32.412,-59.715,38.941,63.683,47.87
200,7.4344,33.997,48.336,34.447,-58.471,39.048,63.225,53,36.172,48.432,33.602,-64.237,38.972,49.858,34.925,49.938,35.024,-67.428,39.0,12.993,52.515
300,10.8552,35.619,50.25,38.6,-65.775,39.048,15.115,0,36.892,56.263,36.081,-67.376,39.118,9.707,2.449,-86.914,105.991,-8.069,39.359,7.501,56.263
400,14.2644,1.475,-87.438,99.91,-3.27,39.243,11.201,0,-1.262,-98.555,104.234,7.383,39.304,5.758,-4.539,-105.048,102.079,29.382,39.268,8.917,-98.555
500,17.6754,-3.982,-98.003,99.639,31.635,39.145,11.201,0,-5.273,-110.187,102.855,34.5,39.27,7.12,-3.113,-101.303,102.211,22.39,39.198,11.466,-99.864
600,21.1006,-3.54,-98.003,99.549,24.671,39.096,12.686,0,-5.104,-109.672,103.039,31.763,39.258,7.022,-3.308,-101.516,102.023,22.78,39.2,11.206,-100.128
700,24.5056,-3.614,-98.253,99.549,25.35,39.096,12.618,0,-5.141,-109.763,103.015,32.118,39.258,7.039,-3.282,-101.448,102.031,22.671,39.199,11.251,-100.051
