step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.6206,0.0,-99.501,99.458,75.541,39.096,93.185,-1,27.394,-5.036,71.716,-38.339,39.035,61.246,27.394,-5.036,71.716,-38.339,39.035,61.246,3.78
100,4.0375,27.286,-5.158,72.37,-36.221,39.048,61.404,-1,32.973,47.501,35.972,-62.86,38.941,63.47,32.973,47.501,35.972,-62.86,38.941,63.47,48.201
200,7.4539,32.153,48.253,37.427,-61.614,39.048,62.955,59,34.166,49.385,37.586,-68.541,38.972,48.588,33.125,50.799,38.547,-71.039,39.015,14.821,52.738
300,10.8844,33.85,51.581,39.684,-69.597,39.048,16.667,0,35.05,58.866,37.7,-72.939,39.112,9.822,1.028,-90.42,105.649,-4.907,39.394,7.508,58.866
400,14.3064,0.074,-91.098,99.91,0.127,39.243,10.999,0,-2.882,-99.375,104.029,8.088,39.329,5.819,-5.096,-105.246,102.138,29.738,39.277,9.354,-99.375
500,17.7292,-4.646,-97.837,99.639,32.314,39.145,11.336,0,-6.271,-109.671,102.93,31.909,39.291,7.181,-3.858,-101.922,102.388,23.525,39.21,11.662,-100.368
600,21.1466,-4.204,-97.92,99.639,26.115,39.096,13.09,0,-6.097,-109.193,103.071,29.724,39.28,7.12,-3.943,-101.837,102.18,23.569,39.211,11.552,-100.308
700,24.5596,-4.277,-98.003,99.639,26.2,39.096,12.821,0,-6.116,-109.164,103.079,29.633,39.28,7.101,-3.979,-101.948,102.201,23.707,39.211,11.502,-100.432
