step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,0.5854,99.458,93.657,-99.584,0.0,75.541,39.096,106.391,64.904,-110.393,-0.898,86.991,39.016
1,0.5959,99.458,93.657,-99.584,0.0,75.541,39.096,106.314,64.903,-110.445,-0.87,86.929,39.017
2,0.6301,99.458,93.657,-99.584,0.0,75.541,39.096,106.4,64.91,-110.366,-0.89,86.951,39.016
3,0.6674,99.458,93.657,-99.584,-0.074,75.541,39.096,106.288,64.739,-110.671,-0.783,87.117,39.017
4,0.7016,99.458,93.59,-99.584,-0.369,76.051,39.096,106.373,64.873,-110.463,-0.898,86.979,39.018
5,0.7335,99.458,93.117,-99.75,-0.442,76.476,39.243,106.358,64.805,-110.484,-0.813,86.921,39.019
6,0.765,99.458,92.038,-100.0,-0.442,77.07,39.243,106.242,64.628,-110.915,-0.738,87.183,39.019
7,0.7985,99.458,90.756,-100.0,-0.442,77.58,39.243,106.193,64.604,-110.817,-0.684,87.121,39.018
8,0.8321,99.368,89.271,-100.0,-0.442,77.919,39.292,106.112,64.563,-110.759,-0.613,86.857,39.02
9,0.8656,99.007,87.449,-100.0,-0.516,78.514,39.341,106.17,64.742,-110.454,-0.703,86.719,39.019
10,0.9014,98.916,85.425,-100.0,-0.516,78.938,39.389,105.737,64.189,-111.114,-0.501,87.137,39.019
11,0.9345,98.916,82.996,-100.0,-0.442,79.023,39.389,105.779,64.248,-111.11,-0.532,87.137,39.02
12,0.9658,98.916,80.364,-100.0,-0.369,79.023,39.389,105.924,64.441,-110.832,-0.556,86.879,39.02
13,0.999,98.916,77.8,-100.0,-0.369,79.023,39.389,104.657,63.241,-110.903,-0.086,86.652,39.027
14,1.0327,98.916,75.371,-100.0,-0.369,79.023,39.389,105.182,63.652,-111.191,-0.279,86.95,39.024
15,1.0656,98.916,73.077,-100.0,-0.369,79.023,39.389,104.995,63.521,-111.038,-0.178,86.74,39.025
16,1.0986,98.916,71.12,-100.0,-0.369,79.023,39.389,105.288,63.779,-111.143,-0.31,86.9,39.023
17,1.133,98.916,69.231,-100.0,-0.369,79.023,39.389,105.207,63.753,-110.723,-0.178,86.365,39.024
