step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.5896,-0.074,-99.667,99.458,75.541,38.852,93.117,-1,27.777,-15.861,74.087,-22.065,39.03,61.162,27.777,-15.861,74.087,-22.065,39.03,61.162,-8.913
100,4.0173,27.434,-16.223,76.524,-20.764,38.852,61.538,-1,34.27,40.529,47.412,-61.165,38.928,63.521,34.27,40.529,47.412,-61.165,38.928,63.521,40.761
200,7.4253,33.26,41.015,49.165,-59.66,38.852,62.821,58,34.987,44.829,47.676,-70.029,38.939,49.947,34.016,46.571,47.731,-72.001,38.97,15.349,48.443
300,10.8528,33.702,47.005,48.984,-70.531,38.901,16.802,0,35.052,54.409,45.648,-72.954,39.051,9.875,0.188,-91.024,105.088,-1.529,39.182,7.507,54.409
400,14.2696,-0.147,-90.932,99.91,2.675,38.95,11.269,0,-2.233,-98.486,103.624,8.531,39.088,5.865,-5.206,-104.622,102.192,26.451,39.046,9.015,-98.486
500,17.688,-4.499,-97.754,99.639,28.747,38.95,11.269,0,-5.043,-107.648,102.931,27.255,39.069,6.805,-4.307,-101.894,102.377,22.051,39.015,10.65,-100.779
600,21.1284,-4.499,-97.837,99.639,24.671,38.95,11.808,0,-4.99,-107.176,103.05,25.662,39.074,6.74,-4.432,-102.118,102.317,22.433,39.02,10.497,-101.015
700,24.5342,-4.646,-97.92,99.639,25.096,38.95,11.606,0,-5.034,-107.211,103.042,25.786,39.074,6.74,-4.439,-102.138,102.329,22.461,39.019,10.493,-101.038
