step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.6162,-0.221,-99.75,99.458,75.541,38.803,93.32,-1,27.367,-9.191,63.214,-21.336,39.033,61.183,27.367,-9.191,63.214,-21.336,39.033,61.183,-1.329
100,4.0498,27.065,-8.236,65.959,-20.0,38.852,61.471,-1,33.583,46.511,35.112,-60.33,38.927,63.792,33.583,46.511,35.112,-60.33,38.927,63.792,46.877
200,7.4692,33.038,47.338,36.704,-58.896,38.852,63.36,52,34.667,49.387,36.075,-66.932,38.925,47.332,32.624,47.993,38.659,-68.954,38.956,12.295,52.315
300,10.9007,33.038,47.421,42.122,-66.879,38.852,14.71,0,33.422,53.319,40.802,-70.496,39.024,8.746,-1.238,-94.351,104.904,3.983,39.141,7.377,53.319
400,14.3158,-1.696,-93.76,99.91,6.837,38.852,11.741,0,-3.276,-102.924,104.018,14.72,39.037,6.158,-4.729,-103.703,102.312,24.678,39.01,9.46,-102.636
500,17.738,-4.204,-97.754,99.639,27.049,38.852,11.538,0,-4.771,-108.197,103.459,27.54,39.016,6.843,-4.051,-101.784,102.485,21.385,38.991,10.667,-100.595
600,21.1655,-4.13,-97.754,99.639,23.737,38.852,12.078,0,-4.713,-107.876,103.548,26.269,39.02,6.788,-4.135,-101.921,102.434,21.645,38.994,10.56,-100.75
700,24.5724,-4.277,-97.92,99.639,24.161,38.852,12.078,0,-4.769,-107.973,103.533,26.533,39.02,6.807,-4.122,-101.868,102.439,21.57,38.994,10.593,-100.696
