step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,0.5798,99.458,93.252,-99.501,0.0,75.541,38.999,105.625,64.886,-109.899,-1.1,88.205,39.006
1,0.589,99.458,93.252,-99.501,0.0,75.541,38.999,105.546,64.88,-109.972,-1.079,88.136,39.006
2,0.6227,99.458,93.252,-99.501,0.0,75.541,38.999,105.637,64.868,-109.909,-1.088,88.174,39.005
3,0.6603,99.458,93.252,-99.584,-0.295,76.136,38.999,105.477,64.714,-110.285,-1.014,88.372,39.006
4,0.6933,99.458,93.185,-100.0,-0.737,77.325,39.194,105.595,64.838,-109.994,-1.097,88.204,39.007
5,0.7268,99.007,92.915,-100.0,-0.811,78.769,39.389,105.552,64.777,-110.098,-1.034,88.177,39.008
6,0.7627,98.826,91.768,-100.0,-0.664,79.363,39.389,105.449,64.626,-110.482,-0.989,88.39,39.007
7,0.7958,98.826,90.486,-100.0,-0.516,79.448,39.389,105.361,64.528,-110.548,-0.915,88.389,39.006
8,0.8266,98.826,89.001,-100.0,-0.516,79.448,39.389,105.246,64.518,-110.461,-0.862,88.101,39.007
9,0.86,98.826,87.179,-100.0,-0.516,79.448,39.389,105.357,64.71,-110.117,-0.928,87.965,39.008
10,0.8931,98.826,85.088,-100.0,-0.516,79.448,39.438,104.936,64.198,-110.954,-0.802,88.417,39.006
11,0.9269,98.826,82.726,-100.0,-0.516,79.448,39.438,104.94,64.178,-110.986,-0.798,88.384,39.006
12,0.96,98.826,80.094,-100.0,-0.516,79.448,39.438,105.112,64.383,-110.655,-0.836,88.21,39.007
13,0.9935,98.826,77.463,-100.0,-0.516,79.448,39.438,103.913,63.414,-111.166,-0.511,88.298,39.01
14,1.0269,98.826,75.169,-100.0,-0.516,79.448,39.438,104.306,63.697,-111.244,-0.633,88.397,39.008
15,1.0603,98.826,72.942,-100.0,-0.516,79.448,39.438,104.209,63.632,-111.203,-0.579,88.307,39.008
16,1.0938,98.826,70.918,-100.0,-0.516,79.448,39.438,104.353,63.78,-111.202,-0.644,88.304,39.007
17,1.1271,98.826,69.096,-100.0,-0.516,79.448,39.438,104.479,63.847,-110.866,-0.579,87.91,39.008
18,1.1609,98.826,67.476,-100.0,-0.516,79.448,39.438,104.266,63.671,-111.176,-0.591,88.362,39.007
19,1.1939,98.826,66.194,-100.0,-0.516,79.448,39.438,104.044,63.548,-111.19,-0.585,88.185,39.011
20,1.2274,98.826,65.25,-100.0,-0.516,79.448,39.438,103.939,63.527,-111.125,-0.512,88.186,39.009
21,1.2607,98.826,64.642,-100.0,-0.516,79.448,39.438,104.236,63.731,-110.82,-0.574,87.935,39.009
22,1.2944,98.826,64.305,-100.0,-0.516,79.448,39.438,103.948,63.451,-111.16,-0.548,88.271,39.01
23,1.3279,98.826,64.238,-100.0,-0.516,79.448,39.438,104.044,63.534,-111.214,-0.572,88.377,39.009
24,1.3611,98.826,64.035,-100.0,-0.516,79.448,39.438,104.061,63.506,-111.157,-0.526,88.203,39.009
25,1.3947,98.826,63.968,-100.0,-0.516,79.448,39.438,103.836,63.441,-111.004,-0.47,88.083,39.011
26,1.4283,98.826,63.968,-100.0,-0.516,79.448,39.438,104.037,63.575,-111.008,-0.542,87.941,39.012
27,1.4616,98.826,63.968,-100.0,-0.516,79.448,39.438,103.837,63.457,-111.107,-0.505,88.225,39.01
28,1.495,98.826,63.968,-100.0,-0.516,79.448,39.438,104.373,63.769,-111.099,-0.61,88.165,39.009
29,1.5283,98.826,63.968,-100.0,-0.516,79.448,39.438,104.033,63.525,-111.252,-0.543,88.349,39.009
30,1.5667,98.826,63.968,-100.0,-0.516,79.448,39.438,104.082,63.543,-111.25,-0.502,88.19,39.009
31,1.5954,98.826,63.968,-100.0,-0.516,79.448,39.438,103.951,63.5,-111.038,-0.384,87.853,39.01
32,1.6289,98.826,63.968,-100.0,-0.516,79.448,39.438,103.992,63.527,-111.234,-0.512,88.229,39.009
33,1.6622,98.826,63.9,-100.0,-0.516,79.448,39.438,103.759,63.425,-111.008,-0.389,87.78,39.012
34,1.6959,98.826,63.833,-100.0,-0.516,79.448,39.438,103.945,63.468,-111.136,-0.444,88.06,39.01
35,1.7288,98.826,63.833,-100.0,-0.516,79.448,39.438,103.862,63.426,-110.993,-0.379,87.776,39.011
36,1.7624,98.826,63.833,-100.0,-0.516,79.448,39.438,103.742,63.427,-111.015,-0.365,87.81,39.011
37,1.796,98.826,63.833,-100.0,-0.516,79.448,39.438,103.823,63.382,-111.123,-0.365,87.887,39.011
38,1.8291,98.826,63.833,-100.0,-0.516,79.448,39.438,103.766,63.433,-111.003,-0.355,87.761,39.011
39,1.8651,98.826,63.833,-100.0,-0.516,79.448,39.438,103.613,63.375,-110.601,-0.093,86.857,39.014
40,1.8984,98.826,63.833,-100.0,-0.516,79.448,39.438,103.567,63.429,-110.55,-0.094,86.904,39.013
41,1.9319,98.826,63.833,-100.0,-0.516,79.448,39.438,103.684,63.415,-110.882,-0.148,87.33,39.011
42,1.9653,98.826,63.833,-100.0,-0.516,79.448,39.438,103.402,63.21,-110.319,0.61,85.669,39.014
43,1.9996,98.826,63.833,-100.0,-0.516,79.448,39.438,103.584,63.338,-110.681,0.046,86.757,39.013
44,2.0324,98.826,63.833,-100.0,-0.516,79.448,39.438,103.334,63.345,-109.746,0.512,85.212,39.017
45,2.0633,98.826,63.765,-100.0,-0.369,79.448,39.438,103.174,63.457,-108.847,0.569,84.241,39.02
46,2.0966,98.826,63.698,-100.0,-0.221,79.448,39.438,103.495,63.356,-110.485,0.117,86.391,39.014
47,2.13,98.826,63.698,-100.0,-0.147,79.448,39.438,103.382,63.296,-110.026,0.552,85.449,39.015
48,2.1636,98.826,63.698,-100.0,-0.147,79.448,39.438,103.03,63.262,-108.646,1.177,83.413,39.018
49,2.1969,98.826,63.698,-100.0,-0.147,79.448,39.438,102.719,63.05,-108.043,1.781,82.183,39.018
50,2.2303,98.826,63.698,-100.0,0.074,79.448,39.438,101.602,62.78,-104.059,3.611,75.914,39.019
51,2.264,98.826,63.63,-100.0,0.737,79.023,39.438,102.417,63.071,-107.208,2.034,81.265,39.019
52,2.2974,98.916,63.428,-100.0,1.401,78.514,39.438,101.892,62.906,-105.158,3.003,77.95,39.021
53,2.3306,99.187,63.293,-100.0,2.286,77.495,39.194,101.515,62.767,-104.052,3.723,75.704,39.02
54,2.3641,99.368,63.293,-100.0,2.581,77.155,39.145,101.384,62.781,-103.615,3.828,75.355,39.02
55,2.3981,99.368,63.225,-100.0,2.36,77.07,39.194,100.692,62.632,-101.074,4.883,71.632,39.023
56,2.4334,99.368,63.225,-100.0,3.097,76.985,39.145,99.292,62.352,-97.468,6.576,65.561,39.026
57,2.4678,99.368,63.09,-100.0,3.687,76.391,39.096,100.208,62.532,-99.581,5.436,69.395,39.026
58,2.4983,99.368,62.955,-100.0,4.277,74.268,39.096,100.676,62.891,-99.338,4.418,70.743,39.032
59,2.5316,99.458,62.821,-99.667,5.31,71.38,39.096,99.239,62.365,-97.073,6.425,65.779,39.029
60,2.5704,99.458,62.821,-99.667,5.088,69.002,39.096,97.418,62.275,-90.218,8.584,57.333,39.04
61,2.5982,99.458,62.821,-99.667,4.425,67.898,39.096,97.342,62.294,-89.691,8.623,56.728,39.041
62,2.6316,99.458,62.821,-99.667,5.088,67.219,39.096,95.14,62.026,-84.959,10.745,50.187,39.044
63,2.665,99.458,62.821,-98.918,6.711,65.265,39.096,93.23,61.971,-78.262,12.602,42.685,39.051
64,2.6986,99.458,62.551,-97.421,8.038,61.953,39.096,94.695,62.112,-82.129,11.114,47.596,39.052
65,2.7319,99.007,62.416,-95.84,9.218,58.386,39.096,91.947,61.866,-74.101,13.481,38.27,39.058
66,2.7653,98.014,62.416,-94.509,10.767,54.65,39.096,94.014,62.197,-76.317,11.609,42.476,39.063
67,2.7978,96.93,62.416,-93.677,11.136,50.828,39.096,92.352,62.013,-73.526,13.132,38.286,39.061
68,2.8336,95.847,62.416,-91.181,11.283,47.176,39.096,91.151,61.938,-70.858,14.316,34.456,39.059
69,2.8658,95.034,62.416,-88.353,11.652,44.034,39.096,89.204,61.71,-64.149,15.429,28.173,39.063
70,2.8992,94.492,62.416,-85.108,12.537,41.826,39.096,89.665,61.902,-63.396,15.569,27.156,39.062
71,2.9324,93.95,62.348,-81.281,13.569,39.108,39.096,87.86,61.742,-59.706,16.993,22.432,39.066
72,2.9661,93.499,62.281,-78.785,14.528,35.541,39.096,89.23,61.822,-61.877,15.917,25.931,39.065
73,2.9995,92.686,62.281,-76.206,14.971,31.89,39.096,88.515,61.757,-61.19,16.167,25.246,39.061
74,3.0329,91.783,62.146,-73.211,15.413,28.577,39.096,88.367,61.962,-57.039,16.938,20.204,39.052
75,3.0663,91.061,62.146,-70.3,15.855,26.454,39.096,86.689,61.774,-51.665,18.462,14.226,39.067
76,3.0998,90.79,62.146,-67.887,16.077,25.52,39.096,86.232,61.723,-49.418,18.614,12.434,39.066
77,3.1332,90.79,62.146,-65.391,16.445,24.076,39.096,85.968,61.548,-50.991,18.534,13.605,39.065
78,3.1666,90.429,62.011,-62.646,17.478,21.274,39.096,85.697,61.716,-47.627,19.146,9.684,39.054
79,3.2,89.707,62.011,-60.067,17.92,18.132,39.048,84.316,61.6,-42.314,20.058,4.815,39.059
80,3.2337,88.804,62.011,-57.571,17.773,15.584,39.048,83.604,61.604,-38.494,20.722,0.684,39.057
81,3.2695,88.262,62.011,-55.075,18.289,12.696,39.048,85.037,61.337,-44.032,18.881,6.233,39.051
82,3.3004,87.72,62.011,-52.496,19.469,9.384,39.048,83.958,61.513,-41.66,20.573,3.921,39.066
83,3.3341,86.907,62.011,-49.834,19.69,6.242,39.048,82.589,61.349,-37.858,20.978,0.304,39.059
84,3.3676,86.185,61.876,-47.255,19.027,4.289,39.048,81.595,61.396,-35.466,21.029,-2.367,39.049
85,3.4015,86.095,61.876,-45.092,19.174,3.439,39.048,79.781,61.339,-29.51,22.445,-8.487,39.064
86,3.4339,86.005,61.741,-43.012,20.206,2.251,39.048,80.581,61.346,-31.22,22.031,-6.886,39.058
87,3.4676,85.553,61.673,-40.849,20.944,-0.212,39.048,79.901,61.38,-29.625,22.524,-8.454,39.066
88,3.5013,84.56,61.673,-38.769,21.091,-3.015,39.048,79.966,61.4,-30.022,21.917,-7.595,39.051
89,3.5345,83.567,61.673,-36.689,21.239,-5.053,39.048,78.598,61.314,-25.474,22.897,-11.894,39.06
90,3.5757,82.844,61.673,-34.609,21.681,-5.817,39.048,79.949,61.812,-25.883,23.286,-11.217,39.066
91,3.6012,82.302,61.673,-32.779,21.976,-6.327,39.048,78.566,61.355,-24.615,23.567,-13.628,39.074
92,3.6351,81.761,61.673,-30.699,22.198,-7.856,39.048,78.212,61.312,-23.985,23.616,-13.946,39.069
93,3.668,81.309,61.673,-29.035,22.419,-9.639,39.048,78.028,61.501,-21.636,24.45,-14.75,39.082
94,3.7016,80.767,61.673,-27.537,22.788,-11.083,39.048,76.366,61.238,-19.079,24.424,-18.734,39.074
95,3.7351,80.406,61.673,-26.206,23.23,-12.102,39.048,77.408,61.78,-18.309,24.458,-17.393,39.069
96,3.7686,80.045,61.673,-24.626,23.746,-13.376,39.048,75.684,61.466,-14.969,25.195,-21.228,39.076
97,3.8018,79.594,61.673,-22.962,24.115,-14.989,39.048,76.678,61.088,-19.485,24.709,-17.981,39.099
