step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.6166,0.0,-99.75,99.458,75.796,38.95,93.252,-1,28.033,-8.282,65.842,-27.653,39.049,61.124,28.033,-8.282,65.842,-27.653,39.049,61.124,-0.713
100,4.0218,27.729,-7.404,68.307,-23.652,38.95,61.471,-1,34.217,48.48,36.844,-64.958,38.944,63.676,34.217,48.48,36.844,-64.958,38.944,63.676,48.751
200,7.4318,33.555,49.168,38.51,-63.652,38.95,63.09,52,35.305,50.047,37.854,-70.915,38.952,48.691,33.57,48.918,39.656,-72.311,38.988,12.663,52.963
300,10.8498,34.071,49.334,42.483,-70.701,38.95,14.912,0,34.752,57.096,39.484,-73.06,39.07,8.879,-0.467,-94.919,105.212,5.737,39.171,7.401,57.096
400,14.2677,-0.811,-94.925,99.729,9.809,38.95,11.673,0,-3.266,-104.162,103.48,19.251,39.087,6.169,-4.735,-104.188,102.042,27.768,39.032,9.93,-103.08
500,17.6854,-4.351,-97.92,99.549,30.106,38.95,11.673,0,-5.147,-109.046,102.876,31.957,39.07,6.963,-4.024,-102.184,102.213,24.394,39.011,11.27,-100.88
600,21.099,-4.572,-97.92,99.549,26.709,38.95,12.213,0,-5.173,-108.773,102.955,30.763,39.074,6.913,-4.12,-102.307,102.171,24.646,39.014,11.159,-101.039
700,24.5062,-4.351,-97.92,99.549,27.134,38.95,11.943,0,-5.101,-108.757,102.952,30.768,39.074,6.894,-4.124,-102.376,102.184,24.716,39.014,11.131,-101.119
