step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.5787,0.0,-99.584,99.458,75.541,39.048,93.455,-1,27.947,0.057,64.496,-39.251,39.044,61.319,27.947,0.057,64.496,-39.251,39.044,61.319,9.988
100,4.0009,27.802,4.16,64.966,-36.051,39.048,61.471,-1,33.45,50.477,28.996,-62.089,38.937,63.667,33.45,50.477,28.996,-62.089,38.937,63.667,51.307
200,7.424,32.891,51.83,30.384,-60.934,39.048,63.225,57,35.072,51.721,30.509,-66.197,38.965,49.403,34.037,52.485,32.216,-67.927,39.009,14.032,54.885
300,10.8555,34.808,53.744,33.544,-66.369,39.048,16.059,0,35.678,61.223,31.852,-69.277,39.108,9.214,2.185,-89.933,105.819,-4.029,39.331,7.385,61.223
400,14.2708,1.844,-90.266,99.91,0.382,39.145,10.931,0,-1.797,-100.039,104.699,9.724,39.257,5.757,-4.343,-105.431,101.875,31.248,39.232,9.269,-100.039
500,17.6944,-3.909,-97.92,99.639,33.503,39.145,11.336,0,-5.562,-110.765,103.194,35.419,39.255,7.268,-2.954,-101.775,102.106,24.624,39.181,11.716,-100.06
600,21.12,-3.319,-97.92,99.639,26.794,39.096,13.09,0,-5.348,-110.284,103.337,32.934,39.244,7.198,-3.053,-101.764,101.867,24.791,39.183,11.564,-100.058
700,24.5402,-3.392,-98.253,99.549,27.049,39.096,12.955,0,-5.38,-110.332,103.331,33.054,39.244,7.199,-3.061,-101.785,101.882,24.792,39.183,11.562,-100.079
