step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.6031,-0.369,-99.584,99.458,75.456,38.95,93.927,-1,24.951,-15.468,80.934,-26.184,39.013,61.445,24.951,-15.468,80.934,-26.184,39.013,61.445,-9.085
100,4.025,24.631,-16.805,83.476,-23.142,38.95,61.606,-1,31.368,32.165,57.241,-56.827,38.917,63.471,31.368,32.165,57.241,-56.827,38.917,63.471,32.744
200,7.4394,30.678,32.113,59.007,-55.754,38.95,62.955,74,32.1,37.649,57.112,-67.005,38.92,48.396,32.116,40.784,56.031,-68.622,38.93,32.865,40.803
300,10.8671,31.416,40.765,57.111,-67.219,38.95,33.468,0,32.589,51.166,52.726,-71.46,39.02,16.027,7.001,-78.398,105.711,-19.79,39.139,7.333,51.166
400,14.2916,4.941,-78.203,99.91,-10.403,38.852,11.066,0,2.268,-85.013,104.397,-8.584,39.0,5.242,-4.906,-106.135,101.351,31.712,39.042,7.926,-85.013
500,17.7108,-4.351,-98.087,99.549,32.909,38.852,11.066,0,-4.6,-108.773,102.976,31.556,39.008,6.944,-3.48,-101.477,102.05,24.099,38.98,10.768,-100.043
600,21.1275,-3.761,-98.087,99.549,26.369,38.852,12.281,0,-4.39,-108.152,103.128,29.261,39.015,6.826,-3.616,-101.771,101.915,24.517,38.987,10.562,-100.354
700,24.5463,-4.056,-98.253,99.549,26.794,38.852,12.011,0,-4.481,-108.199,103.121,29.392,39.014,6.83,-3.638,-101.82,101.931,24.575,38.986,10.558,-100.404
