step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.5996,-0.074,-99.75,99.458,75.541,39.048,93.59,-1,24.987,-19.325,70.268,-16.584,39.027,61.367,24.987,-19.325,70.268,-16.584,39.027,61.367,-13.341
100,4.0126,24.631,-17.804,72.551,-13.546,38.95,61.673,-1,31.815,41.875,43.796,-61.261,38.93,63.355,31.815,41.875,43.796,-61.261,38.93,63.355,41.949
200,7.4376,31.047,42.512,45.553,-59.745,38.95,62.821,63,32.046,48.135,42.717,-71.368,38.926,48.532,31.415,50.198,42.973,-72.339,38.942,21.064,50.816
300,10.8671,31.563,51.414,43.747,-71.21,39.096,21.795,0,31.648,59.874,36.6,-71.789,39.107,12.653,2.68,-89.514,105.182,-6.739,39.126,7.872,59.874
400,14.2833,1.549,-91.514,99.91,0.042,39.048,11.336,0,-1.04,-98.898,103.347,8.838,39.071,5.984,-3.897,-104.599,101.828,27.207,39.01,9.295,-98.898
500,17.6983,-3.466,-97.671,99.639,29.766,38.95,11.269,0,-3.906,-108.554,102.742,29.045,39.019,6.938,-3.168,-101.993,101.99,22.748,38.964,11.027,-100.787
600,21.1289,-3.466,-97.671,99.639,25.69,38.95,12.281,0,-3.874,-108.276,102.849,27.775,39.024,6.896,-3.23,-102.027,101.922,22.867,38.969,10.949,-100.81
700,24.5421,-3.466,-97.671,99.639,25.86,38.95,12.281,0,-3.877,-108.3,102.843,27.854,39.023,6.901,-3.224,-102.012,101.923,22.843,38.969,10.959,-100.792
