step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.6341,-0.074,-99.501,99.458,75.541,38.852,93.387,-1,26.272,-16.079,75.962,-22.305,39.051,61.084,26.272,-16.079,75.962,-22.305,39.051,61.084,-9.966
100,4.0604,26.032,-15.474,77.788,-20.255,38.852,61.471,-1,32.901,34.147,50.011,-55.017,38.934,63.36,32.901,34.147,50.011,-55.017,38.934,63.36,34.27
200,7.4693,32.227,34.859,51.693,-53.206,38.852,62.686,60,33.744,38.813,50.416,-63.639,38.933,46.959,32.938,40.199,51.612,-66.122,38.963,17.816,41.476
300,10.8902,33.481,41.431,52.506,-64.331,38.852,19.163,0,33.978,50.69,47.945,-67.409,39.046,10.08,0.278,-91.025,105.916,-3.039,39.195,7.487,50.69
400,14.3005,-0.737,-90.516,99.91,2.251,39.048,10.999,0,-3.081,-99.14,103.972,9.92,39.139,5.751,-5.668,-105.226,102.116,28.238,39.104,8.775,-99.14
500,17.7169,-5.088,-97.754,99.639,30.616,39.048,10.999,0,-5.967,-109.028,102.883,30.533,39.123,6.859,-4.733,-102.533,102.413,23.586,39.066,10.575,-101.388
600,21.1467,-5.383,-97.754,99.639,26.369,39.048,11.808,0,-6.029,-108.613,103.01,29.064,39.128,6.805,-4.842,-102.655,102.333,23.862,39.071,10.476,-101.519
700,24.5684,-5.383,-97.754,99.639,26.709,39.048,11.606,0,-6.024,-108.612,103.003,29.108,39.127,6.799,-4.846,-102.692,102.343,23.905,39.07,10.46,-101.562
