step,t_s,state.shoulder_pan,state.shoulder_lift,state.elbow_flex,state.wrist_flex,state.wrist_roll,state.gripper,close_step,close.shoulder_pan,close.shoulder_lift,close.elbow_flex,close.wrist_flex,close.wrist_roll,close.gripper,end.shoulder_pan,end.shoulder_lift,end.elbow_flex,end.wrist_flex,end.wrist_roll,end.gripper,max_lift
0,0.6337,-0.221,-99.584,99.458,75.541,39.096,93.522,-1,27.1,-3.517,69.636,-38.75,39.043,61.183,27.1,-3.517,69.636,-38.75,39.043,61.183,6.602
100,4.0718,27.139,-3.161,71.196,-35.372,39.048,61.606,-1,32.594,47.752,34.049,-62.192,38.938,63.56,32.594,47.752,34.049,-62.192,38.938,63.56,48.417
200,7.509,31.932,48.502,36.524,-60.764,39.048,63.09,57,34.069,49.272,36.025,-67.605,38.971,49.677,32.83,51.176,37.09,-70.345,39.013,14.562,53.12
300,10.9273,33.481,51.414,39.503,-68.832,39.048,16.329,0,34.54,57.863,37.512,-71.071,39.114,9.829,1.625,-89.16,105.814,-6.673,39.383,7.513,57.863
400,14.3501,1.254,-90.183,99.91,-2.76,39.145,10.931,0,-2.009,-98.674,104.487,6.435,39.289,5.781,-4.866,-105.015,102.091,29.002,39.276,9.328,-98.674
500,17.7679,-4.351,-97.671,99.639,31.55,39.145,11.201,0,-5.815,-110.207,103.082,32.769,39.291,7.19,-3.384,-101.195,102.359,22.083,39.22,11.855,-99.485
600,21.1931,-3.835,-97.671,99.639,24.416,39.145,12.888,0,-5.629,-109.696,103.247,30.281,39.297,7.111,-3.496,-101.278,102.165,22.464,39.23,11.674,-99.609
700,24.6079,-3.687,-97.671,99.639,25.18,39.096,12.416,0,-5.578,-109.622,103.256,30.165,39.279,7.076,-3.561,-101.442,102.179,22.554,39.222,11.582,-99.784
