step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,0.6042,99.458,93.927,-99.584,-0.369,75.456,38.95,106.194,64.606,-109.539,-1.253,86.584,38.984
1,0.6148,99.458,93.927,-99.584,-0.369,75.456,38.95,106.107,64.599,-109.592,-1.229,86.503,38.984
2,0.6478,99.458,93.927,-99.584,-0.369,75.541,38.95,106.206,64.6,-109.533,-1.243,86.555,38.983
3,0.6848,99.458,93.792,-99.75,-0.369,76.306,38.95,106.084,64.46,-109.829,-1.14,86.62,38.984
4,0.7184,99.368,91.633,-100.0,-0.516,77.495,39.096,106.174,64.562,-109.602,-1.245,86.553,38.985
5,0.751,98.826,88.731,-100.0,-0.885,78.938,39.292,106.154,64.507,-109.647,-1.167,86.467,38.985
6,0.7851,98.826,85.493,-100.0,-0.959,79.278,39.292,106.081,64.348,-110.085,-1.077,86.592,38.985
7,0.8176,98.826,82.321,-100.0,-0.885,79.278,39.341,105.997,64.286,-110.075,-1.012,86.54,38.984
8,0.8511,98.826,79.15,-100.0,-0.811,79.278,39.341,105.916,64.262,-109.981,-0.944,86.252,38.986
9,0.8846,98.826,75.911,-100.0,-0.737,79.278,39.341,105.98,64.462,-109.636,-1.05,86.202,38.986
10,0.9185,98.826,72.672,-100.0,-0.737,79.278,39.341,105.691,63.936,-110.549,-0.821,86.365,38.986
11,0.952,98.826,70.108,-100.0,-0.737,79.278,39.341,105.67,63.917,-110.593,-0.816,86.349,38.986
12,0.9856,98.826,68.084,-100.0,-0.737,79.278,39.341,105.811,64.146,-110.166,-0.9,86.278,38.985
13,1.019,98.826,66.667,-100.0,-0.737,79.278,39.341,104.978,63.168,-110.69,-0.404,85.75,38.992
14,1.0526,98.826,65.924,-100.0,-0.737,79.278,39.341,105.265,63.477,-110.816,-0.567,86.068,38.99
15,1.0858,98.826,65.047,-100.0,-0.737,79.278,39.341,105.156,63.393,-110.771,-0.484,85.905,38.99
16,1.1187,98.826,64.44,-100.0,-0.664,79.278,39.341,105.261,63.546,-110.757,-0.58,86.007,38.989
17,1.153,98.826,64.238,-100.0,-0.664,79.278,39.341,105.384,63.63,-110.393,-0.539,85.61,38.989
18,1.1859,98.826,64.035,-100.0,-0.664,79.278,39.341,105.206,63.425,-110.727,-0.502,85.961,38.99
19,1.2192,98.826,64.035,-100.0,-0.664,79.278,39.341,105.069,63.292,-110.719,-0.467,85.698,38.994
20,1.254,98.826,63.833,-100.0,-0.664,79.278,39.341,104.961,63.287,-110.653,-0.405,85.695,38.992
21,1.2866,98.826,63.698,-100.0,-0.664,79.278,39.341,105.187,63.499,-110.368,-0.49,85.579,38.991
22,1.3199,98.826,63.63,-100.0,-0.664,79.278,39.341,104.985,63.205,-110.699,-0.432,85.751,38.992
23,1.353,98.736,63.63,-100.0,-0.664,79.278,39.341,105.045,63.293,-110.788,-0.465,85.908,38.991
24,1.3865,98.736,63.495,-100.0,-0.664,79.278,39.341,105.08,63.269,-110.703,-0.431,85.727,38.991
25,1.42,98.736,63.495,-100.0,-0.664,79.278,39.341,104.906,63.196,-110.502,-0.36,85.529,38.993
26,1.4532,98.736,63.428,-100.0,-0.664,79.278,39.341,105.04,63.339,-110.553,-0.437,85.476,38.993
27,1.4874,98.736,63.428,-100.0,-0.664,79.278,39.341,104.899,63.216,-110.643,-0.399,85.707,38.992
28,1.5206,98.736,63.428,-100.0,-0.664,79.278,39.341,105.321,63.546,-110.637,-0.544,85.843,38.991
29,1.5536,98.736,63.428,-100.0,-0.664,79.278,39.341,105.044,63.288,-110.803,-0.442,85.869,38.991
30,1.5935,98.736,63.428,-100.0,-0.664,79.278,39.341,105.103,63.288,-110.79,-0.38,85.696,38.992
31,1.6207,98.736,63.428,-100.0,-0.664,79.278,39.341,105.015,63.256,-110.515,-0.249,85.273,38.993
32,1.6541,98.736,63.428,-100.0,-0.664,79.278,39.341,105.014,63.29,-110.785,-0.397,85.749,38.991
33,1.6871,98.736,63.428,-100.0,-0.664,79.278,39.341,104.842,63.189,-110.5,-0.261,85.194,38.994
34,1.7202,98.736,63.428,-100.0,-0.664,79.278,39.341,105.014,63.221,-110.666,-0.322,85.531,38.992
35,1.753,98.736,63.428,-100.0,-0.664,79.278,39.341,104.952,63.185,-110.489,-0.246,85.162,38.994
36,1.7879,98.736,63.428,-100.0,-0.664,79.278,39.341,104.837,63.184,-110.477,-0.218,85.188,38.994
37,1.8216,98.736,63.428,-100.0,-0.664,79.278,39.341,104.916,63.141,-110.606,-0.221,85.273,38.993
38,1.8547,98.736,63.428,-100.0,-0.664,79.278,39.341,104.846,63.191,-110.463,-0.208,85.144,38.994
39,1.8874,98.736,63.428,-100.0,-0.664,79.278,39.341,104.79,63.149,-109.985,0.119,84.067,38.995
40,1.9194,98.736,63.428,-100.0,-0.664,79.278,39.341,104.766,63.192,-109.902,0.121,84.104,38.995
41,1.9548,98.736,63.428,-100.0,-0.664,79.278,39.341,104.844,63.178,-110.22,0.068,84.496,38.994
42,1.988,98.736,63.428,-100.0,-0.664,79.278,39.341,104.753,62.981,-109.47,1.116,82.163,38.993
43,2.0214,98.736,63.428,-100.0,-0.664,79.278,39.341,104.826,63.105,-109.921,0.302,83.83,38.995
44,2.055,98.736,63.428,-100.0,-0.664,79.278,39.341,104.725,63.116,-108.947,0.85,82.082,38.997
45,2.0887,98.736,63.428,-100.0,-0.516,79.108,39.341,104.542,63.208,-107.863,0.937,80.927,39.001
46,2.1217,98.736,63.428,-100.0,-0.147,79.023,39.341,104.768,63.119,-109.694,0.43,83.357,38.995
47,2.1553,98.736,63.428,-100.0,0.221,79.023,39.341,104.725,63.073,-109.211,0.945,82.238,38.995
48,2.1889,98.736,63.428,-100.0,0.516,78.938,39.341,104.437,63.023,-107.329,1.867,79.2,38.995
49,2.2221,98.736,63.428,-100.0,0.442,78.938,39.341,104.273,62.845,-106.661,2.527,77.656,38.992
50,2.256,98.736,63.428,-100.0,0.369,78.854,39.341,103.634,62.645,-102.018,4.335,70.703,38.992
51,2.289,98.916,63.36,-100.0,0.442,78.004,39.292,104.112,62.87,-105.807,2.731,76.754,38.993
52,2.3226,99.278,63.158,-100.0,1.254,76.9,39.096,103.871,62.74,-103.278,3.675,72.841,38.995
53,2.3558,99.368,63.09,-99.667,2.212,75.456,39.048,103.585,62.633,-101.888,4.486,70.305,38.992
54,2.3893,99.368,63.023,-99.584,2.802,73.928,39.048,103.503,62.662,-101.748,4.447,70.454,38.993
55,2.4234,99.368,63.023,-100.0,3.171,73.163,39.048,102.939,62.497,-98.826,5.622,66.246,38.994
56,2.4565,99.368,63.023,-100.0,3.54,72.314,39.048,101.73,62.246,-95.247,7.316,60.389,38.993
57,2.4898,99.368,63.023,-100.0,3.909,71.465,38.999,102.432,62.386,-96.82,6.364,63.309,38.996
58,2.5233,99.458,62.753,-99.501,4.277,69.257,38.999,102.704,62.658,-96.885,5.304,65.012,39.007
59,2.5568,99.458,62.686,-99.002,4.72,66.2,38.999,101.729,62.264,-94.558,7.227,60.133,39.0
60,2.597,99.458,62.686,-98.835,5.236,64.076,38.999,100.234,62.237,-87.49,9.417,51.686,39.01
61,2.6233,99.458,62.618,-98.502,5.826,62.803,38.999,100.284,62.233,-87.122,9.391,51.316,39.011
62,2.6572,99.549,62.551,-97.421,6.268,61.699,38.999,99.011,62.015,-83.303,11.322,45.385,39.008
63,2.6903,99.729,62.483,-95.258,6.785,59.745,38.999,97.51,61.96,-76.809,13.082,38.108,39.014
64,2.7236,99.91,62.416,-93.344,7.67,56.433,38.999,98.401,62.031,-79.618,11.885,41.849,39.019
65,2.7574,99.91,62.348,-92.512,8.702,52.611,38.999,96.352,61.826,-72.126,14.055,33.023,39.021
66,2.7905,99.729,62.281,-91.431,9.808,48.705,38.999,97.18,62.058,-72.924,12.677,35.585,39.027
67,2.828,99.368,62.213,-88.519,10.988,44.798,38.999,96.385,61.946,-70.853,13.838,32.34,39.024
68,2.8607,99.007,62.213,-84.942,12.021,40.892,38.999,95.592,61.915,-68.161,14.998,28.469,39.02
69,2.8936,98.826,62.213,-82.529,12.611,37.919,38.999,93.667,61.725,-61.541,16.066,22.05,39.023
70,2.9277,98.465,62.213,-80.366,13.053,35.796,38.999,94.057,61.917,-60.69,16.192,21.143,39.022
71,2.9597,98.014,62.213,-77.787,13.496,33.163,38.999,92.893,61.757,-57.945,17.425,17.337,39.022
72,2.9911,97.562,62.146,-75.125,14.233,29.512,38.999,93.689,61.824,-59.205,16.551,19.874,39.024
73,3.0257,96.84,62.146,-72.13,15.118,25.69,38.999,93.188,61.793,-58.903,16.753,19.55,39.02
74,3.0579,96.117,62.146,-69.384,15.782,22.548,38.999,92.988,62.1,-55.16,17.408,14.86,39.011
75,3.0915,95.576,62.146,-67.138,16.372,21.019,38.999,91.52,61.882,-49.358,18.925,8.488,39.021
76,3.1249,95.395,62.146,-64.809,16.667,20.34,38.999,90.914,61.792,-46.512,19.237,6.157,39.022
77,3.1585,95.305,62.146,-62.23,16.74,18.981,38.999,90.968,61.646,-49.263,18.91,8.435,39.02
78,3.1917,95.034,62.146,-59.734,17.035,16.263,38.999,90.549,61.868,-45.233,19.587,3.81,39.01
79,3.2256,94.312,62.078,-57.238,17.773,12.781,38.999,89.389,61.739,-40.758,20.292,-0.25,39.016
80,3.2587,93.589,62.078,-54.742,18.437,9.639,38.999,88.622,61.722,-37.184,20.817,-3.842,39.012
81,3.292,93.138,62.011,-52.329,18.879,6.837,38.95,89.559,61.507,-41.982,19.251,0.743,39.006
82,3.3254,92.506,62.011,-49.834,19.248,3.439,38.95,89.036,61.639,-39.459,20.916,-1.72,39.021
83,3.3589,91.693,61.943,-47.255,19.69,0.637,38.95,87.703,61.518,-36.349,21.169,-4.64,39.015
84,3.3923,91.061,61.876,-45.008,20.133,-0.552,38.95,86.64,61.537,-33.943,21.21,-7.234,39.003
85,3.4257,90.971,61.876,-43.095,20.501,-0.552,38.95,84.927,61.454,-28.145,22.524,-12.996,39.014
86,3.4595,90.79,61.876,-40.932,20.649,-1.571,38.95,85.713,61.498,-29.695,22.128,-11.601,39.011
87,3.4928,90.248,61.876,-38.935,20.723,-3.949,38.95,85.087,61.507,-28.323,22.566,-12.925,39.016
88,3.5262,89.345,61.876,-36.855,20.87,-7.176,38.95,84.904,61.53,-28.411,22.031,-12.457,39.002
89,3.5594,88.262,61.876,-34.859,21.386,-9.469,38.95,83.545,61.464,-23.821,22.972,-16.706,39.009
90,3.5991,87.54,61.876,-33.028,21.976,-10.234,38.95,84.992,61.908,-24.455,23.343,-15.869,39.015
91,3.6267,87.178,61.876,-31.115,22.198,-11.253,38.95,83.588,61.49,-22.963,23.603,-18.267,39.023
92,3.6599,86.727,61.876,-29.368,22.198,-12.951,38.95,83.243,61.478,-22.48,23.659,-18.54,39.02
93,3.6934,86.095,61.808,-27.87,22.271,-14.65,38.95,83.207,61.674,-20.329,24.54,-19.134,39.032
94,3.7268,85.734,61.741,-26.456,22.714,-16.093,38.95,81.461,61.393,-17.631,24.471,-23.299,39.024
95,3.7602,85.372,61.741,-25.042,23.304,-17.028,38.95,82.423,61.859,-16.999,24.455,-21.897,39.012
96,3.7938,85.192,61.673,-23.295,23.673,-18.047,38.95,80.486,61.651,-13.209,25.346,-26.009,39.025
97,3.8271,84.831,61.606,-21.547,23.673,-19.49,38.95,81.668,61.325,-17.608,24.837,-22.575,39.051
98,3.8606,84.379,61.606,-19.967,23.746,-20.679,38.95,80.417,61.931,-9.085,25.78,-28.724,39.033
99,3.8943,83.928,61.606,-18.303,24.115,-21.953,38.95,80.934,61.445,-15.468,24.951,-26.184,39.013
100,4.0262,83.476,61.606,-16.805,24.631,-23.142,38.95,85.673,62.105,-18.596,25.049,-23.025,39.004
101,4.0364,82.573,61.606,-11.814,24.853,-25.011,38.95,85.488,62.099,-18.079,25.131,-23.507,39.005
102,4.0697,82.573,61.606,-10.982,24.779,-25.096,38.95,85.328,62.09,-17.676,25.187,-23.607,39.004
103,4.106,82.573,61.606,-10.732,24.705,-24.756,38.95,85.095,62.067,-17.084,25.288,-24.099,39.003
104,4.139,82.573,61.606,-10.732,24.705,-24.161,38.95,84.892,62.013,-16.245,25.467,-24.682,39.003
105,4.172,83.205,61.606,-10.815,24.779,-24.161,38.95,84.065,61.943,-13.84,25.907,-26.536,38.999
106,4.2057,84.108,61.606,-11.314,24.853,-24.161,38.95,83.618,61.843,-12.319,26.131,-27.607,38.999
107,4.239,84.74,61.606,-12.063,24.926,-24.416,38.95,83.217,61.816,-11.617,26.206,-27.843,38.997
108,4.2726,84.921,61.606,-12.978,25.221,-25.52,38.95,83.013,61.807,-10.906,26.412,-28.476,38.998
109,4.3059,84.74,61.606,-13.727,25.59,-26.285,38.95,82.581,61.886,-10.174,26.585,-29.332,38.993
110,4.3394,84.74,61.606,-14.143,25.885,-26.879,38.95,82.247,61.686,-8.772,26.744,-29.908,38.996
111,4.3725,84.56,61.606,-14.226,25.959,-27.473,38.95,81.992,61.637,-7.99,26.849,-30.471,38.996
112,4.4067,84.289,61.606,-14.226,25.959,-28.238,38.95,81.549,61.675,-6.953,27.096,-31.365,38.993
113,4.4397,83.837,61.606,-13.81,25.959,-28.917,38.95,80.528,61.404,-4.141,27.457,-33.01,38.994
114,4.473,83.476,61.606,-12.812,26.106,-29.597,38.95,81.143,61.497,-5.576,27.266,-32.12,38.996
115,4.5064,83.115,61.606,-11.314,26.401,-30.616,38.95,80.367,61.516,-3.746,27.64,-33.655,38.991
116,4.5398,82.573,61.606,-9.651,26.77,-31.295,38.95,78.999,61.562,-0.771,28.13,-36.208,38.983
117,4.5735,82.212,61.606,-8.153,26.991,-31.465,38.95,79.275,61.503,-1.312,28.005,-35.554,38.984
118,4.6069,82.032,61.606,-6.489,26.991,-32.654,38.95,79.477,61.518,-1.893,27.929,-35.163,38.985
119,4.6402,81.49,61.606,-4.742,27.139,-33.928,38.95,79.587,61.457,-1.929,27.864,-35.107,38.987
120,4.6824,80.948,61.606,-3.328,27.36,-34.183,38.95,78.833,61.549,-0.413,28.209,-36.283,38.984
121,4.707,80.858,61.606,-2.246,27.581,-34.183,38.95,77.844,61.59,1.751,28.456,-38.163,38.978
122,4.7415,80.858,61.606,-1.414,27.581,-34.352,38.95,77.156,61.508,3.463,28.742,-39.367,38.978
123,4.7743,80.858,61.673,-0.832,27.581,-35.541,38.95,76.376,61.538,4.869,28.974,-40.441,38.977
124,4.8073,79.955,61.673,0.0,27.581,-36.985,38.95,76.297,61.524,5.131,28.884,-40.576,38.974
125,4.8411,79.052,61.673,1.165,27.876,-38.174,38.95,75.905,61.503,5.908,29.045,-40.997,38.975
126,4.8744,78.33,61.673,2.662,28.245,-38.938,38.95,74.821,61.633,7.83,29.386,-42.672,38.973
127,4.908,77.878,61.673,3.993,28.466,-39.448,38.95,74.695,61.558,8.189,29.363,-42.763,38.973
