step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,0.5871,99.458,93.252,-99.501,-0.147,75.541,39.096,106.451,64.835,-110.491,-0.781,87.875,39.035
1,0.5966,99.458,93.252,-99.501,-0.147,75.541,39.096,106.352,64.827,-110.531,-0.763,87.776,39.036
2,0.6299,99.458,93.252,-99.501,-0.147,75.541,39.096,106.473,64.824,-110.49,-0.776,87.862,39.035
3,0.6655,99.458,93.252,-99.667,-0.295,76.306,39.096,106.33,64.646,-110.767,-0.685,88.043,39.036
4,0.7007,99.458,93.185,-100.0,-0.442,77.41,39.292,106.422,64.79,-110.553,-0.784,87.848,39.037
5,0.7343,98.916,92.78,-100.0,-0.59,78.938,39.341,106.398,64.72,-110.594,-0.703,87.804,39.037
6,0.7676,98.826,91.7,-100.0,-0.516,79.448,39.389,106.28,64.546,-110.936,-0.627,88.07,39.036
7,0.8008,98.826,90.418,-100.0,-0.442,79.533,39.389,106.229,64.494,-110.881,-0.58,88.069,39.036
8,0.8344,98.826,89.001,-100.0,-0.442,79.533,39.389,106.104,64.455,-110.796,-0.511,87.761,39.038
9,0.8678,98.826,87.179,-100.0,-0.442,79.533,39.389,106.196,64.65,-110.545,-0.603,87.593,39.038
10,0.9012,98.826,85.02,-100.0,-0.442,79.533,39.389,105.803,64.128,-111.096,-0.416,88.151,39.037
11,0.9347,98.826,82.726,-100.0,-0.442,79.533,39.389,105.81,64.157,-111.08,-0.425,88.11,39.037
12,0.9682,98.826,80.094,-100.0,-0.442,79.533,39.389,105.942,64.359,-110.871,-0.465,87.862,39.037
13,1.0017,98.826,77.463,-100.0,-0.369,79.533,39.389,104.567,63.21,-110.968,-0.06,87.881,39.044
14,1.0359,98.826,75.101,-100.0,-0.369,79.533,39.389,105.079,63.538,-111.201,-0.197,88.041,39.041
15,1.0695,98.826,72.874,-100.0,-0.369,79.533,39.389,104.946,63.468,-111.108,-0.136,87.889,39.041
16,1.102,98.826,70.85,-100.0,-0.369,79.533,39.389,105.233,63.673,-111.192,-0.235,87.958,39.04
17,1.1357,98.826,69.028,-100.0,-0.369,79.533,39.389,105.223,63.683,-110.829,-0.126,87.508,39.041
18,1.1689,98.826,67.409,-100.0,-0.369,79.533,39.389,104.971,63.463,-111.127,-0.143,87.972,39.041
19,1.203,98.826,66.127,-100.0,-0.369,79.533,39.389,104.721,63.361,-110.973,-0.107,87.711,39.044
20,1.2361,98.826,65.115,-100.0,-0.369,79.533,39.389,104.606,63.345,-110.952,-0.062,87.731,39.043
21,1.2691,98.826,64.44,-100.0,-0.369,79.533,39.389,104.946,63.53,-110.796,-0.126,87.549,39.043
22,1.3029,98.826,64.17,-100.0,-0.369,79.533,39.389,104.599,63.239,-110.975,-0.09,87.835,39.044
23,1.3361,98.826,63.968,-100.0,-0.369,79.533,39.389,104.728,63.334,-111.09,-0.123,87.974,39.042
24,1.3699,98.826,63.833,-100.0,-0.369,79.533,39.389,104.756,63.316,-111.031,-0.088,87.795,39.043
25,1.4038,98.826,63.698,-100.0,-0.369,79.533,39.389,104.451,63.235,-110.773,-0.002,87.577,39.045
26,1.4363,98.826,63.698,-100.0,-0.369,79.533,39.389,104.715,63.381,-110.854,-0.092,87.5,39.045
27,1.4701,98.826,63.698,-100.0,-0.369,79.533,39.389,104.498,63.262,-110.922,-0.058,87.78,39.044
28,1.5032,98.826,63.698,-100.0,-0.369,79.533,39.389,105.144,63.6,-111.083,-0.18,87.825,39.042
29,1.5373,98.826,63.698,-100.0,-0.369,79.533,39.389,104.721,63.323,-111.094,-0.085,87.936,39.042
30,1.5776,98.826,63.698,-100.0,-0.369,79.533,39.389,104.796,63.347,-111.15,-0.058,87.815,39.042
31,1.6032,98.826,63.698,-100.0,-0.369,79.533,39.389,104.643,63.313,-110.87,0.081,87.401,39.044
32,1.6369,98.826,63.698,-100.0,-0.369,79.533,39.389,104.732,63.35,-111.102,-0.071,87.865,39.042
33,1.6706,98.826,63.698,-100.0,-0.369,79.533,39.389,104.417,63.221,-110.774,0.076,87.275,39.046
34,1.7038,98.826,63.698,-100.0,-0.369,79.533,39.389,104.643,63.279,-110.998,0.001,87.691,39.043
35,1.7376,98.826,63.698,-100.0,-0.369,79.533,39.389,104.499,63.214,-110.777,0.091,87.256,39.046
36,1.7706,98.826,63.63,-100.0,-0.369,79.533,39.389,104.391,63.23,-110.777,0.101,87.295,39.045
37,1.8038,98.826,63.563,-100.0,-0.369,79.533,39.389,104.483,63.181,-110.912,0.105,87.409,39.045
38,1.8373,98.826,63.563,-100.0,-0.369,79.533,39.389,104.401,63.233,-110.772,0.121,87.274,39.045
39,1.8708,98.826,63.563,-100.0,-0.369,79.533,39.389,104.233,63.174,-110.328,0.403,86.27,39.049
40,1.9041,98.826,63.563,-100.0,-0.369,79.533,39.389,104.189,63.231,-110.266,0.409,86.272,39.048
41,1.9376,98.826,63.563,-100.0,-0.369,79.533,39.389,104.299,63.214,-110.611,0.371,86.721,39.046
